# 常见叠字
#
# char	pinyin	ids	tag

三	sān	⿳一一一 / ⿱一二	
二		⿱一一	
亖	sì	⿱二二 / ⿱一三	
仌	bīng	⿱人人 / ⿱𠆢𠆢	
从	cóng、zòng	⿰人人	
众	zhòng	⿱人⿰人人 / ⿱人从	
兓	qīn	⿰旡旡 / ⿰兂兂	
兟	shēn	⿰先先	
兢	jīng	⿰克克	
冐		⿱冃冃 / ⿱日月	
刕	lí	⿱刀⿰刀刀 / ⿱刀𠚪	
劦	xié、liè	⿱力⿰力力 / ⿱力𠠴	
厵	yuán	⿱原⿰原原 / ⿱原𰆬	
厸	lín、miǎo	⿰厶厶	
厽	lěi	⿱厶⿰厶厶 / ⿱厶厸	
双	shuāng	⿰又又	
叒	ruò	⿱又⿰又又 / ⿱又双	
叕	zhuì、zhuó、yǐ、jué	⿰㕛㕛 / ⿱双双	
吅	xuān、sòng	⿰口口	
吕	lǚ	⿱口口	
品	pǐn	⿱口⿰口口 / ⿱口吅	
哥	gē	⿱可可	
喆	zhé	⿰吉吉	
囍	xǐ	⿰喜喜	
圭	guī	⿱土土	
垚	yáo	⿱土⿰土土 / ⿱土𪢴	
壵	zhuàng	⿱士⿰士士	
多	duō	⿱夕夕	
夶	bǐ	⿰大大	
奻	nuán	⿰女女	
姦	jiān	⿱女⿰女女 / ⿱女奻	
孖	zī、mā	⿰子子	
孨	zhuǎn	⿱子⿰子子 / ⿱子孖	
尛	mó	⿱小⿰小小 / ⿱𡭔⿰小小	
屾	shēn	⿰山山	
岀	chū	⿱山山	
巛	chuān	⿲𡿨𡿨𡿨 / ⿰𡿨巜	
巜	kuài	⿰𡿨𡿨	
幵	jiān	⿰干干	
弜	jiàng	⿰弓弓	
弱	ruò	⿰⿹弓冫⿹弓冫 / ⿰𢎥𢎥	
彡	shān、xiǎn	⿳㇒㇒㇒ / ⿱丿𰀪 / ⿱𰀪丿	
惢	suǒ、ruǐ	⿱心⿰心心 / ⿱心𢗰	
戔	jiān	⿱戈戈	
掱	pá	⿱手⿰手手 / ⿱手𢪒	
斦	yín、zhì	⿰斤斤	
昌	chāng	⿱日日 / ⿱日曰	
昍	xuān	⿰日日	
晶	jīng	⿱日⿰日日 / ⿱日昍	
晿	chēng	⿰日⿱日日 / ⿰日昌	
朋	péng	⿰月月 / ⿰⺼⺼	
朤	lǎng	⿱朋朋 / ⿱⿰月月⿰月月	
林	lín	⿰木木	
棗	zǎo	⿱朿朿	
棘	jí	⿰朿朿	
森	sēn	⿱木⿰木木 / ⿱木林	
槑	méi	⿰呆呆	
歮	sè	⿱止⿰止止 / ⿱止𣥖	
歰	sè、shà	⿰⿱刃止⿱刃止 / ⿰𰙜𰙜	
比	bǐ	⿰匕匕	
毳	cuì	⿱毛⿰毛毛 / ⿱毛㲎	
沝	zhuǐ、zǐ	⿰水水	
淼	miǎo	⿱水⿰水水 / ⿱水沝	
灥	xún、quán、quàn	⿱泉⿰泉泉	
炎	yán	⿱火火	
炏	yán	⿰火火	
焱	yàn	⿱火⿰火火 / ⿱火炏	
燚	yì	⿰炎炎 / ⿱炏炏	
爻	yáo	⿱乂乂 / ⿱㐅乂	
牪	yàn	⿰牛牛 / ⿰牜牛	
犇	bēn	⿱牛⿰牛牛 / ⿱牛牪	
猋	biāo	⿱犬犬⿰犬 / ⿱犬㹜	
玆	zī	⿰玄玄	
玨	jué	⿰王王 / ⿰𤣩王	
甡	shēn	⿰生生	
畕	jiāng	⿱田田	
畾	léi	⿱田⿰田田	
皕	bì	⿰百百	
皛	xiǎo	⿱白㿟 / ⿱白⿰白白	
瞐	mò	⿱目⿰目目 / ⿱目䀠	
矗	chù	⿱直⿰直直 / ⿱⿺𠃊𥃭⿰⿺𠃊𥃭⿺𠃊𥃭	
砳	lè	⿰石石	
磊	lěi	⿱石⿰石石 / ⿱石砳	
祘	suàn	⿰示示 / ⿰⿱二小⿱二小	
秝	lì	⿰禾禾	
竝	bìng	⿰立立	
競	jìng	⿰竞竞	
竸	jìng	⿰竟竟	
竹		⿰亇亇 / ⿰⿱𠂉亅⿱𠂉亅	
絲		⿰糸糸 / ⿰糹糸	
羴	shān	⿱羊⿰羊羊 / ⿱羊⿰⺶羊	
羽	yǔ	⿰习习	
聑	tiē、zhé	⿰耳耳	
聶	niè	⿱耳⿰耳耳 / ⿱耳聑	
臸	zhī、jìn	⿰至至	
舙	huà	⿱舌⿰舌舌 / ⿱舌𦧚	
艸	cǎo	⿰䶹屮 / ⿰屮屮	
芔	huì、hū	⿱䶹艸 / ⿱屮艸 / ⿱屮⿰屮屮	
芻	chú	⿱⿹勹䶹⿹勹䶹 / ⿱⿹勹屮⿹勹屮	
茻	mǎng	⿱艸艸 / ⿱⿰屮屮⿰屮屮	
虤	yán	⿰虎虎	
蟲	chóng	⿱虫⿰虫虫 / ⿱虫䖵	
覞	yào	⿰見見	
誩	jìng	⿰言言 / ⿰訁言	
譶	tà	⿱言誩 / ⿱言⿰言言	
豩	bīn	⿰豕豕	
賏	yīng	⿰貝貝	
贔	bì	⿱貝⿰貝貝 / ⿱貝賏	
赑	bì	⿱贝⿰贝贝 / ⿱贝𲂻	
赫	hè	⿰赤赤	
轟	hōng	⿱車䡛 / ⿱車⿰車車	
辡	biàn	⿰辛辛	
鍂	piān	⿰金金 / ⿰釒金	
鑫	xīn	⿱金鍂 / ⿱金⿰金金	
闁	bāo	⿵門門	
雔	chóu	⿰隹隹	
雥	zá	⿱隹⿰隹隹 / ⿱隹雔	
雦	jí、zá	⿲隹隹隹 / ⿰隹雔	
靐	bìng	⿱雷⿰雷雷	
飝	fēi	⿱飛⿰飛飛	
馫	xīn	⿱香⿰香香 / ⿱香𩡐	
騳	dú	⿰馬馬	
驫	biāo	⿱馬騳 / ⿱馬⿰馬馬	
骉	biāo	⿱马⿰马马 / ⿱马𱄿	
鱻	xiān	⿱魚䲆 / ⿱魚⿰魚魚	
麤	cū	⿱鹿⿰鹿鹿 / ⿱鹿𱋁	
龖	dá	⿰龍龍	
龘	dá	⿱龍龖 / ⿱龍⿰龍龍	
龳	càm	⿰坴坴	
㐂	xǐ	⿱七⿰七七	
㐨	xù	⿰予予	
㐩	xíng	⿰井井	
㒭		⿰兄兄	
㒹	diān	⿰真真 / ⿰眞眞	
㕕	huàn	⿱厶厶	
㕛	xù、yǒu、yòu	⿱又又	
㗊	jí、qì、bī、léi	⿰吕吕 / ⿱吅吅	
㚁	qiáo、qiào、qù	⿰堯堯	
㚐	tào	⿱大大	
㚘	bàn	⿰夫夫	
㚡	jǐ	⿰奇奇	
㚣	jiāo、xiáo	⿱女女	
㝇	chún	⿰享享	
㠭	zhǎn、zhàn	⿰⿱工工⿱工工 / ⿱⿰工工⿰工工	
㣈	sì	⿰㣇㣇	
㯤	lì	⿰來來	
㯥	cáo、zāo	⿰東東	
㱛	chuǎn、bù	⿰歹歹	
㲎	lóu	⿰毛毛	
㴇	shè	⿲水水水 / ⿰水沝	
㵘	màn	⿰⿱水水⿱水水 / ⿱沝沝	
㸚	lǐ、lì、zhuì	⿰爻爻 / ⿱⿰㐅㐅⿰㐅㐅	
㸞	bǎn	⿰片片	
㹜	yín	⿰犬犬	
㼌	yǔ	⿰瓜瓜	
㽬	fù	⿰畐畐	
㿟	bái、jiǎo	⿰白白	
䀠	jù	⿰目目	
䆐	guó	⿱秦⿰秦秦	
䎜	hūn	⿰老老	
䖃	yuè	⿱若⿰若若	
䖵	kūn	⿰虫虫	
䡛	yìn	⿰車車	
䣈	hàng、liáo、xiàng	⿰邑邑	
䨇		⿰隻隻 / ⿱雔双	
䨺	duì	⿱雲⿰雲雲	
䨻	bèng	⿰⿱雷雷⿱雷雷 / ⿱⿰雷雷⿰雷雷	
䪭	ruǎn	⿰音音	
䬕	shǎng	⿰風風	
䲆	sū	⿰魚魚	
䲜	yè	⿱䲆䲆 / ⿰𩺰𩺰 / ⿰⿱魚魚⿱魚魚	
𠀘		⿱兀兀	
𠀙		⿰⿱一冂⿱一冂 / ⿰𰀃𰀃	
𠀞		⿰⿸丅𠃍⿸丅𠃍	
𠁠	qiè	⿰⿱且且⿱且且 / ⿱⿰且且⿰且且	
𠁭	qí	⿱个⿰个个	
𠁷	chǎn	⿰串串	
𠁼	yī	⿱丶⿰丶丶	
𠃐	huì	⿰乙乙	
𠃙	róu	⿱九九	
𠃧		⿱飞飞	
𠄕	nǎi	⿱了⿰了了 / ⿱了𰁒	
𠄞		⿱一一	
𠄟		⿱一一	
𠄠	shàng	⿱一一	
𠄥		⿰亐亐	
𠅯	hè	⿰亦亦	
