# 火星文（单字）
# 本文件中仅包含《通用规范汉字表》（2013年）一级字，数据来自网络聚合。
#
# 一级字	火星文	火星文2

一	①	┅
乙	乁	
二	②	
十	拾	┿
丁	玎	
厂	廠	
七	⑦	
八	仈	
人	亾	囚
入	叺	
儿	ル	ㄦ
几	凢	幾
九	勼	
了	孒	叻
刀	叨	
力	劦	仂
乃	釢	
又	叒	
三	彡	
干	迀	幹
于	纡	於
亏	扝	虧
工	笁	
土	汢	
士	仕	壵
才	財	
下	芐	丅
寸	籿	団
大	汏	夶
丈	扙	
与	玙	與
万	萭	萬
上	仩	
小	尒	曉
口	囗	ロ
山	屾	
巾	凧	
千	芉	
乞	阣	
川	巛	〣
亿	億	
个	個	
夕	汐	
久	玖	
么	庅	仫
勺	汋	
凡	汎	
丸	汍	
及	彶	
广	広	廣
亡	匄	
门	閄	闁
丫	吖	
义	義	図
之	と	の
尸	迉	屍
已	巳	
弓	弖	
子	ふ	孓
卫	衞	衛
也	竾	吔
女	囡	
刃	刄	
飞	飛	飝
习	習	
叉	紁	
马	骉	
乡	芗	鄉
丰	仹	豐
王	迋	
开	閞	開
井	丼	囲
天	兲	
夫	玞	
元	沅	え
无	嘸	無
云	囩	雲
专	抟	專
扎	紥	紮
艺	兿	藝
木	朩	
五	伍	
支	伎	
厅	廰	廳
不	芣	鈈
犬	吠	猋
太	忲	呔
区	岖	區
历	呖	曆
友	伖	
匹	苉	
车	車	
巨	姖	
牙	厊	
比	仳	
互	沍	
切	苆	
瓦	咓	
止	圵	
少	仯	尐
日	ㄖ	
中	狆	ф
贝	赑	贔
冈	罓	岡
内	禸	內
水	渁	沝
见	見	
午	吘	
牛	犇	
手	掱	
气	氣	気
毛	毝	
升	圱	
长	萇	長
仁	芢	
片	爿	
仆	圤	
化	囮	
币		幣
仅	僅	
斤	釿	
介	夰	
从	苁	從
仑		侖
今	妗	紟
凶	兇	
分	汾	
乏	疺	
公	厷	
仓	仺	倉
月	仴	
勿	匢	
欠	芡	
风	颩	闏
丹	冄	丼
匀	枃	勻
乌	烏	
勾	芶	
凤	鳯	鳳
六	陸	
文	妏	攵
亢	囥	
方	汸	
火	焱	吙
为	潙	為
斗	乧	鬥
忆		憶
计	計	
订	忊	訂
户	戶	
认	認	
讥		譏
心	杺	惢
尺	呎	
引	吲	
丑	忸	醜
巴	妑	
孔	芤	
队	隊	
办	刅	か
以	姒	鉯
允	狁	尣
邓	郰	鄧
劝	勧	勸
双	叒	雙
书	書	圕
幻	抝	
玉	砡	玊
刊	刋	
未	沬	
末	沬	
示	沶	
击		擊
打	咑	
正	囸	㊣
扑	圤	撲
扒	朳	
功	糼	
去	厾	
甘	苷	咁
世	迣	卋
艾	銰	
古	咕	
节	兯	節
本	夲	
术	朮	術
可	妸	鈳
丙	眪	
左	咗	
厉	疠	厲
石	坧	
右	祐	
布	鈽	咘
龙	瀧	龖
平	岼	
灭	搣	滅
轧		軋
东	崬	東
卡	鉲	
北	苝	丠
占	颭	
卢	盧	
业	鄴	業
旧	舊	
帅	帥	
归	歸	
旦	狚	
目	朩	
且	苴	
叶	旪	
甲	曱	
申	妽	
叮	汀	
电	電	
号	呺	號
田	甶	畾
由	甴	
只	呮	
叭	朳	
央	姎	
兄	兇	
叽	嘰	
叼	汈	
叫	嘂	
另	叧	
叹	嘆	歎
冉	姌	
四	④	
生	泩	苼
失	妷	夨
乍	咋	
禾	秝	
丘	坵	
付	苻	
仗	扙	
代	笩	玳
仙	佡	
们	們	
仪	儀	
白	皛	苩
他	彵	
瓜	呱	
乎	苸	
丛	苁	叢
令	泠	囹
用	鼡	
印	茚	
尔	尒	爾
乐	泺	圞
句	呴	
匆	茐	
册	冊	
卯	茆	
犯	氾	
外	迯	
处	處	
冬	笗	
鸟	茑	
务	務	
包	笣	
饥		饑
主	炷	
市	巿	
立	竝	
冯	溤	馮
玄	玆	
闪	閁	閃
兰	蘭	
半	柈	
汁	汥	
汇	匯	彙
头	頭	
汉	漢	
宁	苧	寧
穴	泬	
它	咜	
讨	討	
写	冩	寫
让	讓	
礼		禮
训	訓	
议		議
必	怭	
讯	卂	訊
记	汜	記
永	怺	詠
司	呞	
尼	胒	
民	姄	囻
弘	宖	
出	炪	絀
辽		遼
奶	艿	
奴	伮	
召	佋	
加	咖	
皮	怶	
边	笾	邊
孕	夃	
发	潑	發
圣	聖	
对	怼	對
台	珆	囼
矛	罞	
纠	糾	
母	毋	
幼	孧	呦
丝	噝	絲
邦	綁	
式	鉽	
迂	扜	
刑	鉶	
动	憅	動
扛	摃	
寺	峙	
吉	咭	
扣	釦	
考	栲	
托	仛	
老	荖	咾
巩		鞏
执	秇	執
扩	拡	擴
扫	掃	
地	哋	
场	畼	場
扬	婸	揚
耳	洱	聑
共	珙	囲
芒	笀	
亚	亞	亜
芝	芷	
朴	圤	樸
机	僟	機
权	權	
过	過	
臣	烥	
再	侢	洅
协	拹	協
西	覀	
压	壓	
厌	厭	
在	茬	
百	咟	
有	洧	
存	洊	
而	洏	
页	頁	
夸	洿	誇
夺	奪	
灰	洃	咴
达	垯	達
列	烮	
死	屍	迉
成	荿	
夹	夾	
轨	匦	軌
邪	峫	
尧		堯
划	劃	
迈	邁	
毕	滭	畢
至	臸	
此	泚	
贞	浈	貞
师	溮	師
尘		塵
劣	挘	
光	洸	咣
当	當	
早	皁	
吁		籲
吐	汢	
吓	圷	嚇
虫	蟲	
曲	浀	
团	團	
吕	焒	呂
同	哃	
吊	铞	
吃	阣	
因	洇	
吸	扱	
吗	嬤	嗎
屿		嶼
岁	嵗	歲
帆	汎	
回	冋	囙
岂	豈	
则	荝	則
刚	碙	剛
网	蛧	網
肉	禸	
年	姩	
朱	咮	
先	姺	
丢	丟	
廷	侹	
舌	舙	
竹	艸	
迁		遷
乔	喬	
伟	偉	
传	伝	傳
休	咻	
伍	⑤	
伏	茯	
优	沋	優
伐	浌	
延	娫	
任	姙	
伤	傷	
价	價	
伦	囵	倫
份	妢	
华	澕	囮
仰	卬	
仿	汸	
伙	钬	夥
伪	沩	偽
自	洎	
伊	吚	
血	洫	
向	姠	
似	姒	
后	後	
行	垳	荇
舟	洀	
全	洤	铨
会	浍	茴
杀	摋	殺
合	匼	
兆	狣	
企	佱	
众	衆	眾
爷	爺	
伞	傘	
创	創	
肋	叻	
朵	朶	
杂	卆	雜
危	佹	
旬	洵	
旭	旮	
负	萯	負
名	洺	
各	茖	
多	哆	
争	踭	爭
色	脃	銫
壮	匨	壯
冲	沖	
妆	妝	
冰	栤	
庄	圧	莊
庆		慶
亦	洂	
刘	嚠	劉
齐	斉	齊
交	茭	
衣	扆	衤
次	佽	
产	浐	產
决	吷	決
充	茺	
闭	閉	
问	問	
闯	闖	
羊	咩	羴
并	並	
关	関	關
米	洣	
灯	燈	
州	詶	
汗	汙	
污	汚	汙
江	茳	
汛	卂	
池	肔	
汝	肗	
汤	饧	湯
忙	杧	
兴	興	
宇	荢	
守	垨	
字	牸	芓
安	鮟	咹
讲	講	
讳		諱
军	軍	
讶	冴	訝
许	汻	許
讹		訛
论	囵	論
讼		訟
农	哝	農
讽		諷
设	蔎	設
访	汸	訪
诀	吷	訣
寻	浔	尋
那	哪	
迅	卂	
尽	浕	盡
导		導
异	異	
弛	肔	
孙	孫	
阵	俥	陣
阳	陽	
收	荍	
阶		階
阴	隂	陰
防	汸	
奸	奷	
如	洳	
妇		婦
好	恏	
她	咜	
妈	媽	
戏	戱	戲
观	觀	
欢	歡	
买	荬	買
红	葒	紅
驮	駞	馱
纤	汘	纖
驯	紃	馴
约	箹	約
级		級
纪	汜	紀
驰	肔	馳
纫		紉
巡	廵	
寿	壽	
弄	挵	
麦	麥	
玛	犸	瑪
进	琎	進
戒	悈	
吞	昋	
远	逺	遠
违	違	
韧		韌
运	運	
扶	荴	
抚		撫
坛	墵	壇
坏	壞	
抠	摳	
扰	擾	
拒	岠	
批	纰	
址	歮	
走	趉	赱
抄	莏	
贡	貢	
坝		壩
攻	糼	
赤	哧	
折	菥	
抡	囵	掄
扮	汾	
抢	熗	搶
孝	涍	
均	汮	
抛	拋	
坟	墳	
坑	妔	
抗	忼	
坊	汸	
抖	鬦	
护	戶	護
壳	涜	殼
志	梽	
块	赽	塊
扭	沑	
声	殸	聲
把	妑	紦
报	蕔	報
拟	抳	擬
却	卻	
抒	杼	
芜	蕪	
苇		葦
芽	厊	
花	埖	婲
芬	棼	
苍	芲	蒼
芳	淓	
严	嚴	
芦	廬	蘆
劳	崂	勞
克	尅	
芭	妑	
苏	蘇	
杠	釭	
杜	荰	
材	財	
村	籿	
杖	粀	
杏	莕	
巫	莁	
极		極
杨	昜	楊
求	浗	
更	浭	哽
束	娕	
吾	圄	
豆	荳	
两	倆	両
丽	婯	麗
医	悘	醫
辰	宸	
励		勵
否	娝	
还	還	
歼	姧	殲
来	唻	
连	涟	連
轩	蓒	軒
步	荹	
卤		鹵
坚	堅	
旱	猂	
盯	饤	
呈	珵	
时	溡	塒
吴	呉	吳
助	莇	
县	縣	
里		裏
呆	槑	
吱	汥	
呕	嘔	
园	圎	園
旷	纩	曠
围	圍	
呀	吖	
吨	沌	噸
