# 第一批簡體字表(1935，民國24年8月21日)
# 共324字，分17韵排列。
# https://zh.wikisource.org/wiki/第一批简体字表
# https://zi.tools/?secondary=character_set&set=G民國一簡
# 
# 部分字形有差异：如“艹”一般作“䒑”，“户”一般作“戶”

# （一）ㄚ韵
罢	罷	0001	
发	發	0002	# “发”中“丶”在“𠃊”下“又”上: ⿸⿻丿𠃊⿹丶又
阀	閥	0003
⿱䒑合	答	0004
杀	殺	0005
𰗣	雜	0006	# ⿱𠅃木, ⿱𠅃朩
压	壓	0007
唖	啞	0008
亜	亞	0009
价	價	0010
虾	蝦	0011
袜	襪	0012
挂	掛	0013
画	畫	0014
㓰	劃	0015

# （二）ㄛ韵
拨	撥	0016	
泼	潑	0017
罗	羅	0018
啰	囉	0019
⿰金罗	鑼	0020
逻	邏	0021
箩	籮	0022
⿰巾囯	幗	0023
囯	國	0024
过	過	0025

# （三）ㄜ韵
悪	惡	0026
庅	麽	0027
个	個	0028
𬮤	闔	0029
蛰	蟄	0030
这	這	0031
热	熱	0032

# （四）ㄝ韵　
鉄	鐵	0033
窃	竊	0034
协	協	0035
乐	樂	0036
覚	覺	0037
学	學	0038

# （五）ㄭ韵
貭	質	0039
执	執	0040
聀	職	0041
帋	紙	0042
⿺辶⿸㇇丰	遲	0043
师	師	0044
狮	獅	0045
时	時	0046
实	實	0047
势	勢	0048
辞	辭	0049

# （六）ㄦ韵
尔	爾	0050
迩	邇	0051

# （七）ㄧ韵
医	醫	0052
仪	儀	0053
蚁	蟻	0054
义	義	0055
𲁤	議	0056
异	異	0057
兿	藝	0058
闭	閉	0059
弥	彌	0060
籴	䨀	0061
⿰亻夲	體	0062
拟	擬	0063
离	離	0064
礼	禮	0065
厉	厲	0066
励	勵	0067
机	機	0068
鳮	鷄	0069
𲊦	虀	0070
㨈	擠	0071
継	繼	0072
剤	劑	0073
済	濟	0074
斉	齊	0075
⿱山巳	豈	0076
启	啟	0077
气	氣	0078
弃	棄	0079
戏	戲	0080

