# GB 18030-2000《信息技术 信息交换用汉字编码字符集 基本集的扩充》
# 共27533个汉字
# https://github.com/johnnyqian/gb-encodings
#
# “一~﨩”为二字节区，共21003字，和GBK-1995一致。
# 其中GB18030编码“FE50~FEA0”共80个字符采用PUA编码。
# “㐀~䶵”为四字节扩充区，扩充Unicode基本汉字扩展A中6530个汉字（部分已经在双字节区中，不在重复编码）
#
# char	Unicode	GB18030	PUA

一	U+E00	D2BB	
丁	U+E01	B6A1	
丂	U+E02	8140	
七	U+E03	C6DF	
丄	U+E04	8141	
丅	U+E05	8142	
丆	U+E06	8143	
万	U+E07	CDF2	
丈	U+E08	D5C9	
三	U+E09	C8FD	
上	U+E0A	C9CF	
下	U+E0B	CFC2	
丌	U+E0C	D8A2	
不	U+E0D	B2BB	
与	U+E0E	D3EB	
丏	U+E0F	8144	
丐	U+E10	D8A4	
丑	U+E11	B3F3	
丒	U+E12	8145	
专	U+E13	D7A8	
且	U+E14	C7D2	
丕	U+E15	D8A7	
世	U+E16	CAC0	
丗	U+E17	8146	
丘	U+E18	C7F0	
丙	U+E19	B1FB	
业	U+E1A	D2B5	
丛	U+E1B	B4D4	
东	U+E1C	B6AB	
丝	U+E1D	CBBF	
丞	U+E1E	D8A9	
丟	U+E1F	8147	
丠	U+E20	8148	
両	U+E21	8149	
丢	U+E22	B6AA	
丣	U+E23	814A	
两	U+E24	C1BD	
严	U+E25	D1CF	
並	U+E26	814B	
丧	U+E27	C9A5	
丨	U+E28	D8AD	
丩	U+E29	814C	
个	U+E2A	B8F6	
丫	U+E2B	D1BE	
丬	U+E2C	E3DC	
中	U+E2D	D6D0	
丮	U+E2E	814D	
丯	U+E2F	814E	
丰	U+E30	B7E1	
丱	U+E31	814F	
串	U+E32	B4AE	
丳	U+E33	8150	
临	U+E34	C1D9	
丵	U+E35	8151	
丶	U+E36	D8BC	
丷	U+E37	8152	
丸	U+E38	CDE8	
丹	U+E39	B5A4	
为	U+E3A	CEAA	
主	U+E3B	D6F7	
丼	U+E3C	8153	
丽	U+E3D	C0F6	
举	U+E3E	BED9	
丿	U+E3F	D8AF	
乀	U+E40	8154	
乁	U+E41	8155	
乂	U+E42	8156	
乃	U+E43	C4CB	
乄	U+E44	8157	
久	U+E45	BEC3	
乆	U+E46	8158	
乇	U+E47	D8B1	
么	U+E48	C3B4	
义	U+E49	D2E5	
乊	U+E4A	8159	
之	U+E4B	D6AE	
乌	U+E4C	CEDA	
乍	U+E4D	D5A7	
乎	U+E4E	BAF5	
乏	U+E4F	B7A6	
乐	U+E50	C0D6	
乑	U+E51	815A	
乒	U+E52	C6B9	
乓	U+E53	C5D2	
乔	U+E54	C7C7	
乕	U+E55	815B	
乖	U+E56	B9D4	
乗	U+E57	815C	
乘	U+E58	B3CB	
乙	U+E59	D2D2	
乚	U+E5A	815D	
乛	U+E5B	815E	
乜	U+E5C	D8BF	
九	U+E5D	BEC5	
乞	U+E5E	C6F2	
也	U+E5F	D2B2	
习	U+E60	CFB0	
乡	U+E61	CFE7	
乢	U+E62	815F	
乣	U+E63	8160	
乤	U+E64	8161	
乥	U+E65	8162	
书	U+E66	CAE9	
乧	U+E67	8163	
乨	U+E68	8164	
乩	U+E69	D8C0	
乪	U+E6A	8165	
乫	U+E6B	8166	
乬	U+E6C	8167	
乭	U+E6D	8168	
乮	U+E6E	8169	
乯	U+E6F	816A	
买	U+E70	C2F2	
乱	U+E71	C2D2	
乲	U+E72	816B	
乳	U+E73	C8E9	
乴	U+E74	816C	
乵	U+E75	816D	
乶	U+E76	816E	
乷	U+E77	816F	
乸	U+E78	8170	
乹	U+E79	8171	
乺	U+E7A	8172	
乻	U+E7B	8173	
乼	U+E7C	8174	
乽	U+E7D	8175	
乾	U+E7E	C7AC	
乿	U+E7F	8176	
亀	U+E80	8177	
亁	U+E81	8178	
亂	U+E82	8179	
亃	U+E83	817A	
亄	U+E84	817B	
亅	U+E85	817C	
了	U+E86	C1CB	
亇	U+E87	817D	
予	U+E88	D3E8	
争	U+E89	D5F9	
亊	U+E8A	817E	
事	U+E8B	CAC2	
二	U+E8C	B6FE	
亍	U+E8D	D8A1	
于	U+E8E	D3DA	
亏	U+E8F	BFF7	
亐	U+E90	8180	
云	U+E91	D4C6	
互	U+E92	BBA5	
亓	U+E93	D8C1	
五	U+E94	CEE5	
井	U+E95	BEAE	
亖	U+E96	8181	
亗	U+E97	8182	
亘	U+E98	D8A8	
亙	U+E99	8183	
亚	U+E9A	D1C7	
些	U+E9B	D0A9	
亜	U+E9C	8184	
亝	U+E9D	8185	
亞	U+E9E	8186	
亟	U+E9F	D8BD	
亠	U+EA0	D9EF	
亡	U+EA1	CDF6	
亢	U+EA2	BFBA	
亣	U+EA3	8187	
交	U+EA4	BDBB	
亥	U+EA5	BAA5	
亦	U+EA6	D2E0	
产	U+EA7	B2FA	
亨	U+EA8	BAE0	
亩	U+EA9	C4B6	
亪	U+EAA	8188	
享	U+EAB	CFED	
京	U+EAC	BEA9	
亭	U+EAD	CDA4	
亮	U+EAE	C1C1	
亯	U+EAF	8189	
亰	U+EB0	818A	
亱	U+EB1	818B	
亲	U+EB2	C7D7	
亳	U+EB3	D9F1	
亴	U+EB4	818C	
亵	U+EB5	D9F4	
亶	U+EB6	818D	
亷	U+EB7	818E	
亸	U+EB8	818F	
亹	U+EB9	8190	
人	U+EBA	C8CB	
亻	U+EBB	D8E9	
亼	U+EBC	8191	
亽	U+EBD	8192	
亾	U+EBE	8193	
亿	U+EBF	D2DA	
什	U+EC0	CAB2	
仁	U+EC1	C8CA	
仂	U+EC2	D8EC	
仃	U+EC3	D8EA	
仄	U+EC4	D8C6	
仅	U+EC5	BDF6	
仆	U+EC6	C6CD	
仇	U+EC7	B3F0	
仈	U+EC8	8194	
仉	U+EC9	D8EB	
今	U+ECA	BDF1	
介	U+ECB	BDE9	
仌	U+ECC	8195	
仍	U+ECD	C8D4	
从	U+ECE	B4D3	
仏	U+ECF	8196	
仐	U+ED0	8197	
仑	U+ED1	C2D8	
仒	U+ED2	8198	
仓	U+ED3	B2D6	
仔	U+ED4	D7D0	
仕	U+ED5	CACB	
他	U+ED6	CBFB	
仗	U+ED7	D5CC	
付	U+ED8	B8B6	
仙	U+ED9	CFC9	
仚	U+EDA	8199	
仛	U+EDB	819A	
仜	U+EDC	819B	
仝	U+EDD	D9DA	
仞	U+EDE	D8F0	
