# 《汉字内码扩展规范》1.0版（GBK）/《技术标函[1995]229号》
# 汉字共21003个（去除PUA区域后实际正常映射汉字：20923字）
#
# 备注：
# GBK编码范围0x8140-0xFEFE，共收录汉字和图形符号21886个，其中：
# 汉字（包括部首和构件）21003个，
#   - GBK/2：0xBOA1-0xF7FE, 收录 GB 2312 汉字 6763 个，按原序排列；
#   - GBK/3：0x8140-0xAOFE，收录 CJK 汉字 6080 个；
#   - GBK/4：0xAA40-0xFEAO，收录 CJK 汉字和增补的汉字 8160 个。
# 图形符号883个：GBK/1（0xA1A1-A9FE）、GBK/5（0xA840-A9AO）。
# 
# 本文件按GBK码表顺序排列，其中：
# - 原标准映射至兼容区的汉字仍保留，“郎～﨩”共21个字符；
# - 原标准映射至私用区的汉字已经转换成正确Unicode字符，“⺁～龻”共80个字符，原始见raw列。
#
# char	raw	GBK	Unicode

丂	丂	8140	U+4E02
丄	丄	8141	U+4E04
丅	丅	8142	U+4E05
丆	丆	8143	U+4E06
丏	丏	8144	U+4E0F
丒	丒	8145	U+4E12
丗	丗	8146	U+4E17
丟	丟	8147	U+4E1F
丠	丠	8148	U+4E20
両	両	8149	U+4E21
丣	丣	814A	U+4E23
並	並	814B	U+4E26
丩	丩	814C	U+4E29
丮	丮	814D	U+4E2E
丯	丯	814E	U+4E2F
丱	丱	814F	U+4E31
丳	丳	8150	U+4E33
丵	丵	8151	U+4E35
丷	丷	8152	U+4E37
丼	丼	8153	U+4E3C
乀	乀	8154	U+4E40
乁	乁	8155	U+4E41
乂	乂	8156	U+4E42
乄	乄	8157	U+4E44
乆	乆	8158	U+4E46
乊	乊	8159	U+4E4A
乑	乑	815A	U+4E51
乕	乕	815B	U+4E55
乗	乗	815C	U+4E57
乚	乚	815D	U+4E5A
乛	乛	815E	U+4E5B
乢	乢	815F	U+4E62
乣	乣	8160	U+4E63
乤	乤	8161	U+4E64
乥	乥	8162	U+4E65
乧	乧	8163	U+4E67
乨	乨	8164	U+4E68
乪	乪	8165	U+4E6A
乫	乫	8166	U+4E6B
乬	乬	8167	U+4E6C
乭	乭	8168	U+4E6D
乮	乮	8169	U+4E6E
乯	乯	816A	U+4E6F
乲	乲	816B	U+4E72
乴	乴	816C	U+4E74
乵	乵	816D	U+4E75
乶	乶	816E	U+4E76
乷	乷	816F	U+4E77
乸	乸	8170	U+4E78
乹	乹	8171	U+4E79
乺	乺	8172	U+4E7A
乻	乻	8173	U+4E7B
乼	乼	8174	U+4E7C
乽	乽	8175	U+4E7D
乿	乿	8176	U+4E7F
亀	亀	8177	U+4E80
亁	亁	8178	U+4E81
亂	亂	8179	U+4E82
亃	亃	817A	U+4E83
亄	亄	817B	U+4E84
亅	亅	817C	U+4E85
亇	亇	817D	U+4E87
亊	亊	817E	U+4E8A
亐	亐	8180	U+4E90
亖	亖	8181	U+4E96
亗	亗	8182	U+4E97
亙	亙	8183	U+4E99
亜	亜	8184	U+4E9C
亝	亝	8185	U+4E9D
亞	亞	8186	U+4E9E
亣	亣	8187	U+4EA3
亪	亪	8188	U+4EAA
亯	亯	8189	U+4EAF
亰	亰	818A	U+4EB0
亱	亱	818B	U+4EB1
亴	亴	818C	U+4EB4
亶	亶	818D	U+4EB6
亷	亷	818E	U+4EB7
亸	亸	818F	U+4EB8
亹	亹	8190	U+4EB9
亼	亼	8191	U+4EBC
亽	亽	8192	U+4EBD
亾	亾	8193	U+4EBE
仈	仈	8194	U+4EC8
仌	仌	8195	U+4ECC
仏	仏	8196	U+4ECF
仐	仐	8197	U+4ED0
仒	仒	8198	U+4ED2
仚	仚	8199	U+4EDA
仛	仛	819A	U+4EDB
仜	仜	819B	U+4EDC
仠	仠	819C	U+4EE0
仢	仢	819D	U+4EE2
仦	仦	819E	U+4EE6
仧	仧	819F	U+4EE7
仩	仩	81A0	U+4EE9
仭	仭	81A1	U+4EED
仮	仮	81A2	U+4EEE
仯	仯	81A3	U+4EEF
仱	仱	81A4	U+4EF1
仴	仴	81A5	U+4EF4
仸	仸	81A6	U+4EF8
仹	仹	81A7	U+4EF9
仺	仺	81A8	U+4EFA
仼	仼	81A9	U+4EFC
仾	仾	81AA	U+4EFE
伀	伀	81AB	U+4F00
伂	伂	81AC	U+4F02
伃	伃	81AD	U+4F03
伄	伄	81AE	U+4F04
伅	伅	81AF	U+4F05
伆	伆	81B0	U+4F06
伇	伇	81B1	U+4F07
伈	伈	81B2	U+4F08
伋	伋	81B3	U+4F0B
伌	伌	81B4	U+4F0C
伒	伒	81B5	U+4F12
伓	伓	81B6	U+4F13
伔	伔	81B7	U+4F14
伕	伕	81B8	U+4F15
伖	伖	81B9	U+4F16
伜	伜	81BA	U+4F1C
伝	伝	81BB	U+4F1D
伡	伡	81BC	U+4F21
伣	伣	81BD	U+4F23
伨	伨	81BE	U+4F28
伩	伩	81BF	U+4F29
伬	伬	81C0	U+4F2C
伭	伭	81C1	U+4F2D
伮	伮	81C2	U+4F2E
伱	伱	81C3	U+4F31
伳	伳	81C4	U+4F33
伵	伵	81C5	U+4F35
伷	伷	81C6	U+4F37
伹	伹	81C7	U+4F39
伻	伻	81C8	U+4F3B
伾	伾	81C9	U+4F3E
伿	伿	81CA	U+4F3F
佀	佀	81CB	U+4F40
佁	佁	81CC	U+4F41
佂	佂	81CD	U+4F42
佄	佄	81CE	U+4F44
佅	佅	81CF	U+4F45
佇	佇	81D0	U+4F47
佈	佈	81D1	U+4F48
佉	佉	81D2	U+4F49
佊	佊	81D3	U+4F4A
佋	佋	81D4	U+4F4B
佌	佌	81D5	U+4F4C
佒	佒	81D6	U+4F52
佔	佔	81D7	U+4F54
佖	佖	81D8	U+4F56
佡	佡	81D9	U+4F61
佢	佢	81DA	U+4F62
佦	佦	81DB	U+4F66
佨	佨	81DC	U+4F68
佪	佪	81DD	U+4F6A
佫	佫	81DE	U+4F6B
佭	佭	81DF	U+4F6D
佮	佮	8.10E+01	U+4F6E
佱	佱	8.10E+02	U+4F71
佲	佲	8.10E+03	U+4F72
併	併	8.10E+04	U+4F75
佷	佷	8.10E+05	U+4F77
佸	佸	8.10E+06	U+4F78
佹	佹	8.10E+07	U+4F79
佺	佺	8.10E+08	U+4F7A
佽	佽	8.10E+09	U+4F7D
侀	侀	8.10E+10	U+4F80
侁	侁	81EA	U+4F81
侂	侂	81EB	U+4F82
侅	侅	81EC	U+4F85
來	來	81ED	U+4F86
侇	侇	81EE	U+4F87
侊	侊	81EF	U+4F8A
侌	侌	81F0	U+4F8C
侎	侎	81F1	U+4F8E
侐	侐	81F2	U+4F90
侒	侒	81F3	U+4F92
侓	侓	81F4	U+4F93
侕	侕	81F5	U+4F95
侖	侖	81F6	U+4F96
侘	侘	81F7	U+4F98
侙	侙	81F8	U+4F99
侚	侚	81F9	U+4F9A
侜	侜	81FA	U+4F9C
侞	侞	81FB	U+4F9E
侟	侟	81FC	U+4F9F
価	価	81FD	U+4FA1
侢	侢	81FE	U+4FA2
侤	侤	8240	U+4FA4
侫	侫	8241	U+4FAB
侭	侭	8242	U+4FAD
侰	侰	8243	U+4FB0
侱	侱	8244	U+4FB1
侲	侲	8245	U+4FB2
侳	侳	8246	U+4FB3
侴	侴	8247	U+4FB4
侶	侶	8248	U+4FB6
侷	侷	8249	U+4FB7
侸	侸	824A	U+4FB8
侹	侹	824B	U+4FB9
侺	侺	824C	U+4FBA
侻	侻	824D	U+4FBB
侼	侼	824E	U+4FBC
侽	侽	824F	U+4FBD
侾	侾	8250	U+4FBE
俀	俀	8251	U+4FC0
俁	俁	8252	U+4FC1
係	係	8253	U+4FC2
俆	俆	8254	U+4FC6
俇	俇	8255	U+4FC7
俈	俈	8256	U+4FC8
俉	俉	8257	U+4FC9
俋	俋	8258	U+4FCB
俌	俌	8259	U+4FCC
俍	俍	825A	U+4FCD
俒	俒	825B	U+4FD2
俓	俓	825C	U+4FD3
俔	俔	825D	U+4FD4
俕	俕	825E	U+4FD5
俖	俖	825F	U+4FD6
俙	俙	8260	U+4FD9
俛	俛	8261	U+4FDB
俠	俠	8262	U+4FE0
俢	俢	8263	U+4FE2
俤	俤	8264	U+4FE4
俥	俥	8265	U+4FE5
俧	俧	8266	U+4FE7
俫	俫	8267	U+4FEB
俬	俬	8268	U+4FEC
俰	俰	8269	U+4FF0
俲	俲	826A	U+4FF2
俴	俴	826B	U+4FF4
俵	俵	826C	U+4FF5
俶	俶	826D	U+4FF6
俷	俷	826E	U+4FF7
俹	俹	826F	U+4FF9
俻	俻	8270	U+4FFB
俼	俼	8271	U+4FFC
俽	俽	8272	U+4FFD
俿	俿	8273	U+4FFF
倀	倀	8274	U+5000
倁	倁	8275	U+5001
倂	倂	8276	U+5002
倃	倃	8277	U+5003
倄	倄	8278	U+5004
倅	倅	8279	U+5005
倆	倆	827A	U+5006
倇	倇	827B	U+5007
倈	倈	827C	U+5008
倉	倉	827D	U+5009
倊	倊	827E	U+500A
個	個	8280	U+500B
倎	倎	8281	U+500E
倐	倐	8282	U+5010
們	們	8283	U+5011
倓	倓	8284	U+5013
倕	倕	8285	U+5015
倖	倖	8286	U+5016
倗	倗	8287	U+5017
倛	倛	8288	U+501B
倝	倝	8289	U+501D
倞	倞	828A	U+501E
倠	倠	828B	U+5020
倢	倢	828C	U+5022
倣	倣	828D	U+5023
値	値	828E	U+5024
倧	倧	828F	U+5027
倫	倫	8290	U+502B
倯	倯	8291	U+502F
倰	倰	8292	U+5030
倱	倱	8293	U+5031
倲	倲	8294	U+5032
倳	倳	8295	U+5033
倴	倴	8296	U+5034
倵	倵	8297	U+5035
倶	倶	8298	U+5036
倷	倷	8299	U+5037
倸	倸	829A	U+5038
倹	倹	829B	U+5039
倻	倻	829C	U+503B
倽	倽	829D	U+503D
倿	倿	829E	U+503F
偀	偀	829F	U+5040
偁	偁	82A0	U+5041
偂	偂	82A1	U+5042
偄	偄	82A2	U+5044
偅	偅	82A3	U+5045
偆	偆	82A4	U+5046
偉	偉	82A5	U+5049
偊	偊	82A6	U+504A
偋	偋	82A7	U+504B
