# 中日韩共用常见八百汉字表（2014年公布）
# 汉字共808个
#
# 补充参考：https://dict.variants.moe.edu.tw/appendix.jsp?ID=8
#
#简化字	繁體字	日本語	韓國語

一	一	一	一
人	人	人	人
十	十	十	十
二	二	二	二
又	又	又	又
力	力	力	力
九	九	九	九
八	八	八	八
七	七	七	七
入	入	入	入
刀	刀	刀	刀
上	上	上	上
大	大	大	大
子	子	子	子
小	小	小	小
下	下	下	下
工	工	工	工
三	三	三	三
口	口	口	口
己	己	己	己
女	女	女	女
山	山	山	山
已	已	已	已
及	及	及	及
才	才	才	才
千	千	千	千
土	土	土	土
士	士	士	士
久	久	久	久
亡	亡	亡	亡
寸	寸	寸	寸
川	川	川	川
弓	弓	弓	弓
夕	夕	夕	夕
不	不	不	不
中	中	中	中
天	天	天	天
太	太	太	太
日	日	日	日
方	方	方	方
分	分	分	分
五	五	五	五
心	心	心	心
水	水	水	水
月	月	月	月
化	化	化	化
比	比	比	比
公	公	公	公
内	內	内	內
今	今	今	今
手	手	手	手
六	六	六	六
反	反	反	反
少	少	少	少
文	文	文	文
夫	夫	夫	夫
火	火	火	火
元	元	元	元
毛	毛	毛	毛
王	王	王	王
友	友	友	友
支	支	支	支
片	片	片	片
木	木	木	木
引	引	引	引
止	止	止	止
父	父	父	父
尺	尺	尺	尺
午	午	午	午
牛	牛	牛	牛
户	戶	戸	戶
氏	氏	氏	氏
井	井	井	井
仁	仁	仁	仁
犬	犬	犬	犬
他	他	他	他
以	以	以	以
可	可	可	可
生	生	生	生
出	出	出	出
主	主	主	主
用	用	用	用
去	去	去	去
民	民	民	民
本	本	本	本
外	外	外	外
加	加	加	加
四	四	四	四
正	正	正	正
由	由	由	由
平	平	平	平
代	代	代	代
白	白	白	白
立	立	立	立
打	打	打	打
北	北	北	北
世	世	世	世
必	必	必	必
目	目	目	目
市	市	市	市
布	布	布	布
石	石	石	石
母	母	母	母
未	未	未	未
半	半	半	半
示	示	示	示
古	古	古	古
史	史	史	史
失	失	失	失
功	功	功	功
田	田	田	田
皮	皮	皮	皮
令	令	令	令
左	左	左	左
句	句	句	句
右	右	右	右
玉	玉	玉	玉
冬	冬	冬	冬
兄	兄	兄	兄
永	永	永	永
末	末	末	末
巨	巨	巨	巨
幼	幼	幼	幼
甘	甘	甘	甘
仙	仙	仙	仙
申	申	申	申
册	冊	冊	冊
在	在	在	在
有	有	有	有
地	地	地	地
全	全	全	全
年	年	年	年
多	多	多	多
自	自	自	自
好	好	好	好
行	行	行	行
同	同	同	同
成	成	成	成
如	如	如	如
老	老	老	老
因	因	因	因
向	向	向	向
合	合	合	合
各	各	各	各
百	百	百	百
西	西	西	西
回	回	回	回
次	次	次	次
先	先	先	先
名	名	名	名
再	再	再	再
安	安	安	安
共	共	共	共
光	光	光	光
至	至	至	至
收	收	収	收
交	交	交	交
字	字	字	字
米	米	米	米
色	色	色	色
式	式	式	式
死	死	死	死
早	早	早	早
列	列	列	列
江	江	江	江
衣	衣	衣	衣
存	存	存	存
忙	忙	忙	忙
守	守	守	守
充	充	充	充
考	考	考	考
血	血	血	血
印	印	印	印
肉	肉	肉	肉
危	危	危	危
曲	曲	曲	曲
耳	耳	耳	耳
羊	羊	羊	羊
休	休	休	休
伐	伐	伐	伐
竹	竹	竹	竹
吉	吉	吉	吉
伏	伏	伏	伏
刑	刑	刑	刑
朱	朱	朱	朱
仰	仰	仰	仰
舌	舌	舌	舌
宅	宅	宅	宅
宇	宇	宇	宇
寺	寺	寺	寺
兆	兆	兆	兆
我	我	我	我
作	作	作	作
见	見	見	見
利	利	利	利
位	位	位	位
走	走	走	走
完	完	完	完
别	別	別	別
形	形	形	形
决	決	決	決
身	身	身	身
改	改	改	改
车	車	車	車
快	快	快	快
花	花	花	花
住	住	住	住
志	志	志	志
每	每	毎	每
更	更	更	更
究	究	究	究
近	近	近	近
何	何	何	何
步	步	歩	步
技	技	技	技
告	告	告	告
兵	兵	兵	兵
言	言	言	言
低	低	低	低
足	足	足	足
角	角	角	角
助	助	助	助
防	防	防	防
希	希	希	希
村	村	村	村
投	投	投	投
