# 《通用规范汉字表（征求意见稿）》（2009年）
# 汉字共8300个
# 分为三级：一级字表收字3500个，二级字表收字3000个，三级字表收字1800个
# 
# 字	序号	ids

一	1	
乙	2	
二	3	
十	4	
丁	5	
厂	6	
七	7	
卜	8	
八	9	
人	10	
入	11	
儿	12	
匕	13	
几	14	
九	15	
刁	16	
了	17	
刀	18	
力	19	
乃	20	
又	21	
三	22	
干	23	
于	24	
亏	25	
工	26	
土	27	
士	28	
才	29	
下	30	
寸	31	
大	32	
丈	33	
与	34	
万	35	
上	36	
小	37	
口	38	
山	39	
巾	40	
千	41	
乞	42	
川	43	
亿	44	
个	45	
夕	46	
久	47	
么	48	
勺	49	
凡	50	
丸	51	
及	52	
广	53	
亡	54	
门	55	
丫	56	
义	57	
之	58	
尸	59	
己	60	
已	61	
巳	62	
弓	63	
子	64	
卫	65	
也	66	
女	67	
刃	68	
飞	69	
习	70	
叉	71	
马	72	
乡	73	
丰	74	
王	75	
开	76	
井	77	
天	78	
夫	79	
元	80	
无	81	
云	82	
专	83	
丐	84	
扎	85	
艺	86	
木	87	
五	88	
支	89	
厅	90	
不	91	
犬	92	
太	93	
区	94	
历	95	
歹	96	
友	97	
尤	98	
匹	99	
车	100	
巨	101	
牙	102	
屯	103	
戈	104	
比	105	
互	106	
切	107	
瓦	108	
止	109	
少	110	
曰	111	
日	112	
中	113	
贝	114	
冈	115	
内	116	
水	117	
见	118	
午	119	
牛	120	
手	121	
气	122	
毛	123	
壬	124	
升	125	
夭	126	
长	127	
仁	128	
什	129	
片	130	
仆	131	
化	132	
仇	133	
币	134	
仍	135	
仅	136	
斤	137	
爪	138	
反	139	
介	140	
父	141	
从	142	
仑	143	
今	144	
凶	145	
分	146	
乏	147	
公	148	
仓	149	
月	150	
氏	151	
勿	152	
欠	153	
风	154	
丹	155	
匀	156	
乌	157	
勾	158	
凤	159	
六	160	
文	161	
亢	162	
方	163	
火	164	
为	165	
斗	166	
忆	167	
计	168	
订	169	
户	170	
认	171	
冗	172	
讥	173	
心	174	
尺	175	
引	176	
丑	177	
巴	178	
孔	179	
队	180	
办	181	
以	182	
允	183	
予	184	
邓	185	
劝	186	
双	187	
书	188	
幻	189	
玉	190	
刊	191	
未	192	
末	193	
示	194	
击	195	
打	196	
巧	197	
正	198	
扑	199	
卉	200	
扒	201	
功	202	
扔	203	
去	204	
甘	205	
世	206	
艾	207	
古	208	
节	209	
本	210	
术	211	
可	212	
丙	213	
左	214	
厉	215	
石	216	
右	217	
布	218	
夯	219	
戊	220	
龙	221	
平	222	
灭	223	
轧	224	
东	225	
卡	226	
北	227	
占	228	
凸	229	
卢	230	
业	231	
旧	232	
帅	233	
归	234	
旦	235	
目	236	
且	237	
叶	238	
甲	239	
申	240	
叮	241	
电	242	
号	243	
田	244	
由	245	
只	246	
叭	247	
史	248	
央	249	
兄	250	
叽	251	
叼	252	
叫	253	
叩	254	
叨	255	
另	256	
叹	257	
冉	258	
皿	259	
凹	260	
囚	261	
四	262	
生	263	
矢	264	
失	265	
乍	266	
禾	267	
丘	268	
付	269	
仗	270	
代	271	
仙	272	
们	273	
仪	274	
白	275	
仔	276	
他	277	
斥	278	
瓜	279	
乎	280	
丛	281	
令	282	
用	283	
甩	284	
印	285	
尔	286	
乐	287	
句	288	
匆	289	
册	290	
卯	291	
犯	292	
外	293	
处	294	
冬	295	
鸟	296	
务	297	
包	298	
饥	299	
主	300	
市	301	
立	302	
冯	303	
玄	304	
闪	305	
兰	306	
半	307	
汁	308	
汇	309	
头	310	
汉	311	
宁	312	
穴	313	
它	314	
讨	315	
写	316	
让	317	
礼	318	
训	319	
议	320	
必	321	
讯	322	
记	323	
永	324	
司	325	
尼	326	
民	327	
弗	328	
弘	329	
出	330	
辽	331	
奶	332	
奴	333	
召	334	
加	335	
皮	336	
边	337	
孕	338	
发	339	
圣	340	
对	341	
台	342	
矛	343	
纠	344	
母	345	
幼	346	
丝	347	
邦	348	
式	349	
迂	350	
刑	351	
戎	352	
动	353	
扛	354	
寺	355	
吉	356	
扣	357	
考	358	
托	359	
老	360	
巩	361	
圾	362	
执	363	
扩	364	
扫	365	
地	366	
场	367	
扬	368	
耳	369	
芋	370	
共	371	
芒	372	
亚	373	
芝	374	
朽	375	
朴	376	
机	377	
权	378	
过	379	
臣	380	
吏	381	
再	382	
协	383	
西	384	
压	385	
厌	386	
戌	387	
在	388	
百	389	
有	390	
存	391	
而	392	
页	393	
匠	394	
夸	395	
夺	396	
灰	397	
达	398	
列	399	
死	400	
成	401	
夹	402	
夷	403	
轨	404	
邪	405	
尧	406	
划	407	
迈	408	
毕	409	
至	410	
此	411	
贞	412	
师	413	
尘	414	
尖	415	
劣	416	
光	417	
当	418	
早	419	
吁	420	
吐	421	
吓	422	
虫	423	
曲	424	
团	425	
吕	426	
同	427	
吊	428	
吃	429	
因	430	
吸	431	
吗	432	
吆	433	
屿	434	
屹	435	
岁	436	
帆	437	
回	438	
岂	439	
则	440	
刚	441	
网	442	
肉	443	
年	444	
朱	445	
先	446	
丢	447	
廷	448	
舌	449	
竹	450	
迁	451	
乔	452	
迄	453	
伟	454	
传	455	
乒	456	
乓	457	
休	458	
伍	459	
伏	460	
优	461	
臼	462	
伐	463	
延	464	
仲	465	
件	466	
任	467	
伤	468	
价	469	
伦	470	
份	471	
华	472	
仰	473	
仿	474	
伙	475	
伪	476	
自	477	
伊	478	
血	479	
向	480	
似	481	
后	482	
行	483	
舟	484	
全	485	
会	486	
杀	487	
合	488	
兆	489	
企	490	
众	491	
爷	492	
伞	493	
创	494	
肌	495	
肋	496	
朵	497	
杂	498	
危	499	
旬	500	
旨	501	
旭	502	
负	503	
匈	504	
名	505	
各	506	
多	507	
争	508	
色	509	
壮	510	
冲	511	
妆	512	
冰	513	
庄	514	
庆	515	
亦	516	
刘	517	
齐	518	
交	519	
衣	520	
次	521	
产	522	
决	523	
亥	524	
充	525	
妄	526	
闭	527	
问	528	
闯	529	
羊	530	
并	531	
关	532	
米	533	
灯	534	
州	535	
汗	536	
污	537	
江	538	
汛	539	
池	540	
汝	541	
汤	542	
忙	543	
兴	544	
宇	545	
守	546	
宅	547	
字	548	
安	549	
讲	550	
讳	551	
军	552	
讶	553	
许	554	
讹	555	
论	556	
讼	557	
农	558	
讽	559	
设	560	
访	561	
诀	562	
寻	563	
那	564	
迅	565	
尽	566	
导	567	
异	568	
弛	569	
孙	570	
阵	571	
阳	572	
收	573	
阶	574	
阴	575	
防	576	
奸	577	
如	578	
妇	579	
妃	580	
好	581	
她	582	
妈	583	
戏	584	
羽	585	
观	586	
欢	587	
买	588	
红	589	
驮	590	
纤	591	
驯	592	
约	593	
级	594	
纪	595	
驰	596	
纫	597	
巡	598	
寿	599	
弄	600	
麦	601	
玖	602	
玛	603	
形	604	
进	605	
戒	606	
吞	607	
远	608	
违	609	
韧	610	
运	611	
扶	612	
抚	613	
坛	614	
技	615	
坏	616	
抠	617	
扰	618	
扼	619	
拒	620	
找	621	
批	622	
址	623	
扯	624	
走	625	
