# 常用标准汉喃字表（2023年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20150123.pdf
# 表1共3987字（分为6级，即1、2、3、4、5、T，分别有236、355、471、470、480、1975字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

阿	A	3	阿從 a tòng · 阿諛 a du · 阿片 a phiến · 阿羅漢 A La Hán · 阿哬！ a ha! [嘆]	
妸	ả	T	淹妸 êm ả · 妸陶 ả đào	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：婭、婀、婍、娿; 𡨸尼拱固体得使用𥪝詞𠸨、䀡附錄。 Chữ này cũng có thể được sử dụng trong từ láy, xem Phụ Lục.
亞	Á	4	洲亞 Châu Á · 亞金 á kim · 亞聖 á thánh	
啊	à	4	勢啊？ Thế à? [嘆]	
啊	ã	4	嗢啊 ồn ã [𠸨]	
吖	ạ	T	𠳐吖！ Vâng ạ! · 嘲俱吖 Chào cụ ạ	
惡	ÁC	4	善惡 thiện ác · 惡人 ác nhân · 惡夢 ác mộng · 惡性 ác tính · 惡心 ác tâm	
𪅴	ác	T	𪅴羅 ác là · 𣈖𪅴 bóng ác	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：鵶、鷽
厄	ÁCH	T	災厄 tai ách	
哀	AI	T	哀怨 ai oán	
埃	AI	3	塵埃 trần ai	
埃	ai	3	埃妬 ai đó · 埃埃 ai ai	
愛	ÁI	3	親愛 thân ái · 愛情 ái tình · 戀愛 luyến ái · 可愛 khả ái · 愛國 ái quốc · 博愛 bác ái · 愛懝 ái ngại · 相愛 tương ái	
噯	ái	T	噯嗏 ái chà [嘆]	
𧘇	ấy	2	𠊛𧘇 người ấy · 𣅶𧘇 lúc ấy · 𡀯𧘇 chuyện ấy	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：意
𧘇	í	2		⇔ 𧘇 ấy
諳	AM	T	諳曉 am hiểu	
黯	ẢM	T	黯淡 ảm đạm	
暗	ÁM	4	幽暗 u ám · 暗示 ám thị · 暗號 ám hiệu · 𥊚暗 mờ ám · 被魔暗 bị ma ám · 𤇦𤆺暗壁𤇮 mồ hóng ám vách bếp	
音	ÂM	3	發音 phát âm · 音樂 âm nhạc · 音聲 âm thanh · 五音 ngũ âm	
陰	ÂM	5	陰曆 âm lịch · 陰謀 âm mưu · 陰電 âm điện · 陰性 âm tính · 陰忱 âm thầm · 陰倚 âm ỉ	
飲	ẨM	T	飲食 ẩm thực · 飲茶 ẩm trà · 對飲 đối ẩm	
𩐛	ấm	T	𩐛咖啡 ấm cà phê · 𩐛渃 ấm nước · 𩐛積 ấm tích	
蔭	ẤM	T	蔭生 ấm sinh · 舅蔭 cậu ấm	
𤋾	ấm	4	淹𤋾 êm ấm · 𤋾供 ấm cúng · 𤋾押 ấm áp · 𤋾頭 ấm đầu · 𤋾抑 ấm ức · 𤋾啞 ấm ớ	
𩆢	ầm	T	𩆢𢮁 ầm ừ · 𩆢𥑴 ầm ĩ · 𩆢𩆢 ầm ầm	
安	AN	1	安全 an toàn · 安身 an thân · 安居樂業 an cư lạc nghiệp	
安	YÊN	1	安𣼽 yên lặng · 安身 yên thân · 𡎦安 ngồi yên	
按	ÁN	T	按禦 án ngữ	
按	ấn	T	按劕 ấn chặt · 按鈕𥑂 ấn nút chai	
案	ÁN	2	提案 đề án · 預案 dự án · 破案 phá án	
咹	ăn	1	咹𩚵 ăn cơm · 咹𢵉 ăn bám · 式咹 thức ăn	𡨸尼拱固体得使用𥪝詞𠸨、䀡附錄。 Chữ này cũng có thể được sử dụng trong từ láy, xem Phụ Lục.
恩	ÂN	3	恩情 ân tình · 恩赦 ân xá · 恩怨 ân oán · 恩惠 ân huệ · 開恩 khai ân	
恩	ơn	3	感恩 cảm ơn · 別恩 biết ơn · 𫜵恩 làm ơn	
殷	ÂN	T	殷勤 ân cần	
隱（隐）	ẨN	2	隱居 ẩn cư · 隱喻 ẩn dụ · 隱身 ẩn thân · 歸隱 quy ẩn	
印	ẤN	2	印章 ấn chương · 印信 ấn tín · 印印 in ấn · 印刷 ấn loát · 印象 ấn tượng · 印度 Ấn Độ	
印	in	2	印影 in ảnh · 𣛠印 máy in · 印冊 in sách · 𣃣印 vừa in	
盎	áng	T	盎詩 áng thơ · 盎桃臉 áng đào kiểm	
英	ANH	1	英雄 anh hùng · 㗂英 tiếng Anh	
英	anh	1	英㛪 anh em · 英𤳆 anh trai	
嚶	anh	T	嚶呃 anh ách [聲]	
罌	ANH	T	罌粟 anh túc	
櫻	ANH	T	櫻桃 anh đào	
鸚	ANH	T	鸚鵡 anh vũ	
影	ẢNH	2	形影 hình ảnh · 幀影 tranh ảnh	
映	ÁNH	3	反映 phản ánh · 映射 ánh xạ · 映𤏬 ánh sáng · 映眜 ánh mắt	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：暎
呦	ao	T	呦約 ao ước	
幻	ẢO	T	幻夢 ảo mộng · 幻影 ảo ảnh · 幻想 ảo tưởng · 幻術 ảo thuật · 幻覺 ảo giác · 𥊚幻 mờ ảo	
襖	ÁO	3	襖𨱽 áo dài · 襖縺 áo len · 襖䘹 áo lót	
泑	ào	T	泑泑 ào ào · 泑𣿌 ào ạt · 嗢泑 ồn ào	
押	ÁP	3	押解 áp giải · 𤋾押 ấm áp [𠸨]	
押	ép	3	押擦 ép sát	
壓	ÁP	2	血壓 huyết áp · 壓倒 áp đảo · 壓制 áp chế · 電壓 điện áp · 壓用 áp dụng	
浥	ắp	T	𣹓浥 đầy ắp	
