
# 常用标准汉喃字表（2024年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表1共3975字（分为6级，即1、2、3、4、5、T，分别有244、342、464、478、490、1957字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

𡨸漢喃	音讀	level	譬喻	𥱬註
阿	A	2	阿從 a tòng · 阿諛 a dua · 阿片 a phiến · 阿羅漢 A La Hán · 阿哬！ a ha! [嘆]	[翻] U+963F
妸	ả	T	淹妸 êm ả · 妸陶 ả đào	U+59B8
亞	Á	3	洲亞 Châu Á · 亞金 á kim · 亞聖 á thánh	U+4E9E
啊	à	3	勢啊？ Thế à? [嘆]	U+554A
啊	ã	3	嗢啊 ồn ã [𠸨]	
吖	ạ	T	𠳐吖！ Vâng ạ! · 嘲俱吖 Chào cụ ạ	U+5416
惡	ÁC	2	善惡 thiện ác · 惡人 ác nhân · 惡夢 ác mộng · 惡性 ác tính · 惡心 ác tâm	U+60E1
𪅴	ác	T	𪅴羅 ác là · 𣈖𪅴 bóng ác	[異] 鵶 U+2A174
厄	ÁCH	T	災厄 tai ách	U+5384
哀	AI	T	哀怨 ai oán	U+54C0
埃	AI	3	塵埃 trần ai	U+57C3
埃	ai	3	埃妬 ai đó · 埃埃 ai ai	
愛	ÁI	3	親愛 thân ái · 愛情 ái tình · 戀愛 luyến ái · 可愛 khả ái · 愛國 ái quốc · 博愛 bác ái	[翻] U+611B
噯	ái	5	噯嗏 ái chà [嘆]	U+566F
曖	áy	T	曖𢖱 áy náy [𠸨] · 𦹯曖𣈖斜 cỏ áy bóng tà	U+66D6
𧘇	ấy	2	𠊛𧘇 người ấy · 𣅶𧘇 lúc ấy · 𡀯𧘇 chuyện ấy	[異] 意 U+27607
𧘇	í	2		⇔ 𧘇 ấy
諳	AM	4	諳曉 am hiểu	U+8AF3
黯	ẢM	5	黯淡 ảm đạm	U+9EEF
暗	ÁM	3	幽暗 u ám · 暗示 ám thị · 暗號 ám hiệu · 𥊚暗 mờ ám · 被魔暗 bị ma ám · 蒲𤆺暗壁𤇮 mồ hóng ám vách bếp	U+6697
音	ÂM	3	發音 phát âm · 音樂 âm nhạc · 音聲 âm thanh · 五音 ngũ âm	[翻] U+97F3
陰	ÂM	4	陰曆 âm lịch · 陰謀 âm mưu · 陰電 âm điện · 陰性 âm tính · 陰忱 âm thầm · 陰倚 âm ỉ	U+9670
飲	ẨM	T	飲食 ẩm thực · 飲茶 ẩm trà · 對飲 đối ẩm	U+98F2
蔭	ẤM	T	ấm sinh · 舅蔭 cậu ấm	U+852D
𩐛	ấm	T	𩐛咖啡 ấm cà phê · 𩐛渃 ấm nước · 𩐛積 ấm tích	U+2941B
𤋾	ấm	T	淹𤋾 êm ấm · 𤋾供 ấm cúng · 𤋾押 ấm áp · 𤋾頭 ấm đầu · 𤋾抑 ấm ức · 𤋾啞 ấm ớ	[異] 蔭 U+242FE
𤋾	âm	T	𤋾𤋾	⇔ 𤋾 ấm
𩆢	ầm	T	𩆢𢮁 ầm ừ · 𩆢𥑴 ầm ĩ · 𩆢𩆢 âm ấm [𠸨]	U+291A2
安	AN	1	安全 an toàn · 安身 an thân ·安居樂業 an cư lạc nghiệp	[翻] U+5B89
安	YÊN	1	安𣼽 yên lặng · 安身 yên thân ·𱖗安 ngồi yên	
按	ÁN	T	按禦 án ngữ	U+6309
按	ấn	T	按劕 ấn chặt · 按𨨷𥑂 ấn nút chai	
案	ÁN	1	提案 đề án · 預案 dự án · 破案 phá án	U+6848
咹	ăn	1	咹𩚵 ăn cơm · 咹𢵉 ăn bám ·式咹 thức ăn	U+54B9
恩	ÂN	3	恩情 ân tình · 恩赦 ân xá · 恩怨 ân oán · 恩惠 ân huệ · 開恩 khai ân	[翻] U+6069
恩	ơn	3	感恩 cảm ơn · 別恩 biết ơn · 𫜵恩 làm ơn	[翻]
殷	ÂN	T	殷勤 ân cần	U+6BB7
隱（隐）	ẨN	2	隱居 ẩn cư · 隱喻 ẩn dụ · 隱身 ẩn thân · 歸隱 quy ẩn	U+96B1 (U+9690)
印	ẤN	2	印章 ấn chương · 印信 ấn tín ·印印 in ấn · 印刷 ấn loát · 印象 ấn tượng · 印度 Ấn Độ	U+5370
印	in	2	印影 in ảnh · 𣛠印 máy in · 印冊 in sách · 𣃣印 vừa in	[翻]
盎	áng	T	盎詩 áng thơ · 盎桃臉 áng đào kiểm	U+76CE
英	ANH	1	英雄 anh hùng · 㗂英 tiếng Anh	U+82F1
英	anh	1	英㛪 anh em · 英𤳆 anh trai	
嚶	anh	T	嚶呃 anh ách [聲]	U+56B6
櫻	ANH	T	櫻桃 anh đào	U+6AFB
鸚	ANH	T	鸚鵡 anh vũ	U+9E1A
影	ẢNH	2	形影 hình ảnh · 幀影 tranh ảnh	U+5F71
映	ÁNH	5	反映 phản ánh · 映射 ánh xạ ·映𤏬 ánh sáng · 映眜 ánh mắt	U+6620
映	anh	5	映映 anh ánh [𠸨]	⇔ 映 ánh
呦	ao	T	呦約 ao ước	[翻] [異] 泑 U+5466
幻	ẢO	T	幻夢 ảo mộng · 幻影 ảo ảnh ·幻想 ảo tưởng · 幻術 ảo thuật ·幻覺 ảo giác · 𥊚幻 mờ ảo	U+5E7B
襖	ÁO	3	襖𨱽 áo dài · 襖縺 áo len · 襖䘹 áo lót	U+8956
泑	ào	T	泑泑 ào ào · 泑𣿌 ào ạt · 嗢泑 ồn ào	U+6CD1
押	ÁP	3	押解 áp giải · 𤋾押 ấm áp [𠸨]	U+62BC
押	ép	3	押擦 ép sát	[翻]
壓	ÁP	2	血壓 huyết áp · 壓倒 áp đảo ·壓制 áp chế · 電壓 điện áp · 壓用 áp dụng	[翻] U+58D3
浥	ắp	5	𣹓浥 đầy ắp	U+6D65
邑	ẤP	5	村邑 thôn ấp	[翻] U+9091
邑	óp	5	邑執 óp xọp [𠸨]	
𣿌	ạt	T	泑𣿌 ào ạt · 溩𣿌 ồ ạt	U+23FCC
𢖮	ắt	T	𢖮沛 ắt phải · 𢖮𱺵 ắt là	U+225AE
漚	âu	T	漚船 âu thuyền · 漚艚 âu tàu	U+6F1A
嫗	ÂU	T	嫗姬 Âu Cơ	U+5AD7
甌	ÂU	T	甌鐄 âu vàng · 甌𡊳 âu sành	U+750C
歐	ÂU	2	洲歐 Châu Âu	U+6B50
謳	ÂU	T	謳歌 âu ca	U+8B33
謳	âu	T	謳拱 âu cũng · 謳！𥄬𠫾𡥵 Âu! Ngủ đi con [嘆]	
鷗	ÂU	T	海鷗 hải âu	U+9DD7
幼	ẤU	4	苴幼 thơ ấu	U+5E7C
巴	BA	T	巴戟 ba kích	U+5DF4
巴	bơ	T	巴𤷵 bơ phờ [𠸨] · 巴噅 bơ vơ ·醒巴 tỉnh bơ · 㗶巴𠓨餅麪 phết bơ vào bánh mì [摱]	[翻]
芭	BA	T	芭蕉 ba tiêu	U+82AD
𠀧	ba	3	𠀧𱑕 ba mươi · 次𠀧 thứ ba · 𠀧沛 ba phải · 𠄼𠀧 dăm ba · 𠀧被 ba bị	U+20027
爸	ba	5	爸媽 ba má	U+7238
波	BA	4	風波 phong ba · 奔波 bôn ba ·微波 vi ba · 波蘭 Ba Lan · 波花 ba hoa [摱]	[翻] U+6CE2
耙	ba	T	釘耙 đinh ba	U+8019
蚆	ba	T	𡥵蚆蚆 con ba ba	U+8686
伯	BÁ	T	伯父 bá phụ · 師伯 sư bá · 伯爵 bá tước · 河伯 hà bá	U+4F2F
伯	bác	T	注伯 chú bác · 伯胡 Bác Hồ ·伯𡛔 bác gái	[異] 博
播	BÁ	4	傳播 truyền bá	U+64AD
霸	BÁ	5	稱雄稱霸 xưng hùng xưng bá ·霸主 bá chủ · 霸王 bá vương	U+9738
婆	BÀ	2	婆外 bà ngoại · 翁婆 ông bà ·婆𫅷 bà già · 𠄩婆徵 Hai Bà Trưng · 襖婆𠀧 áo bà ba	U+5A46
琶	BÀ	T	琵琶 tì bà	U+7436
粑	bã	5	𣷯粑 cặn bã · 粑𨢇 bã rượu	U+7C91
𢗌	bạ	T	𫌶𢗌 bậy bạ	U+225CC
簿	BẠ	5	名簿 danh bạ	U+7C3F
簿	BỘ	5	登簿 đăng bộ · 鄉簿 hương bộ	
礮	bác	T	大礮 đại bác	U+792E
薄	BẠC	T	負薄 phụ bạc · 背薄 bội bạc ·薄𤾷 bạc phếch · 薄殍 bạc bẽo [𠸨]	U+8584
礴	BẠC	T	磅礴 bàng bạc	U+7934
北	BẮC	1	方北 phương bắc · 東北 đông bắc · 北愛縺 Bắc Ai-len	U+5317
北	bấc	1	𩙍北 gió bấc	
𢫣	bắc	T	𢫣橋 bắc cầu	U+22AE3
堛	bậc	5	級堛 cấp bậc · 越堛 vượt bậc · 𠬠堛聖人 một bậc thánh nhân	[翻] U+581B
堛	bực	5		⇔ 堛 bậc [翻]
百	BÁCH	5	百合 bách hợp · 百科 bách khoa · 百貨 bách hoá · 百姓 bách tính	U+767E
迫	BÁCH	5	急迫 cấp bách · 逼迫 bức bách · 窘迫 quẫn bách · 滌迫 sạch bách [𠸨]	U+8FEB
