# GB/T 15564-1995 图文电视广播用汉字编码字符集 香港子集（GH）
# 共111字。
# 
# 本标准所选取的汉字，为GB 2312以及与之相对应的繁体字GB 12345中所未收集的汉字。
# 这些汉字选自GB 13000.1，共选取了111个字。
# https://zi.tools/?secondary=character_set&set=GH
# 
# 字	区位号

冇	1101
嚹	1102
奀	1103
孖	1104
岃	1105
掗	1106
掯	1107
揾	1108
脌	1109
膥	1110
艔	1111
蠄	1112
軚	1113
邨	1114
鈒	1115
鯭	1116
鰂	1117
乪	1201
乸	1202
佢	1203
冚	1204
冧	1205
劏	1206
叾	1207
吔	1208
吪	1209
吽	1210
呥	1211
咁	1212
咇	1213
咗	1214
哋	1215
哣	1216
唂	1217
唞	1218
唥	1219
啋	1220
啩	1221
啫	1222
啱	1223
啲	1224
啹	1225
喐	1226
喺	1227
喼	1228
嗰	1229
嗱	1230
嘅	1231
嘢	1232
嘥	1233
噃	1234
噏	1235
噚	1236
嚟	1237
嚡	1238
嚤	1239
嚿	1240
囖	1241
埗	1242
婄	1243
嫋	1244
嫲	1245
孭	1246
扤	1247
扱	1248
扲	1249
扻	1250
抌	1251
捵	1252
掟	1253
掹	1254
揰	1255
揼	1256
搲	1257
擝	1258
攰	1259
曱	1260
氹	1261
沊	1262
浭	1263
淰	1264
渧	1265
炆	1266
烚	1267
焗	1268
焾	1269
煀	1270
燶	1271
甴	1272
癦	1273
睩	1274
睺	1275
瞓	1276
矋	1277
罉	1278
肶	1279
胵	1280
脷	1281
腍	1282
膶	1283
舦	1284
裇	1285
趷	1286
跔	1287
踎	1288
踭	1289
躀	1290
鈪	1291
餸	1292
鎅	1293
鱲	1294
