# 澳門增補字符集（Macao Supplementary Character Set (MSCS), 2022）
# 备注：《澳門增補字符集–2022》共包括443個字符，其中漢字427個，符號16個，相比《澳門增補字符集–2020》新增收的字符共有1個。
# 整理自 http://code.web.idv.hk/miscs/miscs.php?i=1
# char	IDS	Unicode	MSCS	舊MAC序號	備註

𪜱	⿱人禾	U+2A731	MC-00001 #	MAC-00001	
𪽇	⿰田九	U+2AF47	MC-00002 #	MAC-00002	公證人，法務局
𬒀	⿰石氏	U+2C480	MC-00003 %	MAC-00003	人名，教青局
𫒇	⿰金乇	U+2B487	MC-00004 #	MAC-00004	人名，教青局(撤回)
𪻳	⿰王南	U+2AEF3	MC-00006 #	MAC-00006	人名，身份證明局
𪼓	⿰王國	U+2AF13	MC-00007 #	MAC-00007	人名，身份證明局
𪻵	⿰王厘	U+2AEF5	MC-00008 #	MAC-00008	人名，身份證明局
𬋋	⿰火富	U+2C2CB	MC-00009 %	MAC-00009	人名，身份證明局
𫌴	⿰言文	U+2B334	MC-00010 #	MAC-00010	人名，身份證明局
𫂐	⿱竹泰	U+2B090	MC-00011 #	MAC-00011	人名，身份證明局
𪦴	⿰女簡	U+2A9B4	MC-00012 #	MAC-00012	人名，身份證明局
𬞆	⿱艹袍	U+2C786	MC-00013 %	MAC-00013	人名，身份證明局
𫁢	⿰立宇	U+2B062	MC-00014 #	MAC-00014	人名，身份證明局
𫲐	⿰女賞	U+2BC90	MC-00015 %	MAC-00015	人名，身份證明局
𬫃	⿰金王	U+2CAC3	MC-00016 %	MAC-00016	人名，身份證明局
𪷫	⿰氵⿱甫氽	U+2ADEB	MC-00017 #	MAC-00017	人名，身份證明局
𫏜	⿰𧾷國	U+2B3DC	MC-00018 #	MAC-00018	人名，身份證明局
𫀗	⿰礻兒	U+2B017	MC-00019 #	MAC-00019	財政局(撤回)
𪝼	⿰亻嬰	U+2A77C	MC-00020 #	MAC-00020	財政局(撤回)；簡體：u313c6
𪵥	⿹气每	U+2AD65	MC-00021 #	MAC-00021	財政局(撤回)
𪬬	⿱浦𠇍	U+2AB2C	MC-00022 #	MAC-00022	財政局(撤回)
𫺢	⿰忄品	U+2BEA2	MC-00023 %	MAC-00023	人名，身份證明局
𬰚	⿱非立	U+2CC1A	MC-00025 %	MAC-00025	人名，身份證明局
𬊧	⿱京灬	U+2C2A7	MC-00026 %	MAC-00026	人名，身份證明局
𬊏	⿱旳灬	U+2C28F	MC-00027 %	MAC-00027	人名，身份證明局
𬎆	⿰王莹	U+2C386	MC-00028 %	MAC-00028	人名，身份證明局；繁體：㼆
𬮍	⿵門洪	U+2CB8D	MC-00031 %	MAC-00031	人名，身份證明局；簡體：u2e937
𭶙	⿰火當	U+2DD99	MC-00032 ^	MAC-00032	民政總署(撤回)；簡體：𤇻
𭓞	⿱宀山	U+2D4DE	MC-00033 ^	MAC-00033	民政總署(撤回)
𬤹	⿰豈恣	U+2C939	MC-00034 %	MAC-00034	人名，澳門大學
𮡀	⿰酉造	U+2E840	MC-00035 ^	MAC-00035	統計暨普查局(撤回)
𭏜	⿰土般	U+2D3DC	MC-00036 ^	MAC-00036	統計暨普查局(撤回)
𮫸	⿰魚耳	U+2EAF8	MC-00037 ^	MAC-00037	統計暨普查局(撤回)
𮬒	⿰魚紫	U+2EB12	MC-00038 ^	MAC-00038	統計暨普查局(撤回)
𮅠	⿱竹帖	U+2E160	MC-00039 ^	MAC-00039	統計暨普查局(撤回)
𮌥	⿰月柬	U+2E325	MC-00040 ^	MAC-00040	統計暨普查局(撤回)
𭪂	⿰木𣲇	U+2DA82	MC-00041 ^	MAC-00041	統計暨普查局(撤回)
𭇴	⿰口并	U+2D1F4	MC-00042 ^	MAC-00042	統計暨普查局(撤回)；繁體：𠵔
𭺷	⿰生僉	U+2DEB7	MC-00043 ^	MAC-00043	統計暨普查局(撤回)
𮊦	⿱羊⿺兀厶	U+2E2A6	MC-00044 ^	MAC-00044	文化局(撤回)
𬽺	⿰亻⿱夂刀	U+2CF7A (U+2CF7A-E0100)	MC-00045 ^	MAC-00045	統計暨普查局(撤回)
𬌲	⿰犭酉	U+2C332	MC-00046 %	MAC-00046	人名，教青局
𬄾	⿱火榮	U+2C13E	MC-00047 %	MAC-00047	人名，教青局
𬍳	⿰王享	U+2C373	MC-00048 %	MAC-00048	人名，教青局
𬔻	⿱竹伩	U+2C53B	MC-00049 %	MAC-00049	人名，教青局
𬁆	⿰爰日	U+2C046	MC-00050 %	MAC-00050	人名，教青局
𬐨	⿱咸皿	U+2C428	MC-00051 %	MAC-00051	人名，教青局
𫰋	⿰女犬	U+2BC0B	MC-00052 %	MAC-00052	人名，教青局
𬳧	⿱鄉香	U+2CCE7	MC-00053 %	MAC-00053	人名，教青局
𭲻	⿰氵閚	U+2DCBB	MC-00054 ^	MAC-00054	人名，教青局(撤回)
𫯜	⿱大巾	U+2BBDC	MC-00055 %	MAC-00055	人名，教青局
𫦪	⿰肙力	U+2B9AA	MC-00056 %	MAC-00056	人名，教青局
𬀲	⿰日关	U+2C032	MC-00057 %	MAC-00057	人名，教青局
𮐠	⿱艹⿰禾包	U+2E420	MC-00058 ^	MAC-00058	人名，教青局(撤回)
𬉷	⿰火上	U+2C277	MC-00059 %	MAC-00059	人名，教青局
𬯋	⿰阝甚	U+2CBCB	MC-00060 %	MAC-00060	人名，教青局
𬊕	⿰火免	U+2C295	MC-00061 %	MAC-00061	人名，教青局
𬁝	⿳业⿸⿱𦍌丿日日	U+2C05D	MC-00062 %	MAC-00062	人名，教青局
𬗋	⿹⿶弋⿰〢丿糸	U+2C5CB	MC-00063 %	MAC-00063	人名，教青局
𬓥	⿰禾⿱一丰	U+2C4E5	MC-00064 %	MAC-00064	人名，教青局
𫨨	⿺更厶	U+2BA28	MC-00065 %	MAC-00065	人名，教青局
𬠸	⿱𮙥䖵; ⿱⿸豸⿱丿乀䖵	U+2C838	MC-00066 %	MAC-00066	人名，教青局
𬈹	⿰氵⿱夭金	U+2C239	MC-00067 %	MAC-00067	人名，教青局
𮢆	⿰金昇	U+2E886	MC-00068 ^	MAC-00068	人名，教青局(撤回)
𮆞	⿱竹⿰𠂤辛	U+2E19E	MC-00069 ^	MAC-00069	人名，教青局(撤回)
𫤪	⿰全全	U+2B92A	MC-00070 %	MAC-00070	人名，教青局
𬇣	⿰氵⿱䒑巾	U+2C1E3	MC-00071 %	MAC-00071	人名，教青局
𫩠	⿱龸口	U+2BA60	MC-00074 %	MAC-00074	人名，法務局
𫣲	⿰亻賫	U+2B8F2	MC-00076 %	MAC-00076	中文電碼8094
𬟓	⿱艹勲	U+2C7D3	MC-00078 %	MAC-00078	人名，身份證明局
𭨉	⿰日臺	U+2DA09	MC-00085 ^	MAC-00085	財政局(撤回)
𭜅	⿱從中	U+2D705	MC-00086 ^	MAC-00086	財政局(撤回)
𫲄	⿰女⿳穴口禸	U+2BC84	MC-00094 %	MAC-00094	人名，身份證明局
𫾻	⿰易攵	U+2BFBB	MC-00106 %	MAC-00106	人名，法務局
𫵷	⿰山历	U+2BD77	MC-00107 %	MAC-00107	人名，法務局；繁體：㠣
𬍰	⿰王岩	U+2C370	MC-00109 %	MAC-00109	人名，法務局
𬇞	⿰氵丙	U+2C1DE	MC-00110 %	MAC-00110	機構名，法務局
𬒔	⿰石肯	U+2C494	MC-00111 %	MAC-00111	地名（佛山市石𬒔），法務局
𬮼	⿰阝欠	U+2CBBC	MC-00112 %	MAC-00112	公證人，法務局
𬒰	⿰示丑	U+2C4B0	MC-00113 %	MAC-00113	人名，法務局
𬏺	⿸疒⿱皿𧰨	U+2C3FA	MC-00116 %	MAC-00116	中文電碼4048
𬍂	⿰犭𦤎	U+2C342	MC-00118 %	MAC-00118	中文電碼8742
𬱃	⿰名頁	U+2CC43	MC-00119 %	MAC-00119	中文電碼9473
𭒨	⿰女窩	U+2D4A8	MC-00123 ^	MAC-00123	人名，法務局
𭈮	⿰口还	U+2D22E	MC-00129 ^	MAC-00129	身份證明局(撤回)；繁體：𡄤
𭇒	⿰口冊	U+2D1D2	MC-00133 ^	MAC-00133	法務局(撤回)
鿽	⿰口窄	U+9FFD	MC-00134 $		喳⿰口窄，商店名
𪛞	⿰王荣	U+2A6DE	MC-00136 $		人名；繁體：𤪤
鿿	⿱甫氽	U+9FFF	MC-00137 $		地名（佛山市董⿱甫氽村）
𪛟	⿰目王	U+2A6DF	MC-00138 $		公司名，財政局
鿾	⿰土郎	U+9FFE	MC-00139 $		人名
𫜹	〾彐	U+2B739	MC-00140 &		人名，雪的二簡字
㛇	⿰女庒	U+36C7-E0101	ME-36C7-001	MAC-00080	異體字；人名，澳門大學
㛇	⿰女⿸广𡈽	U+36C7-E0102	ME-36C7-002	MAC-00081	異體字；人名，教青局
䁘	⿰目⿱⿻夕丶缶	U+4058-E0102	ME-4058-001	MAC-00114	異體字；身份證明局(撤回)
䎗	⿰喬羽	U+4397-E0101	ME-4397-001		異體字
䘕	⿲彳亢亍	U+4615-E0101	ME-4615-001		異體字
䤾	⿰金舀	U+493E-E0101	ME-493E-001		異體字
䨩	⿱⻗神	U+4A29-E0102	ME-4A29-001		異體字
乸	⿺也母	U+4E78-E0101	ME-4E78-001		異體字
倩	⿰亻靑	U+5029-E0104	ME-5029-001		異體字
凑	⿰冫⿱𡗗夭	U+51D1-E0102	ME-51D1-001		異體字
变	⿱亦又	U+53D8-E0101	ME-53D8-001		異體字
啗	⿰口⿱刀臼	U+5557-E0102	ME-5557-001	MAC-00115	異體字；中文電碼0798
啚	⿳口十回	U+555A-E0105	ME-555A-001	MAC-00079	異體字；人名，身份證明局
啟	⿰启攵	U+555F-E0101	ME-555F-001		異體字
啫	⿰口者	U+556B-E0101	ME-556B-001	MAC-00108	異體字；法務局(撤回)
嚤	⿰口摩	U+56A4-E0101	ME-56A4-001		異體字
姸	⿰女幵	U+59F8-E0102	ME-59F8-001		異體字
嫏	⿰女郞	U+5ACF-E0102	ME-5ACF-001		異體字
岍	⿰山幵	U+5C8D-E0103	ME-5C8D-001		異體字
