# 中国·国家地名信息库 地名用字
# 汉字共605个（补充2个）
# https://dmfw.mca.gov.cn/placeWordSpecial.html
# 注：本专题所展示文字为2013年国务院公布的《通用规范汉字表》及配套的《通用规范汉字字典》所收的地名专用字、专用音，部分示例为历史地名、外国地名。
# 多音字：堡埔漴茈嵅垌峒浒浰泷𫭟瀼荥鿎
# 修正：子坪为“㭎子坪”
# 补充：筸、焿
#
# word	romanSpelling	demo	level

垵	ān	曾厝垵（福建省厦门市）	3
瑷	ài	瑷珲镇（黑龙江省黑河市）	3
嶅	áo	嶅山（山东省新泰市）	3
廒	áo	西公廒（辽宁省锦州市）	3
岙	ào	松岙山（浙江省宁波市）	3
奡	ào	奡村（河南省新乡市）	3
朳	bā	构朳镇（陕西省安康市）	3
岜	bā	岜饶乡（贵州省黔西南布依族苗族自治州）	3
蚆	bā	蚆蛸岛（辽宁省大连市）	3
灞	bà	灞河（陕西省西安市）	2
阪	bǎn	大阪（日本）	2
昄	bǎn	昄大乡（江西省上饶市）	3
湴	bàn	源湴（江西省萍乡市）	3
浜	bāng	沙家浜镇（江苏省苏州市）	2
塝	bàng	张塝镇（湖北省黄冈镇）	3
椑	bēi	椑木镇（四川省内江市）	3
邶	bèi	邶城（河南省安阳市）	2
𬇙	bèi	虎𬇙镇（福建省宁德市）	3
碚	bèi	北碚区（重庆市）	2
栟	bēn	栟茶镇（江苏省南通市）	2
倴	bèn	倴城镇（河北省唐山市）	3
沘	bǐ	沘江（云南省）	3
坒	bì	五坒（浙江省宁波市）	3
苾	bì	苾村（山东省济南市）	3
咇	bì	哈咇嘎乡（河北省张家口市）	3
濞	bì	漾濞彝族自治县（云南省大理白族自治州）	2
碥	biǎn	碥头溪（陕西省商洛市）	3
汴	biàn	黄汴河（河南省开封市）	2
瀌	biāo	瀌草沟（湖北省十堰市）	3
脿	biǎo	法脿镇（云南省楚雄彝族自治州）	3
癿	bié	癿藏镇（甘肃省临夏回族自治州）	3
邠	bīn	邠州村（江苏省扬州市）	3
豳	bīn	豳风街（陕西省咸阳市）	2
砵	bō	铜砵村（福建省漳州市）	3
哱	bō	西哱罗寨（山东省德州市）	3
嶓	bō	大嶓页（甘肃省张掖市）	3
亳	bó	亳州市（安徽省）	2
渤	bó	渤海	1
埗	bù	高埗镇（广东省东莞市）	3
蔀	bù	上蓁蔀（浙江省丽水市）	3
𥕢	cáo	斫𥕢乡（湖南省邵阳市）	3
垞	chá	垞城街道（江苏省徐州市）	3
嵖	chá	嵖岈山镇（河南省驻马店市）	2
辿	chān	龙王辿（山西省临汾市）	3
澶	chán	澶堂垭（湖北省十堰市）、澶渊	2
瀍	chán	瀍河（河南省洛阳市）	3
旵	chǎn	旵山（安徽省宣城市）	3
浐	chǎn	浐河（陕西省西安市）	3
郴	chēn	郴州市（湖南省）	2
摛	chī	龙摛田（湖南省怀化市）	3
茌	chí	茌平县（山东省聊城市）	2
犨	chōu	犨河（河南省平顶山市）	3
椆	chóu	椆树塘（湖南省湘潭市）	3
䢺	chū	䢺江（四川省成都市）	3
滁	chú	滁河（安徽省）	2
噇	chuáng	噇口（江苏省南通市）	3
圌	chuí	圌山（江苏省镇江市）	3
堾	chūn	堾坪（山西省忻州市）	3
泚	cǐ	泚风岭（内蒙古赤峰市）	3
莿	cì	莿莉山（江苏省镇江市）	3
莝	cuò	莝草塘（吉林省吉林市）	3
棤	cuò	棤树塘（湖南省湘潭市）	3
溚	dá	溚水（山东省）	3
垈	dài	垈湾（江苏省泰州市）	3
埭	dài	埭溪镇（浙江省湖州市）	2
郸	dān	邯郸市（河北省）	2
儋	dān	儋州市（海南省）	2
砀	dàng	砀山县（安徽省宿州市）	2
觌	dí	孙觌（江苏省）	3
坻	dǐ	宝坻区（天津市）	2
菂	dì	菂茨塘（湖南省永州市）	3
滇	diān	滇池（云南省昆明市）	1
坫	diàn	坫后村（山东省潍坊市）	2
汈	diāo	汈汊湖（湖北省孝感市）	3
窎	diào	窎沟（甘肃省定西市）	3
楪	dié	楪村（广东省云浮市）	3
町	dīng	畹町镇（云南省瑞丽市）	2
萣	dìng	茄萣乡（台湾省）	3
岽	dōng	大岽庄（辽宁省朝阳市）	3
钭	dǒu	钭塘山（广东省惠州市）	3
塅	duàn	余塅乡（江西省九江市）	3
㙍	duō	塘㙍镇（广东省湛江市）	3
涐	é	向涐（四川省）	3
堨	è	富堨镇（安徽省黄山市）	3
𥔲	è	𥔲嘉镇（云南省楚雄彝族自治州）	3
陑	ér	雷陑村（福建省三明市）	3
洱	ěr	洱海（云南省大理市）	2
咡	èr	咪咡（云南省邵通市）	3
垡	fá	榆垡镇（北京市）	2
邡	fāng	什邡市（四川省德阳市）	3
淝	féi	淝河（安徽省）	2
朏	fěi	朏头（福建省福州市）	3
汾	fén	汾阳市（山西省吕梁市）	2
坋	fèn	大坋（福建省三明市）	3
沣	fēng	沣水镇（山东省淄博市）	2
崶	fēng	崶源庄（河北省保定市）	3
浲	féng	杨家浲（湖北省荆门市）	3
砆	fū	砆石（湖南省长沙市）	3
芣	fú	芣兰岩（山西省长治市）	3
洑	fú	洑水镇（湖北省孝感市）	3
垺	fú	南仁垺（天津市）	3
涪	fú	涪江（重庆市）	2
滏	fǔ	滏阳河（河北省）	2
㳇	fù	湖㳇镇（江苏省无锡市）	3
垓	gāi	韩垓镇（山东省济宁市）	2
荄	gāi	花荄镇（四川省绵阳市）	3
戤	gài	戤效河（江苏省南通市）	3
澉	gǎn	澉浦镇（浙江省嘉兴市）	2
淦	gàn	淦阳街道（江西省宜春市）	2
㽏	gàn	㽏井河（重庆市）	3
赣	gàn	赣州市（江西省）	1
㭎	gāng	㭎子坪（四川省巴中市）	3
矼	gāng	大矼（浙江省温州市）	3
堽	gāng	堽城镇（山东省泰安市）	3
鿍	gàng	浮亭鿍（浙江省丽水市）	3
筻	gàng	筻口镇（湖南省岳阳市）	3
藁	gǎo	藁城区（河北省石家庄市）	2
筶	gào	筶杯村（福建省莆田市）	3
圪	gē	圪洞镇（山西省吕梁市）	2
塥	gé	塥湾（安徽省安庆市）	3
滆	gé	滆湖（江苏省常州市）	3
浭	gēng	浭阳街道（河北省唐山市）	3
𬒔	gěng	石𬒔村（广东省佛山市）	3
硔	gǒng	硔池（山西省晋城市）	3
岣	gǒu	岣嵝峰（湖南省衡阳市）	2
𦙶	gǔ	宋𦙶乡（山西省晋中市）	3
嘏	gǔ	纯嘏堂（福建省漳州市）	3
瀔	gǔ	瀔溪（浙江省金华市）	3
堌	gù	永堌镇（安徽省宿州市）	3
崮	gù	孟良崮（山东省临沂市）	2
垙	guāng	上垙村（北京市）	3
洸	guāng	浛洸镇（广东省清远市）	3
妫	guī	妫水河（北京市）	2
邽	guī	下邽镇（陕西省渭南市）	3
筀	guì	筀竹（福建省龙岩市）	3
崞	guō	崞山（山西省忻州市）	3
𬇹	guó	北𬇹（江苏省无锡市）	3
虢	guó	西虢镇（河南省焦作市）	2
邗	hán	邗沟（江苏省扬州市）	3
邯	hán	邯郸市（河北省）	2
浛	hán	浛洸镇（广东省清远市）	3
垾	hàn	中垾镇（安徽省合肥市）	3
濠	háo	濠城镇（安徽省蚌埠市）	2
郃	hé	邸郃（河南省焦作市）	3
菏	hé	菏泽市（山东省）	2
垎	hè	石垎坪（广东省肇庆市）	3
堼	hèng	堼头（河北省保定市）	3
谼	hóng	鲁谼河（安徽省安庆市）	3
黉	hóng	黉山（山东省淄博市）	3
垕	hòu	神垕镇（河南省许昌市）	3
堠	hòu	双堠镇（山东省临沂市）	3
鲘	hòu	鲘门镇（广东省汕尾市）	3
淴	hū	龙蛟淴（广东省惠州市）	3
滹	hū	滹沱河	2
沪	hù	沪（上海的简称）	1
岵	hù	岵山镇（福建省泉州市）	3
鄠	hù	鄠邑区（陕西省西安市）	3
淮	huái	淮河	1
洹	huán	洹河	2
澴	huán	澴河（湖北省孝感市）	3
湟	huáng	湟水河（青海省）	2
浍	huì	浍河	2
硊	huì	石硊渡（安徽省芜湖市）	3
碈	hūn	碈头（湖南省常德市）	3
珲	hún	珲春市（吉林省延边朝鲜族自治州）	2
漷	huǒ	漷县（北京市）	3
矶	jī	燕矶镇（湖北省鄂州市）	3
耤	jí	耤口镇（甘肃省天水市）	3
芰	jì	芰塘金村（浙江省衢州市）	3
漈	jì	大漈乡（浙江省丽水市）	3
泇	jiā	泇河	3
郏	jiá	郏县（河南省平顶山市）	2
