# 方正繁简字表
# 共9664字（含繁体2241字）
# https://github.com/NightFurySL2001/cjktables/blob/master/china/foundry/fangzheng_jianfan.txt
#
#汉字	Unicode	繁体

一	U+4E00	0
丁	U+4E01	0
七	U+4E03	0
丄	U+4E04	0
丅	U+4E05	0
万	U+4E07	0
丈	U+4E08	0
三	U+4E09	0
上	U+4E0A	0
下	U+4E0B	0
丌	U+4E0C	0
不	U+4E0D	0
与	U+4E0E	0
丐	U+4E10	0
丑	U+4E11	0
专	U+4E13	0
且	U+4E14	0
丕	U+4E15	0
世	U+4E16	0
丗	U+4E17	0
丘	U+4E18	0
丙	U+4E19	0
业	U+4E1A	0
丛	U+4E1B	0
东	U+4E1C	0
丝	U+4E1D	0
丞	U+4E1E	0
両	U+4E21	0
丢	U+4E22	0
两	U+4E24	0
严	U+4E25	0
丧	U+4E27	0
丨	U+4E28	0
个	U+4E2A	0
丫	U+4E2B	0
丬	U+4E2C	0
中	U+4E2D	0
丰	U+4E30	0
串	U+4E32	0
临	U+4E34	0
丶	U+4E36	0
丸	U+4E38	0
丹	U+4E39	0
为	U+4E3A	0
主	U+4E3B	0
丽	U+4E3D	0
举	U+4E3E	0
丿	U+4E3F	0
乃	U+4E43	0
久	U+4E45	0
乇	U+4E47	0
么	U+4E48	0
义	U+4E49	0
之	U+4E4B	0
乌	U+4E4C	0
乍	U+4E4D	0
乎	U+4E4E	0
乏	U+4E4F	0
乐	U+4E50	0
乒	U+4E52	0
乓	U+4E53	0
乔	U+4E54	0
乖	U+4E56	0
乘	U+4E58	0
乙	U+4E59	0
乜	U+4E5C	0
九	U+4E5D	0
乞	U+4E5E	0
也	U+4E5F	0
习	U+4E60	0
乡	U+4E61	0
书	U+4E66	0
乩	U+4E69	0
买	U+4E70	0
乱	U+4E71	0
乳	U+4E73	0
乾	U+4E7E	0
亂	U+4E82	1
了	U+4E86	0
予	U+4E88	0
争	U+4E89	0
事	U+4E8B	0
二	U+4E8C	0
亍	U+4E8D	0
于	U+4E8E	0
亏	U+4E8F	0
云	U+4E91	0
互	U+4E92	0
亓	U+4E93	0
五	U+4E94	0
井	U+4E95	0
亘	U+4E98	0
亚	U+4E9A	0
些	U+4E9B	0
亜	U+4E9C	0
亞	U+4E9E	1
亟	U+4E9F	0
亠	U+4EA0	0
