# 汉仪繁简字表
# 共9169字（即“网络常用字”列表）
# https://github.com/NightFurySL2001/cjktables/blob/master/china/foundry/hanyi_jianfan.txt
#
#汉字	Unicode

一	U+E00
丁	U+E01
七	U+E03
丄	U+E04
丅	U+E05
万	U+E07
丈	U+E08
三	U+E09
上	U+E0A
下	U+E0B
丌	U+E0C
不	U+E0D
与	U+E0E
丐	U+E10
丑	U+E11
专	U+E13
且	U+E14
丕	U+E15
世	U+E16
丗	U+E17
丘	U+E18
丙	U+E19
业	U+E1A
丛	U+E1B
东	U+E1C
丝	U+E1D
丞	U+E1E
両	U+E21
丢	U+E22
两	U+E24
严	U+E25
丧	U+E27
丨	U+E28
个	U+E2A
丫	U+E2B
丬	U+E2C
中	U+E2D
丰	U+E30
串	U+E32
临	U+E34
丶	U+E36
丸	U+E38
丹	U+E39
为	U+E3A
主	U+E3B
丽	U+E3D
举	U+E3E
丿	U+E3F
乃	U+E43
久	U+E45
乇	U+E47
么	U+E48
义	U+E49
之	U+E4B
乌	U+E4C
乍	U+E4D
乎	U+E4E
乏	U+E4F
乐	U+E50
乒	U+E52
乓	U+E53
乔	U+E54
乖	U+E56
乘	U+E58
乙	U+E59
乜	U+E5C
九	U+E5D
乞	U+E5E
也	U+E5F
习	U+E60
乡	U+E61
书	U+E66
乩	U+E69
买	U+E70
乱	U+E71
乳	U+E73
乾	U+E7E
亂	U+E82
了	U+E86
予	U+E88
争	U+E89
事	U+E8B
二	U+E8C
亍	U+E8D
于	U+E8E
亏	U+E8F
云	U+E91
互	U+E92
亓	U+E93
五	U+E94
井	U+E95
亘	U+E98
亚	U+E9A
些	U+E9B
亜	U+E9C
亞	U+E9E
亟	U+E9F
亠	U+EA0
亡	U+EA1
亢	U+EA2
交	U+EA4
亥	U+EA5
亦	U+EA6
产	U+EA7
亨	U+EA8
亩	U+EA9
享	U+EAB
京	U+EAC
亭	U+EAD
亮	U+EAE
亲	U+EB2
亳	U+EB3
亵	U+EB5
人	U+EBA
亻	U+EBB
亿	U+EBF
什	U+EC0
仁	U+EC1
仂	U+EC2
仃	U+EC3
仄	U+EC4
仅	U+EC5
仆	U+EC6
仇	U+EC7
仉	U+EC9
今	U+ECA
介	U+ECB
仍	U+ECD
从	U+ECE
仏	U+ECF
仑	U+ED1
仓	U+ED3
仔	U+ED4
仕	U+ED5
他	U+ED6
仗	U+ED7
付	U+ED8
仙	U+ED9
仝	U+EDD
仞	U+EDE
仟	U+EDF
仡	U+EE1
代	U+EE3
令	U+EE4
以	U+EE5
仨	U+EE8
仩	U+EE9
仪	U+EEA
仫	U+EEB
们	U+EEC
仰	U+EF0
仲	U+EF2
仳	U+EF3
仵	U+EF5
件	U+EF6
价	U+EF7
任	U+EFB
份	U+EFD
仿	U+EFF
企	U+F01
伈	U+F08
伉	U+F09
伊	U+F0A
伍	U+F0D
伎	U+F0E
伏	U+F0F
伐	U+F10
休	U+F11
众	U+F17
优	U+F18
伙	U+F19
会	U+F1A
伛	U+F1B
伝	U+F1D
伞	U+F1E
伟	U+F1F
传	U+F20
伢	U+F22
伤	U+F24
伥	U+F25
伦	U+F26
伧	U+F27
伪	U+F2A
伫	U+F2B
伯	U+F2F
估	U+F30
伱	U+F31
伲	U+F32
伴	U+F34
伶	U+F36
伸	U+F38
伺	U+F3A
似	U+F3C
伽	U+F3D
佃	U+F43
但	U+F46
佇	U+F47
位	U+F4D
低	U+F4E
住	U+F4F
佐	U+F50
佑	U+F51
体	U+F53
何	U+F55
佗	U+F57
佘	U+F58
余	U+F59
佚	U+F5A
佛	U+F5B
作	U+F5C
佝	U+F5D
佞	U+F5E
佟	U+F5F
你	U+F60
佢	U+F62
佣	U+F63
佤	U+F64
佥	U+F65
佧	U+F67
佩	U+F69
佬	U+F6C
佯	U+F6F
佰	U+F70
佳	U+F73
佴	U+F74
佶	U+F76
佷	U+F77
佻	U+F7B
佼	U+F7C
佾	U+F7E
使	U+F7F
侃	U+F83
侄	U+F84
來	U+F86
侈	U+F88
侉	U+F89
例	U+F8B
侍	U+F8D
侏	U+F8F
侑	U+F91
侔	U+F94
侖	U+F96
侗	U+F97
供	U+F9B
依	U+F9D
侠	U+FA0
侣	U+FA3
侥	U+FA5
侦	U+FA6
侧	U+FA7
侨	U+FA8
侩	U+FA9
侪	U+FAA
侬	U+FAC
侮	U+FAE
侯	U+FAF
侵	U+FB5
便	U+FBF
促	U+FC3
俄	U+FC4
俅	U+FC5
俊	U+FCA
俎	U+FCE
俏	U+FCF
俐	U+FD0
俑	U+FD1
俗	U+FD7
俘	U+FD8
俚	U+FDA
俜	U+FDC
保	U+FDD
俞	U+FDE
俟	U+FDF
俠	U+FE0
信	U+FE1
俣	U+FE3
俦	U+FE6
俨	U+FE8
俩	U+FE9
俪	U+FEA
俬	U+FEC
俭	U+FED
修	U+FEE
俯	U+FEF
俱	U+FF1
俳	U+FF3
俸	U+FF8
俺	U+FFA
俾	U+FFE
倀	U+000
倆	U+006
倉	U+009
個	U+00B
倌	U+00C
倍	U+00D
倏	U+00F
們	U+011
倒	U+012
倔	U+014
倘	U+018
候	U+019
倚	U+01A
倜	U+01C
借	U+01F
倡	U+021
倥	U+025
倦	U+026
倨	U+028
倩	U+029
倪	U+02A
倫	U+02B
倬	U+02C
倭	U+02D
倮	U+02E
债	U+03A
值	U+03C
倾	U+03E
偃	U+043
偆	U+046
假	U+047
偈	U+048
偉	U+049
偌	U+04C
偍	U+04D
偎	U+04E
偏	U+04F
偐	U+050
偕	U+055
偖	U+056
做	U+05A
停	U+05C
偣	U+063
健	U+065
偬	U+06C
偲	U+072
側	U+074
偵	U+075
偶	U+076
偷	U+077
偻	U+07B
偾	U+07E
偿	U+07F
傀	U+080
傅	U+085
傈	U+088
傍	U+08D
傕	U+095
傖	U+096
傘	U+098
備	U+099
傚	U+09A
傝	U+09D
傣	U+0A3
傥	U+0A5
傧	U+0A7
储	U+0A8
傩	U+0A9
催	U+0AC
傭	U+0AD
傲	U+0B2
傳	U+0B3
傴	U+0B4
債	U+0B5
傷	U+0B7
傺	U+0BA
傻	U+0BB
傾	U+0BE
僂	U+0C2
僅	U+0C5
僉	U+0C9
像	U+0CF
僑	U+0D1
僕	U+0D5
僖	U+0D6
僚	U+0DA
僞	U+0DE
僥	U+0E5
僦	U+0E6
僧	U+0E7
僨	U+0E8
僬	U+0EC
僭	U+0ED
僮	U+0EE
僳	U+0F3
僵	U+0F5
價	U+0F9
僻	U+0FB
僾	U+0FE
儀	U+100
儂	U+102
億	U+104
儆	U+106
儇	U+107
儈	U+108
儉	U+109
儋	U+10B
儍	U+10D
儐	U+110
儒	U+112
儔	U+114
儕	U+115
儚	U+11A
償	U+11F
儡	U+121
優	U+12A
儲	U+132
儷	U+137
儺	U+13A
儻	U+13B
儼	U+13C
儿	U+13F
兀	U+140
允	U+141
元	U+143
兄	U+144
充	U+145
兆	U+146
先	U+148
光	U+149
克	U+14B
免	U+14D
児	U+150
兑	U+151
兒	U+152
兔	U+154
兕	U+155
兖	U+156
党	U+15A
兜	U+15C
兢	U+162
入	U+165
全	U+168
兩	U+169
八	U+16B
公	U+16C
六	U+16D
兮	U+16E
兰	U+170
共	U+171
兲	U+172
关	U+173
兴	U+174
兵	U+175
其	U+176
具	U+177
典	U+178
兹	U+179
养	U+17B
兼	U+17C
兽	U+17D
冀	U+180
冁	U+181
冂	U+182
冄	U+184
内	U+185
冇	U+187
冈	U+188
冉	U+189
册	U+18C
再	U+18D
冒	U+192
