
# Character Frequency List: Hua De Tong Xun
# 华德通讯单字字频列表
# Total number of characters: 2,317,618
# Number of distinctive characters: 4,946
# Column 1: Serial number; Column 2: Character; 
# Column 3: Raw frequency; Column 4: Cumulative frequency
# Column 5: Cumulative percentage
# https://web.archive.org/web/20030316140406/http://lingua.mtsu.edu/chinese-computing/statistics/hdtx.html

1	的	86966	86966	3.7524%
2	一	35504	122470	5.2843%
3	是	25353	147823	6.3782%
4	了	25172	172995	7.4643%
5	人	24935	197930	8.5402%
6	国	23632	221562	9.5599%
7	在	22509	244071	10.5311%
8	不	22116	266187	11.4854%
9	有	19436	285623	12.3240%
10	中	18224	303847	13.1103%
11	我	17373	321220	13.8599%
12	大	15425	336645	14.5255%
13	这	14288	350933	15.1420%
14	上	14246	365179	15.7567%
15	他	13607	378786	16.3438%
16	年	13574	392360	16.9295%
17	个	13270	405630	17.5020%
18	们	12013	417643	18.0204%
19	为	11903	429546	18.5339%
20	和	11812	441358	19.0436%
21	来	11760	453118	19.5510%
22	地	11602	464720	20.0516%
23	到	11036	475756	20.5278%
24	时	10219	485975	20.9687%
25	学	9840	495815	21.3933%
26	出	9605	505420	21.8077%
27	生	8919	514339	22.1926%
28	家	8858	523197	22.5748%
29	以	8549	531746	22.9436%
30	会	8399	540145	23.3060%
31	要	7859	548004	23.6451%
32	日	7837	555841	23.9833%
33	就	7696	563537	24.3154%
34	子	7681	571218	24.6468%
35	对	7660	578878	24.9773%
36	自	7389	586267	25.2961%
37	后	7373	593640	25.6142%
38	说	7312	600952	25.9297%
39	也	7221	608173	26.2413%
40	发	7038	615211	26.5450%
41	下	7024	622235	26.8480%
42	多	6924	629159	27.1468%
43	成	6785	635944	27.4396%
44	于	6591	642535	27.7239%
45	行	6374	648909	27.9990%
46	可	6230	655139	28.2678%
47	着	6161	661300	28.5336%
48	作	6159	667459	28.7994%
49	公	6119	673578	29.0634%
50	得	6037	679615	29.3239%
51	经	6034	685649	29.5842%
52	过	6010	691659	29.8435%
53	而	6000	697659	30.1024%
54	工	5989	703648	30.3608%
55	里	5984	709632	30.6190%
56	之	5825	715457	30.8704%
57	能	5723	721180	31.1173%
58	外	5480	726660	31.3537%
59	业	5429	732089	31.5880%
60	方	5410	737499	31.8214%
