
# Character Frequency List: Xin Yu Si Magazine
# 新语丝杂志单字字频列表
# Total number of characters: 1,883,289
# Number of distinctive characters: 5,130
# Column 1: Serial number; Column 2: Character; 
# Column 3: Raw frequency; Column 4: Cumulative frequency
# Column 5: Cumulative percentage
# https://web.archive.org/web/20030605070159/http://lingua.mtsu.edu/chinese-computing/statistics/xys.html

1	的	81011	81011	4.3016%
2	一	35797	116808	6.2023%
3	是	31385	148193	7.8688%
4	不	27881	176074	9.3493%
5	了	26996	203070	10.7827%
6	我	24570	227640	12.0874%
7	人	19851	247491	13.1414%
8	在	19386	266877	14.1708%
9	有	18667	285544	15.1620%
10	这	14247	299791	15.9185%
11	他	14223	314014	16.6737%
12	个	12753	326767	17.3509%
13	来	12666	339433	18.0234%
14	上	12247	351680	18.6737%
15	大	11362	363042	19.2770%
16	地	10564	373606	19.8380%
17	到	10359	383965	20.3880%
18	中	10162	394127	20.9276%
19	也	10104	404231	21.4641%
20	就	9941	414172	21.9920%
21	说	9760	423932	22.5102%
22	那	9480	433412	23.0136%
23	时	9352	442764	23.5101%
24	为	8827	451591	23.9788%
25	们	8795	460386	24.4458%
26	子	8598	468984	24.9024%
27	着	8393	477377	25.3480%
28	里	8139	485516	25.7802%
29	她	7715	493231	26.1899%
30	得	7659	500890	26.5966%
31	自	7555	508445	26.9977%
32	过	7274	515719	27.3840%
33	出	6937	522656	27.7523%
34	国	6930	529586	28.1203%
35	以	6912	536498	28.4873%
36	下	6869	543367	28.8520%
37	生	6847	550214	29.2156%
38	和	6836	557050	29.5786%
39	去	6715	563765	29.9351%
40	后	6697	570462	30.2907%
41	之	6690	577152	30.6460%
42	而	6687	583839	31.0010%
43	年	6672	590511	31.3553%
44	小	6631	597142	31.7074%
45	要	6568	603710	32.0562%
46	可	6496	610206	32.4011%
47	你	6269	616475	32.7340%
48	没	6112	622587	33.0585%
49	天	6086	628673	33.3817%
50	然	6085	634758	33.7048%
51	么	5982	640740	34.0224%
52	家	5856	646596	34.3333%
53	对	5776	652372	34.6400%
54	看	5753	658125	34.9455%
55	多	5535	663660	35.2394%
56	会	5516	669176	35.5323%
57	都	5447	674623	35.8215%
58	能	5436	680059	36.1102%
59	好	5410	685469	36.3974%
60	还	5381	690850	36.6832%
61	心	5247	696097	36.9618%
62	学	5145	701242	37.2350%
63	想	5051	706293	37.5032%
64	无	4951	711244	37.7661%
65	于	4950	716194	38.0289%
66	起	4898	721092	38.2890%
67	如	4766	725858	38.5420%
68	只	4687	730545	38.7909%
69	文	4606	735151	39.0355%
70	样	4581	739732	39.2787%
71	道	4196	743928	39.5015%
72	当	4143	748071	39.7215%
73	作	4066	752137	39.9374%
74	所	4043	756180	40.1521%
75	又	4024	760204	40.3658%
76	事	4013	764217	40.5788%
77	从	3970	768187	40.7897%
78	开	3942	772129	40.9990%
79	成	3906	776035	41.2064%
80	头	3829	779864	41.4097%
81	方	3710	783574	41.6067%
82	女	3697	787271	41.8030%
83	很	3676	790947	41.9982%
84	知	3661	794608	42.1926%
85	发	3654	798262	42.3866%
86	些	3603	801865	42.5779%
87	十	3591	805456	42.7686%
88	前	3577	809033	42.9585%
89	面	3552	812585	43.1471%
90	情	3482	816067	43.3320%
91	回	3457	819524	43.5156%
92	本	3447	822971	43.6986%
93	现	3433	826404	43.8809%
94	意	3386	829790	44.0607%
95	种	3361	833151	44.2391%
96	把	3354	836505	44.4172%
97	与	3341	839846	44.5946%
98	老	3268	843114	44.7682%
99	见	3236	846350	44.9400%
100	同	3216	849566	45.1108%
101	点	3203	852769	45.2808%
102	美	3199	855968	45.4507%
103	己	3174	859142	45.6192%
104	什	3168	862310	45.7874%
105	用	3164	865474	45.9555%
106	已	3160	868634	46.1232%
107	经	3160	871794	46.2910%
108	明	3119	874913	46.4567%
109	最	3099	878012	46.6212%
110	几	3049	881061	46.7831%
111	其	3042	884103	46.9446%
112	因	3022	887125	47.1051%
113	儿	3022	890147	47.2656%
114	两	3018	893165	47.4258%
115	此	2993	896158	47.5847%
116	实	2989	899147	47.7434%
117	但	2970	902117	47.9011%
118	手	2951	905068	48.0578%
119	三	2948	908016	48.2144%
120	象	2866	910882	48.3666%
121	日	2795	913677	48.5150%
122	动	2790	916467	48.6631%
123	者	2768	919235	48.8101%
124	被	2736	921971	48.9554%
125	行	2690	924661	49.0982%
126	主	2686	927347	49.2408%
127	话	2676	930023	49.3829%
128	长	2664	932687	49.5244%
129	间	2649	935336	49.6650%
130	正	2630	937966	49.8047%
131	外	2596	940562	49.9425%
132	身	2594	943156	50.0803%
133	真	2579	945735	50.2172%
134	相	2579	948314	50.3541%
135	给	2567	950881	50.4904%
136	西	2550	953431	50.6258%
137	进	2526	955957	50.7600%
138	性	2524	958481	50.8940%
139	法	2513	960994	51.0274%
140	月	2498	963492	51.1601%
141	感	2492	965984	51.2924%
142	却	2479	968463	51.4240%
143	新	2475	970938	51.5554%
144	二	2457	973395	51.6859%
145	再	2429	975824	51.8149%
146	理	2420	978244	51.9434%
147	分	2415	980659	52.0716%
148	走	2399	983058	52.1990%
149	高	2391	985449	52.3260%
150	次	2373	987822	52.4520%
151	眼	2371	990193	52.5779%
152	定	2360	992553	52.7032%
153	声	2326	994879	52.8267%
154	问	2274	997153	52.9474%
155	爱	2274	999427	53.0682%
156	名	2265	1001692	53.1884%
157	世	2263	1003955	53.3086%
158	比	2173	1006128	53.4240%
159	白	2158	1008286	53.5386%
160	将	2155	1010441	53.6530%
161	风	2153	1012594	53.7673%
162	诗	2149	1014743	53.8814%
163	才	2144	1016887	53.9953%
164	化	2138	1019025	54.1088%
165	打	2127	1021152	54.2217%
166	代	2118	1023270	54.3342%
167	书	2112	1025382	54.4463%
168	公	2098	1027480	54.5577%
169	少	2089	1029569	54.6687%
170	水	2077	1031646	54.7790%
171	觉	2072	1033718	54.8890%
172	并	2065	1035783	54.9986%
173	别	2062	1037845	55.1081%
174	车	2061	1039906	55.2175%
175	等	2042	1041948	55.3260%
176	气	2032	1043980	55.4339%
