# Character Frequency List: Xin Yu Si Electronic Books Collection
# 新语丝电子书籍单字字频列表
# Total number of characters: 19,221,863
# Number of distinctive characters: 6,267
# Column 1: Serial number; Column 2: Character; 
# Column 3: Raw frequency; Column 4: Cumulative frequency
# Column 5: Cumulative percentage
# https://web.archive.org/web/20030605071550/http://lingua.mtsu.edu/chinese-computing/statistics/ebook.html

1	的	581720	581720	3.0263%
2	一	363590	945310	4.9179%
3	不	311442	1256752	6.5381%
4	了	305165	1561917	8.1257%
5	是	290857	1852774	9.6389%
6	他	231924	2084698	10.8455%
7	我	230282	2314980	12.0435%
8	人	212609	2527589	13.1496%
9	在	180960	2708549	14.0910%
10	这	173518	2882067	14.9937%
11	来	154591	3036658	15.7979%
12	有	150253	3186911	16.5796%
13	道	143820	3330731	17.3278%
14	你	138068	3468799	18.0461%
15	上	134977	3603776	18.7483%
16	说	129048	3732824	19.4197%
17	大	123557	3856381	20.0625%
18	个	117047	3973428	20.6714%
19	到	111282	4084710	21.2503%
20	子	110973	4195683	21.8277%
21	中	104224	4299907	22.3699%
22	们	102753	4402660	22.9044%
23	那	100355	4503015	23.4265%
24	得	100246	4603261	23.9480%
25	也	92887	4696148	24.4313%
26	下	89694	4785842	24.8979%
27	她	88050	4873892	25.3560%
28	去	87931	4961823	25.8134%
29	着	85086	5046909	26.2561%
30	出	84161	5131070	26.6939%
31	就	80234	5211304	27.1113%
32	时	79304	5290608	27.5239%
33	地	77795	5368403	27.9286%
34	之	76286	5444689	28.3255%
35	要	75608	5520297	28.7188%
36	过	74300	5594597	29.1054%
37	么	71645	5666242	29.4781%
38	里	70558	5736800	29.8452%
39	小	70005	5806805	30.2094%
40	为	68471	5875276	30.5656%
41	自	67750	5943026	30.9181%
42	和	66494	6009520	31.2640%
43	心	66402	6075922	31.6094%
44	手	62783	6138705	31.9361%
45	可	62313	6201018	32.2602%
46	只	62223	6263241	32.5839%
47	好	61490	6324731	32.9038%
48	然	58694	6383425	33.2092%
49	见	58226	6441651	33.5121%
50	后	57328	6498979	33.8103%
51	天	57319	6556298	34.1085%
52	以	56745	6613043	34.4038%
53	没	55904	6668947	34.6946%
54	起	54965	6723912	34.9805%
55	都	54651	6778563	35.2649%
56	家	54326	6832889	35.5475%
57	又	54047	6886936	35.8287%
58	生	53965	6940901	36.1094%
59	想	52559	6993460	36.3828%
60	头	52394	7045854	36.6554%
61	会	51920	7097774	36.9255%
62	无	50630	7148404	37.1889%
63	对	50512	7198916	37.4517%
64	看	49405	7248321	37.7087%
65	身	48577	7296898	37.9615%
66	年	48190	7345088	38.2122%
67	事	47970	7393058	38.4617%
68	当	46967	7440025	38.7061%
69	老	46902	7486927	38.9501%
70	声	46832	7533759	39.1937%
71	还	46827	7580586	39.4373%
72	而	46541	7627127	39.6794%
73	能	43565	7670692	39.9061%
74	知	43555	7714247	40.1327%
75	多	42895	7757142	40.3558%
76	两	41310	7798452	40.5707%
77	已	40306	7838758	40.7804%
78	如	39934	7878692	40.9882%
79	儿	39414	7918106	41.1932%
80	便	38879	7956985	41.3955%
81	国	37961	7994946	41.5930%
82	把	37309	8032255	41.7871%
83	前	37300	8069555	41.9811%
84	十	37059	8106614	42.1739%
85	三	36548	8143162	42.3641%
86	但	35991	8179153	42.5513%
87	开	35749	8214902	42.7373%
88	面	35516	8250418	42.9221%
89	听	35340	8285758	43.1059%
90	样	34939	8320697	43.2877%
91	从	34579	8355276	43.4676%
92	此	34208	8389484	43.6455%
93	所	34204	8423688	43.8235%
94	于	34078	8457766	44.0008%
95	向	34073	8491839	44.1780%
96	回	33846	8525685	44.3541%
97	己	33804	8559489	44.5300%
