
# Character Frequency List: Feng Hua Yuan
# 枫华园单字字频列表
# Total number of characters: 4,718,131
# Number of distinctive characters: 5,376
# Column 1: Serial number; Column 2: Character; 
# Column 3: Raw frequency; Column 4: Cumulative frequency
# Column 5: Cumulative percentage
# https://web.archive.org/web/20030605052351/http://lingua.mtsu.edu/chinese-computing/statistics/fhy.html

1	的	182656	182656	3.8714%
2	一	81351	264007	5.5956%
3	是	65764	329771	6.9894%
4	不	63149	392920	8.3279%
5	了	57795	450715	9.5528%
6	我	53315	504030	10.6828%
7	人	51858	555888	11.7820%
8	在	47894	603782	12.7971%
9	有	43522	647304	13.7195%
10	国	41938	689242	14.6084%
11	中	39250	728492	15.4403%
12	这	33936	762428	16.1595%
13	大	32415	794843	16.8466%
14	个	30202	825045	17.4867%
15	上	28693	853738	18.0948%
16	来	27754	881492	18.6831%
17	他	27650	909142	19.2691%
18	说	26151	935293	19.8234%
19	到	23205	958498	20.3152%
20	和	22245	980743	20.7867%
21	为	21721	1002464	21.2471%
22	地	21683	1024147	21.7066%
23	们	21517	1045664	22.1627%
24	也	20446	1066110	22.5960%
25	就	20196	1086306	23.0241%
26	时	19552	1105858	23.4385%
27	会	19471	1125329	23.8512%
28	你	18701	1144030	24.2475%
29	年	18603	1162633	24.6418%
30	对	18149	1180782	25.0265%
31	出	18127	1198909	25.4107%
32	那	17617	1216526	25.7841%
33	子	17530	1234056	26.1556%
34	得	17407	1251463	26.5245%
35	生	17398	1268861	26.8933%
36	要	17035	1285896	27.2544%
37	以	17028	1302924	27.6153%
38	自	16753	1319677	27.9703%
39	下	15745	1335422	28.3040%
40	着	15609	1351031	28.6349%
41	学	15506	1366537	28.9635%
42	她	15279	1381816	29.2874%
43	可	15130	1396946	29.6080%
44	之	15114	1412060	29.9284%
45	过	15068	1427128	30.2477%
46	去	14698	1441826	30.5593%
47	家	14669	1456495	30.8702%
48	多	14602	1471097	31.1797%
49	里	14232	1485329	31.4813%
50	能	14179	1499508	31.7818%
51	后	14072	1513580	32.0801%
52	么	13858	1527438	32.3738%
53	日	13522	1540960	32.6604%
54	心	13439	1554399	32.9452%
55	而	13299	1567698	33.2271%
56	天	13133	1580831	33.5054%
57	没	12964	1593795	33.7802%
58	道	12683	1606478	34.0490%
59	美	12572	1619050	34.3155%
60	小	12482	1631532	34.5800%
61	于	12343	1643875	34.8417%
62	还	12016	1655891	35.0963%
63	都	11991	1667882	35.3505%
64	好	11836	1679718	35.6013%
65	然	11357	1691075	35.8421%
66	想	11302	1702377	36.0816%
67	事	11296	1713673	36.3210%
68	本	11285	1724958	36.5602%
69	主	11276	1736234	36.7992%
70	作	11239	1747473	37.0374%
71	方	11217	1758690	37.2751%
72	发	11139	1769829	37.5112%
73	看	11090	1780919	37.7463%
74	十	10972	1791891	37.9788%
75	如	10938	1802829	38.2107%
76	成	10903	1813732	38.4417%
77	民	10725	1824457	38.6691%
78	起	10721	1835178	38.8963%
79	文	10544	1845722	39.1198%
80	无	9915	1855637	39.3299%
81	当	9709	1865346	39.5357%
82	只	9404	1874750	39.7350%
83	样	9319	1884069	39.9325%
84	前	9309	1893378	40.1298%
85	现	9296	1902674	40.3269%
86	经	9207	1911881	40.5220%
87	面	9142	1921023	40.7158%
88	又	9105	1930128	40.9087%
89	开	9074	1939202	41.1011%
90	行	9020	1948222	41.2922%
91	同	8826	1957048	41.4793%
92	政	8739	1965787	41.6645%
93	意	8672	1974459	41.8483%
94	从	8657	1983116	42.0318%
95	与	8604	1991720	42.2142%
96	用	8550	2000270	42.3954%
97	外	8447	2008717	42.5744%
98	动	8401	2017118	42.7525%
99	两	8393	2025511	42.9304%
100	些	8354	2033865	43.1074%
101	月	8332	2042197	43.2840%
102	种	8317	2050514	43.4603%
103	所	8287	2058801	43.6359%
104	实	8257	2067058	43.8109%
105	问	8123	2075181	43.9831%
106	加	8073	2083254	44.1542%
107	但	8026	2091280	44.3243%
108	力	7991	2099271	44.4937%
109	己	7896	2107167	44.6611%
110	其	7856	2115023	44.8276%
111	手	7835	2122858	44.9936%
112	三	7823	2130681	45.1594%
113	分	7701	2138382	45.3227%
114	理	7643	2146025	45.4846%
115	长	7608	2153633	45.6459%
116	老	7605	2161238	45.8071%
117	最	7529	2168767	45.9667%
118	情	7506	2176273	46.1257%
119	知	7479	2183752	46.2843%
120	法	7478	2191230	46.4428%
121	头	7418	2198648	46.6000%
122	什	7406	2206054	46.7569%
123	者	7403	2213457	46.9139%
124	点	7401	2220858	47.0707%
125	很	7354	2228212	47.2266%
126	回	7321	2235533	47.3817%
127	话	7277	2242810	47.5360%
128	把	7266	2250076	47.6900%
129	二	7240	2257316	47.8434%
130	已	7186	2264502	47.9957%
131	正	7141	2271643	48.1471%
132	进	7128	2278771	48.2982%
133	将	7105	2285876	48.4488%
134	新	7074	2292950	48.5987%
135	此	7031	2299981	48.7477%
136	台	6887	2306868	48.8937%
137	明	6836	2313704	49.0386%
138	见	6802	2320506	49.1827%
139	机	6798	2327304	49.3268%
140	女	6780	2334084	49.4705%
141	高	6771	2340855	49.6140%
142	几	6719	2347574	49.7564%
143	身	6679	2354253	49.8980%
144	军	6488	2360741	50.0355%
145	华	6465	2367206	50.1725%
146	间	6446	2373652	50.3092%
147	部	6430	2380082	50.4454%
148	西	6405	2386487	50.5812%
149	气	6365	2392852	50.7161%
150	因	6361	2399213	50.8509%
151	海	6292	2405505	50.9843%
152	次	6287	2411792	51.1175%
153	世	6274	2418066	51.2505%
154	定	6269	2424335	51.3834%
155	全	6242	2430577	51.5157%
156	名	6207	2436784	51.6472%
157	声	6131	2442915	51.7772%
158	等	6112	2449027	51.9067%
159	信	6013	2455040	52.0342%
160	儿	5955	2460995	52.1604%
161	重	5811	2466806	52.2835%
162	代	5801	2472607	52.4065%
163	关	5788	2478395	52.5292%
164	被	5784	2484179	52.6518%
165	体	5778	2489957	52.7742%
166	战	5772	2495729	52.8966%
167	公	5764	2501493	53.0187%
168	相	5736	2507229	53.1403%
169	真	5712	2512941	53.2614%
170	性	5686	2518627	53.3819%
171	给	5597	2524224	53.5005%
172	化	5571	2529795	53.6186%
173	表	5552	2535347	53.7363%
174	再	5497	2540844	53.8528%
175	打	5486	2546330	53.9690%
176	并	5448	2551778	54.0845%
177	电	5445	2557223	54.1999%
178	感	5443	2562666	54.3153%
179	东	5430	2568096	54.4304%
180	第	5412	2573508	54.5451%
181	向	5408	2578916	54.6597%
182	工	5331	2584247	54.7727%
183	飞	5320	2589567	54.8854%
184	四	5282	2594849	54.9974%
185	平	5280	2600129	55.1093%
186	由	5249	2605378	55.2206%
187	总	5241	2610619	55.3316%
188	使	5217	2615836	55.4422%
189	北	5207	2621043	55.5526%
190	走	5192	2626235	55.6626%
191	内	5180	2631415	55.7724%
192	果	5165	2636580	55.8819%
193	五	5062	2641642	55.9892%
194	比	5057	2646699	56.0963%
195	九	5023	2651722	56.2028%
196	却	4997	2656719	56.3087%
197	望	4993	2661712	56.4145%
198	题	4952	2666664	56.5195%
199	论	4921	2671585	56.6238%
200	别	4916	2676501	56.7280%
201	或	4884	2681385	56.8315%
202	口	4871	2686256	56.9347%
203	期	4863	2691119	57.0378%
204	业	4857	2695976	57.1408%
205	联	4845	2700821	57.2435%
206	象	4831	2705652	57.3458%
207	常	4781	2710433	57.4472%
208	太	4765	2715198	57.5482%
209	位	4752	2719950	57.6489%
210	更	4735	2724685	57.7492%
211	活	4716	2729401	57.8492%
212	教	4700	2734101	57.9488%
213	才	4699	2738800	58.0484%
214	利	4653	2743453	58.1470%
215	反	4648	2748101	58.2455%
216	界	4624	2752725	58.3435%
217	少	4614	2757339	58.4413%
