# Character Frequency List: Chinese Scholars Abroad
# 海外学人单字字频列表
# Total number of characters: 3,799,731
# Number of distinctive characters: 5,229
# Column 1: Serial number; Column 2: Character; 
# Column 3: Raw frequency; Column 4: Cumulative frequency
# Column 5: Cumulative percentage
# https://web.archive.org/web/20030605071334/http://lingua.mtsu.edu/chinese-computing/statistics/chisa.html

1	的	122959	122959	3.2360%
2	国	52697	175656	4.6229%
3	人	40112	215768	5.6785%
4	一	39974	255742	6.7305%
5	中	38041	293783	7.7317%
6	学	35867	329650	8.6756%
7	在	32882	362532	9.5410%
8	大	29334	391866	10.3130%
9	有	29131	420997	11.0797%
10	年	28691	449688	11.8347%
11	了	27896	477584	12.5689%
12	是	26128	503712	13.2565%
13	和	22838	526550	13.8576%
14	不	21450	548000	14.4221%
15	为	20659	568659	14.9658%
16	上	20463	589122	15.5043%
17	会	18425	607547	15.9892%
18	家	17888	625435	16.4600%
19	生	17615	643050	16.9236%
20	业	17236	660286	17.3772%
21	地	17188	677474	17.8295%
22	出	16322	693796	18.2591%
23	个	15422	709218	18.6650%
24	工	15409	724627	19.0705%
25	这	15089	739716	19.4676%
26	以	14915	754631	19.8601%
27	成	14683	769314	20.2465%
28	发	14644	783958	20.6319%
29	作	14639	798597	21.0172%
30	我	14568	813165	21.4006%
31	日	14100	827265	21.7717%
32	来	13490	840755	22.1267%
33	科	13403	854158	22.4794%
34	行	13325	867483	22.8301%
35	到	13209	880692	23.1777%
36	市	12862	893554	23.5162%
37	多	12528	906082	23.8460%
38	要	12345	918427	24.1708%
39	时	12144	930571	24.4904%
40	经	12026	942597	24.8069%
41	高	11764	954361	25.1165%
42	外	10783	965144	25.4003%
43	员	10779	975923	25.6840%
44	公	10682	986605	25.9651%
45	对	10524	997129	26.2421%
46	海	10447	1007576	26.5170%
47	部	10424	1018000	26.7914%
48	们	10341	1028341	27.0635%
49	分	10292	1038633	27.3344%
50	进	10278	1048911	27.6049%
51	开	10217	1059128	27.8738%
52	用	10202	1069330	28.1423%
53	子	10197	1079527	28.4106%
54	月	10097	1089624	28.6763%
55	全	10049	1099673	28.9408%
56	方	9912	1109585	29.2017%
57	民	9856	1119441	29.4611%
58	等	9757	1129198	29.7178%
59	于	9750	1138948	29.9744%
60	目	9679	1148627	30.2292%
61	新	9667	1158294	30.4836%
62	他	9586	1167880	30.7359%
63	本	9494	1177374	30.9857%
64	长	9469	1186843	31.2349%
65	现	9430	1196273	31.4831%
66	自	9397	1205670	31.7304%
67	后	9330	1215000	31.9759%
68	教	9247	1224247	32.2193%
69	建	9161	1233408	32.4604%
70	文	9085	1242493	32.6995%
71	理	9076	1251569	32.9384%
72	研	9062	1260631	33.1768%
73	前	9057	1269688	33.4152%
74	主	8945	1278633	33.6506%
75	电	8914	1287547	33.8852%
76	与	8710	1296257	34.1144%
77	北	8691	1304948	34.3432%
78	下	8499	1313447	34.5668%
79	产	8414	1321861	34.7883%
80	实	8394	1330255	35.0092%
81	动	8379	1338634	35.2297%
82	重	8335	1346969	35.4491%
83	化	8271	1355240	35.6667%
84	可	8260	1363500	35.8841%
85	位	8246	1371746	36.1011%
86	得	8219	1379965	36.3174%
87	同	8178	1388143	36.5327%
88	京	8173	1396316	36.7478%
89	区	8129	1404445	36.9617%
90	将	7916	1412361	37.1700%
91	资	7908	1420269	37.3781%
92	过	7848	1428117	37.5847%
93	名	7815	1435932	37.7904%
94	之	7806	1443738	37.9958%
95	万	7746	1451484	38.1997%
96	机	7709	1459193	38.4025%
97	也	7691	1466884	38.6049%
98	内	7674	1474558	38.8069%
99	所	7609	1482167	39.0072%
100	关	7605	1489772	39.2073%
101	就	7603	1497375	39.4074%
102	技	7591	1504966	39.6072%
103	能	7580	1512546	39.8067%
104	已	7516	1520062	40.0045%
105	加	7487	1527549	40.2015%
106	元	7389	1534938	40.3960%
107	者	7373	1542311	40.5900%
108	留	7365	1549676	40.7838%
109	法	7362	1557038	40.9776%
110	定	7348	1564386	41.1710%
111	说	7306	1571692	41.3632%
112	合	7298	1578990	41.5553%
113	术	7275	1586265	41.7468%
114	体	7242	1593507	41.9374%
115	次	7218	1600725	42.1273%
116	小	7183	1607908	42.3164%
117	展	7178	1615086	42.5053%
118	面	7130	1622216	42.6929%
119	平	7062	1629278	42.8788%
120	院	6990	1636268	43.0627%
121	其	6964	1643232	43.2460%
122	政	6881	1650113	43.4271%
123	心	6873	1656986	43.6080%
124	事	6846	1663832	43.7882%
125	而	6835	1670667	43.9680%
126	金	6818	1677485	44.1475%
127	场	6793	1684278	44.3262%
128	天	6766	1691044	44.5043%
129	第	6600	1697644	44.6780%
130	力	6590	1704234	44.8514%
131	水	6580	1710814	45.0246%
132	物	6531	1717345	45.1965%
133	究	6518	1723863	45.3680%
134	最	6407	1730270	45.5366%
135	入	6321	1736591	45.7030%
136	设	6238	1742829	45.8672%
137	务	6237	1749066	46.0313%
138	制	6233	1755299	46.1953%
139	三	6232	1761531	46.3594%
140	明	6218	1767749	46.5230%
141	美	6031	1773780	46.6817%
142	还	6015	1779795	46.8400%
143	从	6000	1785795	46.9979%
144	代	5903	1791698	47.1533%
145	通	5901	1797599	47.3086%
146	基	5876	1803475	47.4632%
147	港	5868	1809343	47.6177%
148	世	5842	1815185	47.7714%
149	系	5819	1821004	47.9246%
150	种	5793	1826797	48.0770%
151	起	5668	1832465	48.2262%
152	比	5625	1838090	48.3742%
153	点	5623	1843713	48.5222%
154	及	5610	1849323	48.6698%
155	表	5606	1854929	48.8174%
156	队	5601	1860530	48.9648%
157	计	5595	1866125	49.1120%
158	品	5539	1871664	49.2578%
159	总	5523	1877187	49.4032%
160	期	5480	1882667	49.5474%
161	好	5430	1888097	49.6903%
162	委	5378	1893475	49.8318%
163	都	5323	1898798	49.9719%
164	回	5280	1904078	50.1109%
165	里	5262	1909340	50.2493%
166	两	5216	1914556	50.3866%
167	并	5214	1919770	50.5238%
168	项	5209	1924979	50.6609%
169	提	5187	1930166	50.7974%
170	由	5183	1935349	50.9338%
