# Character Frequency List: Computer World
# 计算机世界单字字频列表
# Total number of characters: 1,857,538
# Number of distinctive characters: 3,027
# Column 1: Serial number; Column 2: Character; 
# Column 3: Raw frequency; Column 4: Cumulative frequency
# Column 5: Cumulative percentage
# https://web.archive.org/web/20030605071724/http://lingua.mtsu.edu/chinese-computing/statistics/cw.html

1	的	64783	64783	3.4876%
2	国	21129	85912	4.6250%
3	公	19444	105356	5.6718%
4	中	18209	123565	6.6521%
5	司	17586	141151	7.5988%
6	在	17578	158729	8.5451%
7	用	17361	176090	9.4798%
8	和	16035	192125	10.3430%
9	机	15430	207555	11.1737%
10	有	15247	222802	11.9945%
11	一	15067	237869	12.8056%
12	电	14010	251879	13.5598%
13	计	13971	265850	14.3120%
14	业	12429	278279	14.9811%
15	务	12179	290458	15.6367%
16	为	11801	302259	16.2720%
17	了	11439	313698	16.8878%
18	出	11408	325106	17.5020%
19	产	11405	336511	18.1160%
20	将	11370	347881	18.7281%
21	信	10999	358880	19.3202%
22	大	10997	369877	19.9122%
23	网	10622	380499	20.4840%
24	系	10567	391066	21.0529%
25	发	10417	401483	21.6137%
26	年	10198	411681	22.1627%
27	版	9748	421429	22.6875%
28	算	9532	430961	23.2007%
29	以	9485	440446	23.7113%
30	上	9425	449871	24.2187%
31	统	9127	458998	24.7100%
32	技	8993	467991	25.1942%
33	服	8895	476886	25.6730%
34	成	8889	485775	26.1516%
35	件	8835	494610	26.6272%
36	是	8593	503203	27.0898%
37	市	8391	511594	27.5415%
38	开	8361	519955	27.9916%
39	作	8292	528247	28.4380%
40	软	8065	536312	28.8722%
41	行	8057	544369	29.3059%
42	术	8046	552415	29.7391%
43	理	7952	560367	30.1672%
44	能	7505	567872	30.5712%
45	个	7435	575307	30.9715%
46	界	7409	582716	31.3703%
47	品	7317	590033	31.7642%
48	工	7197	597230	32.1517%
49	息	7166	604396	32.5375%
50	新	7076	611472	32.9184%
51	本	7042	618514	33.2975%
52	可	6994	625508	33.6740%
53	日	6944	632452	34.0479%
54	于	6833	639285	34.4157%
55	世	6819	646104	34.7828%
56	通	6773	652877	35.1474%
57	家	6698	659575	35.5080%
58	会	6671	666246	35.8672%
59	方	6471	672717	36.2155%
60	部	6311	679028	36.5553%
61	全	6283	685311	36.8935%
62	器	6257	691568	37.2304%
63	这	6245	697813	37.5666%
64	进	6162	703975	37.8983%
65	设	6010	709985	38.2218%
66	与	5978	715963	38.5437%
67	所	5963	721926	38.8647%
68	场	5904	727830	39.1825%
69	及	5822	733652	39.4959%
70	美	5814	739466	39.8089%
71	商	5806	745272	40.1215%
72	人	5802	751074	40.4338%
73	到	5716	756790	40.7416%
74	合	5625	762415	41.0444%
75	应	5611	768026	41.3464%
76	高	5573	773599	41.6465%
77	户	5560	779159	41.9458%
78	展	5492	784651	42.2415%
79	数	5418	790069	42.5331%
80	其	5378	795447	42.8227%
81	等	5236	800683	43.1045%
82	前	5225	805908	43.3858%
83	提	5192	811100	43.6653%
84	多	5183	816283	43.9443%
85	动	5143	821426	44.2212%
86	对	5142	826568	44.4980%
87	分	5137	831705	44.7746%
88	同	4988	836693	45.0431%
89	据	4978	841671	45.3111%
90	地	4969	846640	45.5786%
91	程	4933	851573	45.8442%
92	不	4927	856500	46.1094%
93	络	4905	861405	46.3735%
94	该	4895	866300	46.6370%
95	要	4880	871180	46.8997%
96	时	4819	875999	47.1591%
97	月	4786	880785	47.4168%
98	元	4738	885523	47.6719%
99	权	4683	890206	47.9240%
100	管	4683	894889	48.1761%
101	建	4613	899502	48.4244%
102	使	4519	904021	48.6677%
103	经	4481	908502	48.9089%
104	内	4467	912969	49.1494%
105	报	4466	917435	49.3898%
106	目	4424	921859	49.6280%
107	现	4325	926184	49.8608%
108	脑	4261	930445	50.0902%
109	实	4239	934684	50.3184%
110	式	4187	938871	50.5438%
111	面	4156	943027	50.7676%
