# 常用标准汉喃字表（2023年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20150123.pdf
# 表2共2934字（表1分6级共3987字，两表合计6921字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

啞	Á	啞口 á khẩu	
啞	á	啞𤴬 á đau	
啞	ớ	𤋾啞 ấm ớ	
噁	ạc	𠿮噁 ậm ạc	𡨸尼拱固体得使用𥪝詞𠸨、䀡附錄。 Chữ này cũng có thể được sử dụng trong từ láy, xem Phụ Lục.
呃	ách	嚶呃 anh ách [聲]	
呃	nhách	𦂄呃 dai nhách · 浪呃 lãng nhách	
阨	ÁCH	阨塞 ách tắc	
軛	ÁCH	軛𤛠 ách trâu · 軛奴隸 ách nô lệ	
伌	ạch	𥑴伌 ì ạch · 𤃝伌 lạch ạch	
隘	ẢI	隘關 ải quan · 苦隘 khổ ải · 隘支棱 Ải Chi Lăng	
膉	ải	𥶁膉 lạt ải · 繩膉 thừng ải · 𤇨朱膉𡐙 phơi cho ải đất	
縊	ẢI	縊殺 ải sát · 自縊 tự ải	
曖	áy	曖𢖱 áy náy [𠸨] · 𦹯曖𣈖斜 cỏ áy bóng tà	
庵	AM	丐庵 cái am	
𩹎	ám	𥺊𩹎 cháo ám	
撖	ẵm	撖嬖 ẵm bế · 撖捧 ẵm bồng	
𤀔	ẩm	𤀔㲸 ẩm ướt · 曀𤀔 ế ẩm [𠸨] · 𤀔濕 ẩm thấp · 𤷴𤀔 ê ẩm	
𠿮	ậm	𠿮噁 ậm ạc	𡨸尼拱固体得使用𥪝詞𠸨、䀡附錄。 Chữ này cũng có thể được sử dụng trong từ láy, xem Phụ Lục.
坱	ang	丐坱 cái ang	𡨸尼拱固体得使用𥪝詞𠸨、䀡附錄。 Chữ này cũng có thể được sử dụng trong từ láy, xem Phụ Lục.
𣺻	ăng	𣺻乙 ăng ắc · 𣺻𣺻 ăng ẳng [聲]	
𠹃	ắng	唵𠹃 im ắng	
愥	ảnh		⇔ 英𧘇 anh ấy
坳	ao	坳潭 ao đầm	
懊	ẢO	懊惱 ảo não	
奧	áo	共和奧 Cộng hoà Áo	
𨁲	ập	𨁲𦤾 ập đến	
遏	át	𢭹遏 lấn át · 㲸遏 ướt át · 𡥵遏主 con át chủ [摱]	
𢖮	ắt	𢖮沛 ắt phải · 𢖮羅 ắt là	
乙	ẤT	乙丑 Ất Sửu · 乙卯 Ất Mão	
乙	ắc	𣺻乙 ăng ắc · 𣹓乙 đầy ắc	
毆	ẨU	毆打 ẩu đả	
𬏠	ẩu	𬏠𪭥 ẩu tả	
妑	bả		⇔ 婆𧘇 bà ấy
𩚥	bả	𩚥𤝞 bả chuột · 打𩚥 đánh bả	
𩚥	bá	把𦠘 bá vai	
把	bả	倴把 bươn bả · 把𦠘 bả vai · 𠬠把穭 một bả lúa	
噃	bá	嗏噃 chà bá [嘆]	
𢗌	bạ	𫌶𢗌 bậy bạ	
搏	BÁC	搏鬥 bác đấu	
煿	bác	煿𠨡 bác trứng	
苝	bấc	𣘃苝 cây bấc · 𥾘苝 sợi bấc · 珥如苝 nhẹ như bấc · 㗂苝㗂鈘 tiếng bấc tiếng chì	
𢴾	bai	吱𢴾 chê bai · 𢯏𢴾 bẻ bai	
