# 常用标准汉喃字表（2024年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表2共3174字（表1分6级共3975字，两表合计7149字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𡨸漢喃	音讀	譬喻	𥱬註
啞	Á	啞口 á khẩu	U+555E
啞	á	啞𤴬 á đau	
啞	ớ	𤋾啞 ấm ớ	
噁	ạc	𠿮噁 ậm ạc	[翻] U+5641
噁	éc	噁噁 éc éc [𠸨]	
阨	ÁCH	阨塞 ách tắc	U+9628
呃	ách	嚶呃 anh ách [聲]	U+5443
呃	nhách	𦂄呃 dai nhách · 浪呃 lãng nhách	
軛	ÁCH	軛𤛠 ách trâu · 軛奴隸 ách nô lệ	U+8EDB
伌	ạch	𥑴伌 ì ạch · 𤃝伌 lạch ạch	U+4F0C
隘	ẢI	隘關 ải quan · 苦隘 khổ ải · 隘支棱 Ải Chi Lăng	U+9698
膉	ải	𥶁膉 lạt ải · 繩膉 thừng ải · 𤇨朱膉𡐙 phơi cho ải đất	U+8189
縊	ẢI	縊殺 ải sát · 自縊 tự ải	U+7E0A
嬡	ÁI	令嬡 lệnh ái	U+5B21
庵	AM	丐庵 cái am	[翻] U+5EB5
𩹎	ám	𥺊𩹎 cháo ám	U+29E4E
撖	ẵm	撖嬖 ẵm bế · 撖捧 ẵm bồng	U+6496
𤀔	ẩm	𤀔㲸 ẩm ướt · 曀𤀔 ế ẩm [𠸨] · 𤀔濕 ẩm thấp · 𤷴𤀔 ê ẩm	U+24014
𠿮	ậm	𠿮噁 ậm ạc	U+20FEE
坱	ang	丐坱 cái ang	U+5771
𣺻	ăng	𣺻乙 ăng ắc · 𣺻𣺻 ăng ẳng [聲]	U+23EBB
𣺻	ẳng	𣺻𣺻 ăng ẳng [聲]	
𠹃	ắng	唵𠹃 im ắng	[翻] U+20E43
罌	ANH	罌粟 anh túc	U+7F4C
愥	ảnh		⇔ 英𧘇 anh ấy U+6125
坳	ao	坳潭 ao đầm	[異] 泑 U+5773
懊	ẢO	懊惱 ảo não	U+61CA
奧	áo	共和奧 Cộng hoà Áo	U+5967
𬪁	ấp	揞𬪁 ôm ấp · 㥋𬪁 e ấp	U+2CA81
𨁲	ập	𨁲𦤾 ập đến	U+28072
遏	át	𢭹遏 lấn át · 㲸遏 ướt át · 𡥵遏主 con át chủ [摱]	[翻] U+904F
乙	ẤT	乙丑 Ất Sửu · 乙卯 Ất Mão	U+4E59
乙	ắc	𣺻乙 ăng ắc · 𣹓乙 đầy ắc	
乙	ốt	乙𣔻 ốt dột [𠸨]	
毆	ẨU	毆打 ẩu đả	U+6BC6
𬏠	ẩu	𬏠𪭥 ẩu tả	U+2C3E0
把	bả	倴把 bươn bả · 把𦠘 bả vai · 𠬠把穭 một bả lúa	U+628A
把	bá	把𦠘 bá vai	
妑	bả		⇔ 婆𧘇 bà ấy U+5991
𩚥	bả	𩚥𤝞 bả chuột · 打𩚥 đánh bả	U+296A5
噃	bá	嗏噃 chà bá [嘆]	U+5643
杷	BÀ	枇杷 tì bà	U+6777
博	BÁC	博士 bác sĩ · 博學 bác học · 博愛 bác ái	[翻] U+535A
博	bạc	打博 đánh bạc · 𡥵博 con bạc ·牌博 bài bạc · 𠴞博 bàn bạc	[翻]
搏	BÁC	搏鬥 bác đấu	U+640F
駁	BÁC	反駁 phản bác · 駁案 bác án ·駁𠬃 bác bỏ	U+99C1
煿	bác	煿𱑛 bác trứng	U+717F
鉑	bạc	錢鉑 tiền bạc · 鐄鉑 vàng bạc ·頭鉑 đầu bạc	U+9251
苝	bấc	𣘃苝 cây bấc · 𥾘苝 sợi bấc · 珥如苝 nhẹ như bấc · 㗂苝㗂鈘 tiếng bấc tiếng chì	U+82DD
𢴾	bai	吱𢴾 chê bai · 𢯏𢴾 bẻ bai	U+22D3E
俳	BÀI	俳句 bài cú	U+4FF3
𨭍	bay	丐𨭍 cái bay	U+28B4D
㔥（㔥󠄁）	bảy	𣈖㔥 bóng bảy [𠸨]	U+3525 (U+3525 U+E0101)
㔥（㔥󠄁）	bẩy	㔥𬨠 bẩy lên · 杶㔥 đòn bẩy · 𢭻㔥 xúi bẩy · 憞𪭼㔥 run lẩy bẩy	
㔥（㔥󠄁）	bây	㔥㔥 bây bẩy [𠸨]	⇔ 㔥 bảy
𣊾	bây	𣊾𣇞 bây giờ	U+232BE
𨥧	băm	𨥧捕 băm bổ · 𨥧𬚸 băm thịt · 𨥧釩 băm vằm · 郎𨥧 lang băm	U+28967
𠹰	bặm	𠹰腜 bặm môi · 𡏧𠹰 bụi bặm [𠸨] · 𠹰𥉲 bặm trợn	U+20E70
𠹰	mém	𠻦𠹰 móm mém [𠸨]	
𢶸	bấm	𢶸至 bấm chí · 𢶸䏾 bấm bụng	U+22DB8
𦡣	bầm	𦻳𦡣 tím bầm · 𦡣𣎖 bầm giập	U+26863
𦡣	vạm	𦡣𥒮 vạm vỡ	[翻]
𫲃󠄁	bầm	𫲃󠄁𫥨𬏇𥝽𫲃󠄁憞 bầm ra ruộng cấy bầm run	U+2BC83 U+E0101
偘	bẫm	脯偘 bụ bẫm · 朱𤛠咹偘 cho trâu ăn bẫm · 𫼻得𦁺偘 vớ được món bẫm	U+5058
癍	BAN	焠發癍 sốt phát ban	U+764D
蟠	BÀN	蟠桃 bàn đào · 蟠龍 bàn long	U+87E0
𦁂	bấn	慫𦁂 túng bấn	[翻] U+26042
貧	BẦN	貧農 bần nông · 貧窮 bần cùng	U+8CA7
𢠈	bần	𢠈神 bần thần	U+22808
鎊	BẢNG	鎊英 bảng Anh	U+938A
䅭	báng	𣘃䅭 cây báng · 勃䅭 bột báng · 䅭銃 báng súng	U+416D
𤹔	báng	𤹔渃 báng nước	U+24E54
謗	BÁNG	誹謗 phỉ báng	U+8B17
枋	bàng	𣘃枋 cây bàng	U+678B
䄱	bàng	𦹯䄱 cỏ bàng · 𧄑䄱 cói bàng	U+4131
蚌	BẠNG	蚌鷸 bạng duật	U+868C
𠶉	bẵng	𠬃𠶉 bỏ bẵng · 悁𠶉𠫾 quên bẵng đi	U+20D89
炳	bảnh	炳包 bảnh bao [𠸨]	U+70B3
膨	BÀNH	膨脹 bành trướng · 膨膨 bành bành	U+81A8
膨	phềnh	脹膨 chương phềnh	[翻]
褒	BAO	褒貶 bao biếm	U+8912
泡	BÀO	泡影 bào ảnh	U+6CE1
胞	BÀO	胞胎 bào thai · 同胞 đồng bào · 細胞 tế bào	U+80DE
鮑	BÀO	鮑魚 bào ngư	U+9B91
飽	BÃO	飽和 bão hoà	U+98FD
乏	bấp	乏𦛼 bấp bênh	U+4E4F
潗	bập	潗𠹯 bập bẹ · 吶𤇥潗 nói lập bập	[翻] U+6F57
𦪑	bát	𢭄𦪑 cạy bát	U+26A91
紱	bạt	紱𩂏 bạt che [摱] · 茹紱 nhà bạt [摱] · 寮紱 lều bạt [摱] · 𡲫紱 vải bạt [摱]	U+7D31
跋	BẠT	跋涉 bạt thiệp · 𠳒跋 lời bạt	U+8DCB
鈸	bạt	鐃鈸 nạo bạt · 銅鈸 đồng bạt [摱]	U+9238
匐	bặt	唵匐 im bặt	U+5310
垉	bàu	垉蓮 bàu sen · 恅垉 làu bàu [𠸨]	U+5789
裒	bâu	裒𠓨 bâu vào · 裒襖 bâu áo	U+88D2
裒	bu		⇔ 裒 bâu
㨐	bấu	㨐至 bấu chí · 㨐㧼 bấu véo ·㨐𬗠 bấu víu	U+3A10
𨼚	be	𦩰𨼚近𤅶 xuồng be gần bến	U+28F1A
𫮦	be	𫮦坡 be bờ	U+2BBA6
𢯏	bẻ	𢯏對 bẻ đôi · 扒𢯏 bắt bẻ	U+22BCF
𢜢	bẽ	𢜢㥬 bẽ bàng	U+22722
梐	bẹ	梐荎 bẹ chuối · 梐椰 bẹ dừa	U+6890
𠹯	bẹ	潗𠹯 bập bẹ	U+20E6F
𤚆	bê	𡥵𤚆 con bê	U+24686
𣷭	bể	底𣷭 đáy bể	U+23DED
