# 常用标准汉喃字表
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共7164字（读音不同等，部分字分立多条，合计8928条）
# https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html
# 𡨸漢喃	音讀	Unicode	𥱬註	譬喻

丫	a	U+4E2B		丫鬟 a hoàn
阿	A	U+963F	[翻]	阿從 a tòng · 阿諛 a dua · 阿片 a phiến · 阿羅漢 A La Hán · 阿哬！ a ha! [嘆]
亞	Á	U+4E9E		洲亞 Châu Á · 亞金 á kim · 亞聖 á thánh
啞	á	U+555E		啞𤴬 á đau
啞	Á	U+555E		啞口 á khẩu
啊	à	U+554A		勢啊？ Thế à? [嘆]
啊	ã	U+554A		嗢啊 ồn ã [𠸨]
妸	ả	U+59B8		淹妸 êm ả · 妸陶 ả đào
吖	ạ	U+5416		𠳐吖！ Vâng ạ! · 嘲俱吖 Chào cụ ạ
惡	ÁC	U+60E1		善惡 thiện ác · 惡人 ác nhân · 惡夢 ác mộng · 惡性 ác tính · 惡心 ác tâm
𪅴	ác	U+2A174	[異] 鵶	𪅴羅 ác là · 𣈖𪅴 bóng ác
乙	ắc	U+4E59		𣺻乙 ăng ắc · 𣹓乙 đầy ắc
噁	ạc	U+5641	[翻]	𠿮噁 ậm ạc
厄	ÁCH	U+5384	[翻]	災厄 tai ách
阨	ÁCH	U+9628		阨塞 ách tắc
呃	ách	U+5443		嚶呃 anh ách [聲]
軛	ÁCH	U+8EDB		軛𤛠 ách trâu · 軛奴隸 ách nô lệ
伌	ạch	U+4F0C		𥑴伌 ì ạch · 𤃝伌 lạch ạch
哀	AI	U+54C0		哀怨 ai oán
埃	ai	U+57C3		埃妬 ai đó · 埃埃 ai ai
埃	AI	U+57C3		塵埃 trần ai
愛	ÁI	U+611B	[翻]	親愛 thân ái · 愛情 ái tình · 戀愛 luyến ái · 可愛 khả ái · 愛國 ái quốc · 博愛 bác ái
噯	ái	U+566F		噯嗏 ái chà [嘆]
嬡	ÁI	U+5B21		令嬡 lệnh ái
隘	ẢI	U+9698		隘關 ải quan · 苦隘 khổ ải · 隘支棱 Ải Chi Lăng
