# 《康熙字典網上版》字符集
# https://www.kangxizidian.com/
# 共47043（其中83字重复出现两次，实际编码46960字）
#
# char	char-index	unicode	radical-index	radical	radical-count	extra-count

一	1	U+4E00	1	一	1	0
丁	2	U+4E01	1	一	1	1
丂	3	U+4E02	1	一	1	1
𠀀	4	U+20000	1	一	1	1
七	5	U+4E03	1	一	1	1
丄	6	U+4E04	1	一	1	1
丅	7	U+4E05	1	一	1	1
万	8	U+4E07	1	一	1	2
丈	9	U+4E08	1	一	1	2
三	10	U+4E09	1	一	1	2
上	11	U+4E0A	1	一	1	2
下	12	U+4E0B	1	一	1	2
丌	13	U+4E0C	1	一	1	2
𠀃	14	U+20003	1	一	1	2
不	15	U+4E0D	1	一	1	3
与	16	U+4E0E	1	一	1	3
丏	17	U+4E0F	1	一	1	3
丐	18	U+4E10	1	一	1	3
丑	19	U+4E11	1	一	1	3
𠀇	20	U+20007	1	一	1	3
𠀈	21	U+20008	1	一	1	3
且	22	U+4E14	1	一	1	4
丕	23	U+4E15	1	一	1	4
世	24	U+4E16	1	一	1	4
𠀍	25	U+2000D	1	一	1	4
丘	26	U+4E18	1	一	1	4
㐀	27	U+3400	1	一	1	4
丙	28	U+4E19	1	一	1	4
𠀓	42367	U+20013	1	一	1	4
㐁	29	U+3401	1	一	1	5
丞	30	U+4E1E	1	一	1	5
丟	31	U+4E1F	1	一	1	5
𠀘	32	U+20018	1	一	1	5
𠀙	33	U+20019	1	一	1	5
𠀚	34	U+2001A	1	一	1	5
丠	35	U+4E20	1	一	1	5
丣	36	U+4E23	1	一	1	6
𠀡	37	U+20021	1	一	1	6
𠀦	42368	U+20026	1	一	1	6
𠀢	38	U+20022	1	一	1	6
並	39	U+4E26	1	一	1	7
𠀬	40	U+2002C	1	一	1	7
𠀭	41	U+2002D	1	一	1	7
𠀮	42	U+2002E	1	一	1	7
𠀸	42369	U+20038	1	一	1	8
𠤢	42370	U+20922	1	一	1	9
𠁁	43	U+20041	1	一	1	10
𠁕	44	U+20055	1	一	1	15
𤳏	42371	U+24CCF	1	一	1	15
𠁠	42372	U+20060	1	一	1	19
丨	45	U+4E28	2	丨	1	0
丩	46	U+4E29	2	丨	1	1
𠁡	47	U+20061	2	丨	1	1
个	48	U+4E2A	2	丨	1	2
丫	49	U+4E2B	2	丨	1	2
㐄	50	U+3404	2	丨	1	2
中	51	U+4E2D	2	丨	1	3
丮	52	U+4E2E	2	丨	1	3
丯	53	U+4E2F	2	丨	1	3
丰	54	U+4E30	2	丨	1	3
丱	55	U+4E31	2	丨	1	4
𠁦	56	U+20066	2	丨	1	5
串	57	U+4E32	2	丨	1	6
𠁧	58	U+20067	2	丨	1	6
丳	59	U+4E33	2	丨	1	7
𠁩	60	U+20069	2	丨	1	7
𠁭	61	U+2006D	2	丨	1	8
𠁮	62	U+2006E	2	丨	1	8
丵	63	U+4E35	2	丨	1	9
𠁰	64	U+20070	2	丨	1	9
𠁱	65	U+20071	2	丨	1	9
𠁴	66	U+20074	2	丨	1	11
