# 香港浸會大學-小學中文科常用字表（附錄二 其他分類字表）
# 共245字
# https://ephchinese.ephhk.com/lcprichi/
#
# char	常用度排序	分類組別

嘛	1550	語氣
囉	2385	語氣
哼	2423	語氣
哦	1998	歎詞
唉	2029	歎詞
喂	2184	歎詞
嗯	2408	歎詞
哎	2447	歎詞
喲	2467	歎詞
咦	2871	歎詞
嗨	2928	歎詞
咪	2219	象聲
哇	2227	象聲
喔	2335	象聲
嘻	2394	象聲
噹	2416	象聲
咕	2422	象聲
喀	2491	象聲
喃	2492	象聲
咚	2530	象聲
嘿	2553	象聲
嘰	2732	象聲
吱	2735	象聲
吁	2762	象聲
啪	2797	象聲
嗡	2852	象聲
嚕	2854	象聲
喳	2879	象聲
瀝	2892	象聲
爾	514	文言
亦	1149	文言
俄	1459	文言
乃	1472	文言
耶	1521	文言
赫	1898	文言
茲	2065	文言
遂	2265	文言
弗	2273	文言
吾	2310	文言
頃	2325	文言
彥	2501	文言
曰	2514	文言
兮	2517	文言
迄	2583	文言
矣	2772	文言
毋	2775	文言
甫	2801	文言
焉	2813	文言
哉	2949	文言
敝	2963	文言
咱	2339	方言
啥	2572	方言
甩	2782	方言
唔	2860	方言
砸	2961	方言
爹	2472	人稱
媳	2523	人稱
婿	2711	人稱
丫	2952	人稱
蒂	1777	成語
艾	1813	成語
云	2134	成語
琳	2287	成語
軒	2399	成語
瑜	2477	成語
亨	2581	成語
彬	2706	成語
虞	2803	成語
兢	2827	成語
廝	2844	成語
偕	2903	成語
栩	2913	成語
嘶	2965	成語
迢	2989	成語
轍	2998	成語
侯	2121	古代
帥	2166	古代
陵	2168	古代
匈	2250	古代
戈	2358	古代
翰	2365	古代
卿	2420	古代
寨	2682	古代
御	2719	古代
闡	2742	古代
札	2749	古代
棧	2845	古代
妃	2919	古代
郡	2990	古代
瑤	3000	古代
劉	919	姓氏
吳	1065	姓氏
韓	1177	姓氏
趙	1353	姓氏
宋	1439	姓氏
郭	1442	姓氏
鄧	1564	姓氏
董	1609	姓氏
梁	1618	姓氏
彭	1665	姓氏
秦	1691	姓氏
蔡	1819	姓氏
柯	1860	姓氏
于	1932	姓氏
曹	1937	姓氏
盧	1964	姓氏
范	1991	姓氏
孟	2016	姓氏
呂	2055	姓氏
余	2088	姓氏
蔣	2195	姓氏
傅	2201	姓氏
韋	2255	姓氏
邱	2262	姓氏
廖	2275	姓氏
魏	2290	姓氏
姜	2292	姓氏
岳	2305	姓氏
詹	2316	姓氏
賈	2343	姓氏
袁	2458	姓氏
郝	2660	姓氏
潘	2680	姓氏
馮	2728	姓氏
姚	2881	姓氏
狄	2294	姓氏
玲	1561	人名
萊	1686	人名
姆	1715	人名
曼	1769	人名
娜	1789	人名
瑪	1895	人名
妮	2337	人名
莎	2377	人名
黛	2560	人名
雯	2661	人名
霖	2736	人名
娥	2737	人名
婷	2764	人名
麟	2821	人名
靖	2851	人名
璇	2893	人名
淇	2920	人名
瓊	2945	人名
琪	2969	人名
瑋	2982	人名
伊	1347	地名
洛	1522	地名
埔	2271	地名
屯	2368	地名
圳	2606	地名
坎	2641	地名
湘	2647	地名
淮	2681	地名
梵	2787	地名
閩	2858	地名
崙	2880	地名
磯	2985	地名
噸	2047	數學
哩	2050	數學
廿	2099	數學
呎	2626	數學
畝	2631	數學
厘	2651	數學
壹	2906	數學
吋	2929	數學
卅	2980	數學
桂	1761	植物
莉	1908	植物
杉	2489	植物
楓	2722	植物
薇	2909	植物
薰	2943	植物
桐	2956	植物
芙	2991	植物
鵬	1953	鳥類
鴻	2237	鳥類
脖	2482	人體
瘤	2584	人體
泌	2740	人體
腎	2807	人體
椎	2876	人體
腺	2933	人體
氧	1644	科學
錫	2378	科學
碳	2379	科學
澱	2541	科學
熔	2643	科學
緯	2773	科學
氫	2810	科學
輻	2935	科學
鹼	2997	科學
薩	1825	宗哲
禪	2414	宗哲
僧	2693	宗哲
褐	2850	顏色
憲	1553	政治
僚	2691	政治
轄	2716	政治
晤	2957	政治
群	530	異體字
衛	802	異體字
床	933	異體字
臺	960	異體字
沉	983	異體字
裡	1205	異體字
秘	1241	異體字
麵	1287	異體字
峰	1389	異體字
昇	1501	異體字
嘆	1536	異體字
濕	1726	異體字
敘	1793	異體字
鑑	1833	異體字
蹟	1899	異體字
臥	2032	異體字
崗	2144	異體字
艷	2172	異體字
鍊	2193	異體字
譬	2234	異體字
洩	2320	異體字
惟	2353	異體字
薦	2366	異體字
唇	2373	異體字
証	2429	異體字
鉅	2435	異體字
檯	2470	異體字
癡	2479	異體字
蒐	2504	異體字
砲	2516	異體字
舖	2519	異體字
蔥	2528	異體字
嚐	2577	異體字
恒	2616	異體字
晒	2710	異體字
拚	2769	異體字
絃	2839	異體字
菇	2863	異體字
杰	2867	異體字
瀰	2898	異體字
癒	2915	異體字
氾	2962	異體字
雇	2970	異體字
貯	2975	異體字
洒	2983	異體字
