# 香港浸會大學-小學中文科常用字表
# 共3000字
# https://ephchinese.ephhk.com/lcprichi/
#
# char	序號(級別)	級別	部件/單字	常用度	難度	筆畫

一	1	1	部件	2	938	1
乙	2	1	部件	1628	1303	1
人	3	1	部件	8	135	2
入	4	1	部件	187	525	2
力	5	1	部件	97	679	2
刀	6	1	部件	1179	715	2
了	7	1	部件	5	816	2
十	8	1	部件	54	845	2
七	9	1	部件	308	926	2
八	10	1	部件	274	1029	2
二	11	1	部件	91	1079	2
九	12	1	部件	262	1215	2
又	13	1	部件	132	1228	2
丁	14	1	部件	1245	1238	2
几	15	1	部件	2657	2410	2
卜	16	1	部件	2567	2774	2
才	17	1	部件	199	15	3
女	18	1	部件	192	100	3
上	19	1	部件	13	154	3
小	20	1	部件	47	184	3
大	21	1	部件	9	196	3
山	22	1	部件	191	216	3
土	23	1	部件	487	217	3
久	24	1	部件	561	257	3
子	25	1	部件	45	334	3
工	26	1	部件	101	344	3
口	27	1	部件	224	489	3
士	28	1	部件	369	567	3
千	29	1	部件	344	968	3
己	30	1	部件	196	1071	3
也	31	1	部件	38	1134	3
干	32	1	部件	1307	1415	3
寸	33	1	部件	2073	1442	3
夕	34	1	部件	1617	1457	3
弓	35	1	部件	2534	1719	3
巾	36	1	部件	1977	1751	3
乞	37	1	部件	2642	2334	3
刃	38	1	部件	3160	2682	3
五	39	1	部件	154	11	4
反	40	1	部件	330	29	4
水	41	1	部件	93	61	4
木	42	1	部件	580	66	4
月	43	1	部件	128	71	4
午	44	1	部件	698	72	4
毛	45	1	部件	766	84	4
不	46	1	部件	4	86	4
心	47	1	部件	57	94	4
元	48	1	部件	219	169	4
中	49	1	部件	12	172	4
手	50	1	部件	152	183	4
今	51	1	部件	234	195	4
友	52	1	部件	301	204	4
戶	53	1	部件	816	207	4
化	54	1	部件	145	208	4
方	55	1	部件	50	212	4
父	56	1	部件	605	249	4
太	57	1	部件	243	273	4
少	58	1	部件	177	284	4
天	59	1	部件	51	296	4
文	60	1	部件	82	301	4
公	61	1	部件	67	302	4
片	62	1	部件	351	384	4
牛	63	1	部件	746	556	4
日	64	1	部件	71	580	4
比	65	1	部件	172	626	4
內	66	1	部件	162	706	4
牙	67	1	部件	953	755	4
六	68	1	部件	276	805	4
火	69	1	部件	418	839	4
巴	70	1	部件	528	1189	4
支	71	1	部件	482	1232	4
尤	72	1	部件	984	1268	4
止	73	1	部件	733	1296	4
欠	74	1	部件	1896	1500	4
斤	75	1	部件	1248	1543	4
王	76	1	部件	398	1671	4
斗	77	1	部件	1653	1912	4
犬	78	1	部件	2280	2015	4
勿	79	1	部件	2471	2132	4
爪	80	1	部件	2505	2268	4
田	81	1	部件	784	4	5
且	82	1	部件	384	39	5
母	83	1	部件	506	88	5
主	84	1	部件	84	96	5
兄	85	1	部件	1289	118	5
司	86	1	部件	549	122	5
生	87	1	部件	27	125	5
用	88	1	部件	46	146	5
石	89	1	部件	422	155	5
冬	90	1	部件	1031	179	5
瓜	91	1	部件	1292	203	5
加	92	1	部件	115	205	5
世	93	1	部件	222	206	5
半	94	1	部件	431	215	5
正	95	1	部件	138	226	5
白	96	1	部件	277	247	5
可	97	1	部件	36	256	5
去	98	1	部件	73	341	5
古	99	1	部件	460	428	5
四	100	1	部件	136	517	5
右	101	1	部件	775	524	5
出	102	1	部件	25	543	5
包	103	1	部件	383	548	5
左	104	1	部件	708	611	5
民	105	1	部件	83	612	5
目	106	1	部件	201	613	5
由	107	1	部件	143	771	5
平	108	1	部件	178	801	5
皮	109	1	部件	610	824	5
甲	110	1	部件	1159	876	5
玉	111	1	部件	887	891	5
以	112	1	部件	17	1022	5
布	113	1	部件	480	1084	5
立	114	1	部件	179	1108	5
未	115	1	部件	464	1186	5
示	116	1	部件	306	1204	5
央	117	1	部件	956	1259	5
占	118	1	部件	1893	1298	5
它	119	1	部件	279	1382	5
申	120	1	部件	1305	1385	5
尼	121	1	部件	881	1406	5
穴	122	1	部件	2170	1556	5
旦	123	1	部件	1416	1930	5
斥	124	1	部件	2206	2240	5
乍	125	1	部件	2700	2330	5
戊	126	1	部件	3247	2487	5
禾	127	1	部件	2911	2665	5
向	128	1	部件	173	21	6
老	129	1	部件	137	60	6
同	130	1	部件	65	67	6
交	131	1	部件	298	107	6
西	132	1	部件	214	123	6
自	133	1	部件	49	127	6
肉	134	1	部件	726	137	6
各	135	1	部件	166	158	6
多	136	1	部件	30	238	6
行	137	1	部件	55	241	6
竹	138	1	部件	941	260	6
成	139	1	部件	34	290	6
吉	140	1	部件	1238	306	6
衣	141	1	部件	624	358	6
合	142	1	部件	140	383	6
共	143	1	部件	253	470	6
百	144	1	部件	223	478	6
羊	145	1	部件	1284	481	6
米	146	1	部件	629	511	6
回	147	1	部件	149	583	6
早	148	1	部件	407	669	6
次	149	1	部件	160	764	6
安	150	1	部件	218	796	6
因	151	1	部件	106	806	6
有	152	1	部件	7	821	6
光	153	1	部件	231	883	6
耳	154	1	部件	968	989	6
而	155	1	部件	58	1097	6
朵	156	1	部件	1297	1279	6
至	157	1	部件	280	1302	6
寺	158	1	部件	2015	1439	6
羽	159	1	部件	1799	1546	6
兆	160	1	部件	2415	2238	6
朱	161	1	部件	1328	2470	6
助	162	1	部件	552	20	7
車	163	1	部件	211	109	7
豆	164	1	部件	1316	120	7
弟	165	1	部件	810	145	7
辛	166	1	部件	1037	211	7
每	167	1	部件	206	224	7
良	168	1	部件	717	232	7
身	169	1	部件	181	246	7
步	170	1	部件	347	248	7
壯	171	1	部件	1216	255	7
孝	172	1	部件	1915	293	7
見	173	1	部件	176	312	7
忍	174	1	部件	1133	360	7
走	175	1	部件	216	363	7
快	176	1	部件	264	412	7
男	177	1	部件	522	497	7
告	178	1	部件	370	559	7
坐	179	1	部件	640	593	7
你	180	1	部件	120	597	7
言	181	1	部件	388	629	7
完	182	1	部件	287	700	7
里	183	1	部件	541	781	7
我	184	1	部件	10	895	7
那	185	1	部件	92	902	7
更	186	1	部件	190	1037	7
足	187	1	部件	500	1119	7
何	188	1	部件	321	1188	7
貝	189	1	部件	1186	1283	7
免	190	1	部件	748	1409	7
即	191	1	部件	427	1834	7
肖	192	1	部件	2329	2462	7
兌	193	1	部件	2375	2735	7
青	194	1	部件	459	8	8
知	195	1	部件	164	17	8
朋	196	1	部件	518	19	8
金	197	1	部件	227	153	8
空	198	1	部件	275	171	8
到	199	1	部件	18	214	8
拉	200	1	部件	444	330	8
念	201	1	部件	484	380	8
雨	202	1	部件	554	400	8
松	203	1	部件	1260	480	8
東	204	1	部件	230	534	8
果	205	1	部件	155	609	8
虎	206	1	部件	1265	658	8
幸	207	1	部件	875	666	8
定	208	1	部件	99	681	8
明	209	1	部件	112	686	8
者	210	1	部件	159	717	8
