# 康熙部首
# 康熙部首共214个，附形部首共23个，合计共237个
#
# Unicode 区域 Kangxi Radicals (`2F00–2FDF`，空间总数 224，实际字符数 214)
# 康熙部首在 Unicode 有专门区域编码，字型和中日韩统一表意文字区域编码不同而字型相同（下面字符来自`2F00–2FDF`）。
# 对照参见： <https://www.unicode.org/Public/UCD/latest/ucd/CJKRadicals.txt>
#
#部首	笔畫数	备注	unicode	char	code

一	1畫		U+4E00	⼀	U+2F00
丨	1畫		U+4E28	⼁	U+2F01
丶	1畫		U+4E36	⼂	U+2F02
丿	1畫		U+4E3F	⼃	U+2F03
乙	1畫		U+4E59	⼄	U+2F04
亅	1畫		U+4E85	⼅	U+2F05
二	2畫		U+4E8C	⼆	U+2F06
亠	2畫		U+4EA0	⼇	U+2F07
人	2畫		U+4EBA	⼈	U+2F08
儿	2畫		U+513F	⼉	U+2F09
入	2畫		U+5165	⼊	U+2F0A
八	2畫		U+516B	⼋	U+2F0B
冂	2畫		U+5182	⼌	U+2F0C
冖	2畫		U+5196	⼍	U+2F0D
冫	2畫		U+51AB	⼎	U+2F0E
几	2畫		U+51E0	⼏	U+2F0F
凵	2畫		U+51F5	⼐	U+2F10
刀	2畫		U+5200	⼑	U+2F11
力	2畫		U+529B	⼒	U+2F12
勹	2畫		U+52F9	⼓	U+2F13
匕	2畫		U+5315	⼔	U+2F14
匚	2畫		U+531A	⼕	U+2F15
匸	2畫		U+5338	⼖	U+2F16
十	2畫		U+5341	⼗	U+2F17
卜	2畫		U+535C	⼘	U+2F18
卩	2畫		U+5369	⼙	U+2F19
厂	2畫		U+5382	⼚	U+2F1A
厶	2畫		U+53B6	⼛	U+2F1B
又	2畫		U+53C8	⼜	U+2F1C
口	3畫		U+53E3	⼝	U+2F1D
囗	3畫		U+56D7	⼞	U+2F1E
土	3畫		U+571F	⼟	U+2F1F
士	3畫		U+58EB	⼠	U+2F20
夂	3畫		U+5902	⼡	U+2F21
夊	3畫		U+590A	⼢	U+2F22
夕	3畫		U+5915	⼣	U+2F23
大	3畫		U+5927	⼤	U+2F24
女	3畫		U+5973	⼥	U+2F25
子	3畫		U+5B50	⼦	U+2F26
宀	3畫		U+5B80	⼧	U+2F27
寸	3畫		U+5BF8	⼨	U+2F28
小	3畫		U+5C0F	⼩	U+2F29
尢	3畫		U+5C22	⼪	U+2F2A
尸	3畫		U+5C38	⼫	U+2F2B
屮	3畫		U+5C6E	⼬	U+2F2C
山	3畫		U+5C71	⼭	U+2F2D
巛	3畫		U+5DDB	⼮	U+2F2E
工	3畫		U+5DE5	⼯	U+2F2F
己	3畫		U+5DF1	⼰	U+2F30
巾	3畫		U+5DFE	⼱	U+2F31
干	3畫		U+5E72	⼲	U+2F32
幺	3畫		U+5E7A	⼳	U+2F33
广	3畫		U+5E7F	⼴	U+2F34
廴	3畫		U+5EF4	⼵	U+2F35
廾	3畫		U+5EFE	⼶	U+2F36
弋	3畫		U+5F0B	⼷	U+2F37
弓	3畫		U+5F13	⼸	U+2F38
彐	3畫		U+5F50	⼹	U+2F39
彡	3畫		U+5F61	⼺	U+2F3A
彳	3畫		U+5F73	⼻	U+2F3B
心	4畫		U+5FC3	⼼	U+2F3C
戈	4畫		U+6208	⼽	U+2F3D
戶	4畫		U+6236	⼾	U+2F3E
手	4畫		U+624B	⼿	U+2F3F
支	4畫		U+652F	⽀	U+2F40
攴	4畫		U+6534	⽁	U+2F41
文	4畫		U+6587	⽂	U+2F42
斗	4畫		U+6597	⽃	U+2F43
斤	4畫		U+65A4	⽄	U+2F44
方	4畫		U+65B9	⽅	U+2F45
无	4畫		U+65E0	⽆	U+2F46
日	4畫		U+65E5	⽇	U+2F47
曰	4畫		U+66F0	⽈	U+2F48
月	4畫		U+6708	⽉	U+2F49
木	4畫		U+6728	⽊	U+2F4A
欠	4畫		U+6B20	⽋	U+2F4B
止	4畫		U+6B62	⽌	U+2F4C
歹	4畫		U+6B79	⽍	U+2F4D
殳	4畫		U+6BB3	⽎	U+2F4E
毋	4畫		U+6BCB	⽏	U+2F4F
比	4畫		U+6BD4	⽐	U+2F50
毛	4畫		U+6BDB	⽑	U+2F51
氏	4畫		U+6C0F	⽒	U+2F52
