# 现代汉语音节表（带声调）
# 共1400多个，少量《现代汉语音节表》备注为*的音节未包括。
# 参考字数统计来自“CNS11643中文標準交換碼全字庫”CNS_phonetic.txt
# 
# 汉语拼音	汉语拼音（数字）	注音符号	参考字数

ā	a1	ㄚ	13
á	a2	ㄚˊ	3
à	a4	ㄚˋ	2
a	a5	˙ㄚ	1
āi	ai1	ㄞ	31
ái	ai2	ㄞˊ	49
ǎi	ai3	ㄞˇ	47
ài	ai4	ㄞˋ	173
ān	an1	ㄢ	164
án	an2	ㄢˊ	12
ǎn	an3	ㄢˇ	37
àn	an4	ㄢˋ	92
āng	ang1	ㄤ	11
áng	ang2	ㄤˊ	35
ǎng	ang3	ㄤˇ	9
àng	ang4	ㄤˋ	18
āo	ao1	ㄠ	36
áo	ao2	ㄠˊ	157
ǎo	ao3	ㄠˇ	44
ào	ao4	ㄠˋ	140
bā	ba1	ㄅㄚ	85
bá	ba2	ㄅㄚˊ	100
bǎ	ba3	ㄅㄚˇ	10
bà	ba4	ㄅㄚˋ	85
ba	ba5	˙ㄅㄚ	12
bāi	bai1	ㄅㄞ	8
bái	bai2	ㄅㄞˊ	15
bǎi	bai3	ㄅㄞˇ	54
bài	bai4	ㄅㄞˋ	108
bai	bai5	˙ㄅㄞ	1
bān	ban1	ㄅㄢ	91
bǎn	ban3	ㄅㄢˇ	32
bàn	ban4	ㄅㄢˋ	60
bāng	bang1	ㄅㄤ	69
bǎng	bang3	ㄅㄤˇ	31
bàng	bang4	ㄅㄤˋ	91
bāo	bao1	ㄅㄠ	97
báo	bao2	ㄅㄠˊ	29
bǎo	bao3	ㄅㄠˇ	187
bào	bao4	ㄅㄠˋ	130
bēi	bei1	ㄅㄟ	118
běi	bei3	ㄅㄟˇ	12
bèi	bei4	ㄅㄟˋ	242
bei	bei5	˙ㄅㄟ	5
bēn	ben1	ㄅㄣ	48
běn	ben3	ㄅㄣˇ	52
bèn	ben4	ㄅㄣˋ	52
bēng	beng1	ㄅㄥ	71
béng	beng2	ㄅㄥˊ	8
běng	beng3	ㄅㄥˇ	37
bèng	beng4	ㄅㄥˋ	60
bī	bi1	ㄅㄧ	47
bí	bi2	ㄅㄧˊ	24
bǐ	bi3	ㄅㄧˇ	123
bì	bi4	ㄅㄧˋ	641
biān	bian1	ㄅㄧㄢ	91
bián	bian2	ㄅㄧㄢˊ	2
biǎn	bian3	ㄅㄧㄢˇ	78
biàn	bian4	ㄅㄧㄢˋ	163
biāo	biao1	ㄅㄧㄠ	151
biǎo	biao3	ㄅㄧㄠˇ	44
biào	biao4	ㄅㄧㄠˋ	11
biē	bie1	ㄅㄧㄝ	57
bié	bie2	ㄅㄧㄝˊ	64
biě	bie3	ㄅㄧㄝˇ	5
biè	bie4	ㄅㄧㄝˋ	15
bīn	bin1	ㄅㄧㄣ	167
bǐn	bin3	ㄅㄧㄣˇ	15
bìn	bin4	ㄅㄧㄣˋ	46
bīng	bing1	ㄅㄧㄥ	60
bǐng	bing3	ㄅㄧㄥˇ	138
bìng	bing4	ㄅㄧㄥˋ	82
bō	bo1	ㄅㄛ	129
bó	bo2	ㄅㄛˊ	407
bǒ	bo3	ㄅㄛˇ	12
bò	bo4	ㄅㄛˋ	48
bo	bo5	˙ㄅㄛ	3
bū	bu1	ㄅㄨ	38
bú	bu2	ㄅㄨˊ	5
bǔ	bu3	ㄅㄨˇ	64
bù	bu4	ㄅㄨˋ	173
cā	ca1	ㄘㄚ	12
cǎ	ca3	ㄘㄚˇ	2
cà	ca4	ㄘㄚˋ	13
cāi	cai1	ㄘㄞ	7
cái	cai2	ㄘㄞˊ	64
cǎi	cai3	ㄘㄞˇ	68
cài	cai4	ㄘㄞˋ	31
cān	can1	ㄘㄢ	76
cán	can2	ㄘㄢˊ	66
cǎn	can3	ㄘㄢˇ	36
càn	can4	ㄘㄢˋ	66
cāng	cang1	ㄘㄤ	74
cáng	cang2	ㄘㄤˊ	36
