# https://github.com/Honoka55/tonggui-ext

汉字	编码	拆分	笔顺	拼音	繁异	分野	出典	备注
氹	u6c39	⿺乙水	52534	dànɡ		地名	在澳门，～仔岛	
𰵝	u30d5d	⿰讠禾	4531234	hé	訸	人名	简川～	
𪨊	u2aa0a	⿸尸从	5133434	sónɡ	㞞	方言	常讹写为“怂”	
𪠸	u2a838	⿰口乐	25135234	yo	嚛	语文	《窦娥冤》：“儿～，我也是出于无奈”	
𢒉	u22489	⿱彡且	33325111	shǎn		姓氏		
朊	u670a	⿰月元	35111135	ruǎn		化学/生物	～病毒	
並	u4e26	⿱䒑业	43122431	bìng		音韵	～母	
䌷	u4337	⿰纟由	55125121	chōu、chóu	紬	人名	犬冢～希	
垝	u579d	⿰土危	121351355	ɡuǐ		语文	《诗经·氓》：“乘彼～垣”	
𰌂	u30302	⿰女贞	531212534	zhēn	媜	人名	简～	
𫰡	u2bc21	⿰女华	531323512	huà	嬅	人名	杨千～	
珮	u73ee	⿰王⿵几帀	1121351252	pèi		语文	《小石潭记》：“如鸣～环”	
𮧵	u2e9f5	⿰韦华	1152323512	wěi	韡	人名	张～	
𮀔	u2e014	⿰石示	1325111234	zhài		地名	在福建南靖，～头	
砯	u782f	⿰石氷	1325124534	pīnɡ		语文	《蜀道难》：“～崖转石万壑雷”	
鿬	u9fec	⿰石田	1325125121	tián		化学	117号元素	
豗	u8c57	⿺兀豕	1351353334	huī		语文	《蜀道难》：“飞湍瀑流争喧～”	
鿭	u9fed	⿰钅尔	3111235234	nǐ、xǐ	鉨	化学	113号元素	
𫟷	u2b7f7	⿰钅立	3111241431	lì	鉝	化学	116号元素	
𤞤	u247a4	⿰犭严	3531224313	xiǎn	玁	语文	《诗经·采薇》：“～狁之故”	
𬸅	u2ce05	⿰刍鸟	3551135451	chú	鶵	语文	《庄子·惠子相梁》：“夫鹓～发于南海”	
㨃	u3a03	⿰扌享	12141251521	duǐ		方言	常讹写为“怼”	
𩉜	u2925c	⿰革几	12212511235	jī	鞿	语文	《离骚》：“余虽好修姱以～羁兮”	
𪉈	u2a248	⿱此鸟	21213535451	cí	鴜	地名	在辽宁昌图，～鹭树	
𫛩	u2b6e9	⿰安鸟	44553135451	yàn	鴳*鷃	语文	《逍遥游》：“斥～笑之曰”	
罥	u7f65	⿱罒肙	252212512511	juàn		语文	《茅屋为秋风所破歌》：“高者挂～长林梢”	
𬮴	u2cbb4	⿵门音	425414312511	àn	闇	语文	自题小像：“风雨如盘～故园”	
𪢮	u2a8ae	⿴囗栾	2541223412341	luán	圞	语文	《窦娥冤》：“断人肠的是剔团～月色挂妆楼”	
𬎆	u2c386	⿰王莹	11211224511214	yínɡ	㼆	人名	犹～、徐～	
𱇱	u311f1	⿸攸鱼	32235435251211	tiáo	鯈	语文	《庄子·庄子与惠子游于濠梁之上》：“～鱼从容出游”	
鿔	u9fd4	⿰钅哥	311121251212512	ɡē	鎶	化学	112号元素	
𰾫	u30fab	⿰钅监	311122231425221	jiàn	鑑	姓氏/人名		
𦗒	u265d2	⿰耳郭	1221114125152152	guō		生物	～狐	
磺	u78fa	⿰石黄	1325112212512134	huánɡ		化学	牛～酸	
叡	u53e1	⿰睿又	2145134342511154	ruì		人名	曹～	
鿫	u9feb	⿹气奥	3115325431234134	ào		化学	118号元素	
飚	u98da	⿺风焱	3534433443344334	biāo	飈	人名		
𱂐	u31090	⿰音员	4143125112512534	yùn	韻、韵	人名		
𫖃	u2b583	⿰面贵	132522111251212534	huì	靧	语文	《满井游记》：“如倩女之～面而髻鬟之始掠也”	
䜩	u4729	⿰讠燕	451221251211354444	yàn	讌	语文	《短歌行》：“契阔谈～”	
𧒽	u274bd	⿰虫雷	2512141452444425121	léi		地名	在广东佛山，～岗	
嚱	u56b1	⿰口戲	25121531512514311534	xī		语文	《蜀道难》：“噫吁～”	
𰻝	u30edd	⿺辶⿳穴⿲月⿱⿲幺言幺⿲长马长刂心	42画	biáng	𰻞	美食	～～面	
硃	u7843	⿰石朱	13251311234	zhū		地名	在湖北武汉，～山湖	
鞌	u978c	⿱安革	445531122125112	ān	鞍	历史	～之战	
殽	u6bbd	⿰肴殳	341325113554	xiáo		历史	～之战	
