# 《通用规范汉字表》（2013年） 
# https://github.com/cdtym/digital-table-of-general-standard-chinese-characters
#
# 原表8105字
# 附表一繁体字列2648字（传承字）
# 附表一异体字列1023字
# 全表共计11776=8105+2648+1023字
# 其中133字分别出现2次，去重后共11643字。
# 繁简关系：无繁体组5552、一一对应组2445、复杂对应组108（其有96组一个规范字对应多个繁体字（或传承字））。
# 
# 缺少编码
# 其中有5个异体字字未进行unicode编码，分别是：
# 610_1_3	⿰韋刄 	
# 1360_0_1	⿰王冊 # 1360_0_1可认同到“珊”（参考港台字形，同码异形）
# 2424_0_2	⿰氵⿱⿻夕丶缶 # 2424_0_2疑似可以认同到“滛”U+6EDB，参考校编本《第一批异体字整理表》，顾雪枫 编著，苏州大学出版社
# 3317_0_2	⿰扌㕘	# 3317_0_2疑似可以认同到“撡”U+64A1，参考《语言文字规范标准 (教育部语言文字信息管理司组编)》 
# 4225_0_1	⿰口芉	# 4225_0_1疑似可以认同到“哶”U+54F6

# 序号	汉字	Unicode		
1	一	U+4E00
2	乙	U+4E59
3	二	U+4E8C
4	十	U+5341
5	丁	U+4E01
6	厂	U+5382
6_1	廠	U+5EE0
7	七	U+4E03
8	卜	U+535C
8_0	卜	U+535C
8_1	蔔	U+8514
9	八	U+516B
10	人	U+4EBA
11	入	U+5165
12	儿	U+513F
12_1	兒	U+5152
13	匕	U+5315
14	几	U+51E0
14_0	几	U+51E0
14_1	幾	U+5E7E
15	九	U+4E5D
16	刁	U+5201
17	了	U+4E86
17_0	了	U+4E86
17_1	瞭	U+77AD
18	刀	U+5200
19	力	U+529B
20	乃	U+4E43
20_0_1	廼	U+5EFC
20_0_2	迺	U+8FFA
21	又	U+53C8
22	三	U+4E09
23	干	U+5E72
23_0	干	U+5E72
23_1	乾	U+4E7E
23_1_1	乹	U+4E79
23_1_2	亁	U+4E81
23_2	幹	U+5E79
23_2_1	榦	U+69A6
24	于	U+4E8E
25	亏	U+4E8F
25_1	虧	U+8667
26	工	U+5DE5
27	土	U+571F
28	士	U+58EB
29	才	U+624D
29_0	才	U+624D
29_1	纔	U+7E94
30	下	U+4E0B
31	寸	U+5BF8
32	大	U+5927
33	丈	U+4E08
34	与	U+4E0E
34_1	與	U+8207
35	万	U+4E07
35_0	万	U+4E07
35_1	萬	U+842C
36	上	U+4E0A
37	小	U+5C0F
38	口	U+53E3
39	山	U+5C71
40	巾	U+5DFE
41	千	U+5343
41_0	千	U+5343
41_1	韆	U+97C6
42	乞	U+4E5E
43	川	U+5DDD
44	亿	U+4EBF
44_1	億	U+5104
45	个	U+4E2A
45_1	個	U+500B
45_1_1	箇	U+7B87
46	夕	U+5915
47	久	U+4E45
48	么	U+4E48
48_1	麽	U+9EBD
49	勺	U+52FA
50	凡	U+51E1
50_0_1	凢	U+51E2
51	丸	U+4E38
52	及	U+53CA
53	广	U+5E7F
53_1	廣	U+5EE3
54	亡	U+4EA1
54_0_1	亾	U+4EBE
55	门	U+95E8
55_1	門	U+9580
56	丫	U+4E2B
56_0_1	枒	U+6792
56_0_2	椏	U+690F
57	义	U+4E49
57_1	義	U+7FA9
58	之	U+4E4B
59	尸	U+5C38
59_0_1	屍	U+5C4D
60	己	U+5DF1
61	已	U+5DF2
62	巳	U+5DF3
63	弓	U+5F13
64	子	U+5B50
65	卫	U+536B
65_1	衛	U+885B
66	也	U+4E5F
67	女	U+5973
68	刃	U+5203
69	飞	U+98DE
69_1	飛	U+98DB
70	习	U+4E60
70_1	習	U+7FD2
71	叉	U+53C9
72	马	U+9A6C
72_1	馬	U+99AC
73	乡	U+4E61
73_1	鄉	U+9109
74	丰	U+4E30
74_0	丰	U+4E30
74_1	豐	U+8C50
75	王	U+738B
76	开	U+5F00
76_1	開	U+958B
77	井	U+4E95
78	天	U+5929
79	夫	U+592B
80	元	U+5143
81	无	U+65E0
81_1	無	U+7121
82	云	U+4E91
82_0	云	U+4E91
82_1	雲	U+96F2
83	专	U+4E13
83_1	專	U+5C08
83_1_1	耑	U+8011
84	丐	U+4E10
84_0_1	匃	U+5303
84_0_2	匄	U+5304
85	扎	U+624E
85_0_1	紥	U+7D25
85_0_2	紮	U+7D2E
86	艺	U+827A
86_1	藝	U+85DD
87	木	U+6728
88	五	U+4E94
89	支	U+652F
90	厅	U+5385
90_1	廳	U+5EF3
91	不	U+4E0D
92	犬	U+72AC
93	太	U+592A
94	区	U+533A
