# 韩国人名用汉字
# https://github.com/rutopio/Korean-Name-Hanja-Charset
# https://github.com/zispace/data-hanja
# https://hanja.dict.naver.com/#/category/name
#
# hanja	unicode	pua	consonant	hangul

伽	U+4F3D	0	ㄱ	가
佳	U+4F73	0	ㄱ	가
假	U+5047	0	ㄱ	가
價	U+50F9	0	ㄱ	가
加	U+52A0	0	ㄱ	가
可	U+53EF	0	ㄱ	가
呵	U+5475	0	ㄱ	가
哥	U+54E5	0	ㄱ	가
哿	U+54FF	0	ㄱ	가
嘉	U+5609	0	ㄱ	가
嘏	U+560F	0	ㄱ	가
坷	U+5777	0	ㄱ	가
婽	U+5A7D	0	ㄱ	가
嫁	U+5AC1	0	ㄱ	가
家	U+5BB6	0	ㄱ	가
岢	U+5CA2	0	ㄱ	가
徦	U+5FA6	0	ㄱ	가
斝	U+659D	0	ㄱ	가
暇	U+6687	0	ㄱ	가
架	U+67B6	0	ㄱ	가
枷	U+67B7	0	ㄱ	가
柯	U+67EF	0	ㄱ	가
椵	U+6935	0	ㄱ	가
榎	U+698E	0	ㄱ	가
檟	U+6A9F	0	ㄱ	가
歌	U+6B4C	0	ㄱ	가
泇	U+6CC7	0	ㄱ	가
渮	U+6E2E	0	ㄱ	가
牁	U+7241	0	ㄱ	가
珂	U+73C2	0	ㄱ	가
珈	U+73C8	0	ㄱ	가
痂	U+75C2	0	ㄱ	가
稼	U+7A3C	0	ㄱ	가
笳	U+7B33	0	ㄱ	가
耞	U+801E	0	ㄱ	가
舸	U+8238	0	ㄱ	가
苛	U+82DB	0	ㄱ	가
茄	U+8304	0	ㄱ	가
菏	U+83CF	0	ㄱ	가
葭	U+846D	0	ㄱ	가
街	U+8857	0	ㄱ	가
袈	U+8888	0	ㄱ	가
訶	U+8A36	0	ㄱ	가
謌	U+8B0C	0	ㄱ	가
賈	U+8CC8	0	ㄱ	가
跏	U+8DCF	0	ㄱ	가
軻	U+8EFB	0	ㄱ	가
迦	U+8FE6	0	ㄱ	가
駕	U+99D5	0	ㄱ	가
傕	U+5095	0	ㄱ	각
刻	U+523B	0	ㄱ	각
却	U+5374	0	ㄱ	각
卻	U+537B	0	ㄱ	각
各	U+5404	0	ㄱ	각
咯	U+54AF	0	ㄱ	각
埆	U+57C6	0	ㄱ	각
恪	U+606A	0	ㄱ	각
愨	U+6128	0	ㄱ	각
慤	U+6164	0	ㄱ	각
搉	U+6409	0	ㄱ	각
擱	U+64F1	0	ㄱ	각
桷	U+6877	0	ㄱ	각
殼	U+6BBC	0	ㄱ	각
珏	U+73CF	0	ㄱ	각
脚	U+811A	0	ㄱ	각
覺	U+89BA	0	ㄱ	각
角	U+89D2	0	ㄱ	각
閣	U+95A3	0	ㄱ	각
隺	U+96BA	0	ㄱ	각
侃	U+4F83	0	ㄱ	간
偘	U+5058	0	ㄱ	간
刊	U+520A	0	ㄱ	간
墾	U+58BE	0	ㄱ	간
奸	U+5978	0	ㄱ	간
姦	U+59E6	0	ㄱ	간
干	U+5E72	0	ㄱ	간
幹	U+5E79	0	ㄱ	간
忓	U+5FD3	0	ㄱ	간
慳	U+6173	0	ㄱ	간
懇	U+61C7	0	ㄱ	간
揀	U+63C0	0	ㄱ	간
杆	U+6746	0	ㄱ	간
柬	U+67EC	0	ㄱ	간
栞	U+681E	0	ㄱ	간
桿	U+687F	0	ㄱ	간
榦	U+69A6	0	ㄱ	간
涆	U+6D86	0	ㄱ	간
澗	U+6F97	0	ㄱ	간
玕	U+7395	0	ㄱ	간
癇	U+7647	0	ㄱ	간
癎	U+764E	0	ㄱ	간
看	U+770B	0	ㄱ	간
矸	U+77F8	0	ㄱ	간
磵	U+78F5	0	ㄱ	간
秆	U+79C6	0	ㄱ	간
稈	U+7A08	0	ㄱ	간
竿	U+7AFF	0	ㄱ	간
簡	U+7C21	0	ㄱ	간
肝	U+809D	0	ㄱ	간
艮	U+826E	0	ㄱ	간
艱	U+8271	0	ㄱ	간
茛	U+831B	0	ㄱ	간
衎	U+884E	0	ㄱ	간
諫	U+8AEB	0	ㄱ	간
赶	U+8D76	0	ㄱ	간
迀	U+8FC0	0	ㄱ	간
間	U+9593	0	ㄱ	간
齦	U+9F66	0	ㄱ	간
乫	U+4E6B	0	ㄱ	갈
喝	U+559D	0	ㄱ	갈
噶	U+5676	0	ㄱ	갈
嶱	U+5DB1	0	ㄱ	갈
曷	U+66F7	0	ㄱ	갈
楬	U+696C	0	ㄱ	갈
渴	U+6E34	0	ㄱ	갈
硈	U+7848	0	ㄱ	갈
碣	U+78A3	0	ㄱ	갈
秸	U+79F8	0	ㄱ	갈
竭	U+7AED	0	ㄱ	갈
羯	U+7FAF	0	ㄱ	갈
葛	U+845B	0	ㄱ	갈
蝎	U+874E	0	ㄱ	갈
蠍	U+880D	0	ㄱ	갈
鞨	U+97A8	0	ㄱ	갈
褐	U+FA60	0	ㄱ	갈
勘	U+52D8	0	ㄱ	감
坎	U+574E	0	ㄱ	감
坩	U+5769	0	ㄱ	감
埳	U+57F3	0	ㄱ	감
堪	U+582A	0	ㄱ	감
嵁	U+5D41	0	ㄱ	감
嵌	U+5D4C	0	ㄱ	감
弇	U+5F07	0	ㄱ	감
感	U+611F	0	ㄱ	감
憨	U+61A8	0	ㄱ	감
憾	U+61BE	0	ㄱ	감
戡	U+6221	0	ㄱ	감
撼	U+64BC	0	ㄱ	감
敢	U+6562	0	ㄱ	감
柑	U+67D1	0	ㄱ	감
橄	U+6A44	0	ㄱ	감
欿	U+6B3F	0	ㄱ	감
歛	U+6B5B	0	ㄱ	감
泔	U+6CD4	0	ㄱ	감
淦	U+6DE6	0	ㄱ	감
減	U+6E1B	0	ㄱ	감
澉	U+6F89	0	ㄱ	감
玪	U+73AA	0	ㄱ	감
瑊	U+744A	0	ㄱ	감
甘	U+7518	0	ㄱ	감
疳	U+75B3	0	ㄱ	감
監	U+76E3	0	ㄱ	감
瞰	U+77B0	0	ㄱ	감
矙	U+77D9	0	ㄱ	감
紺	U+7D3A	0	ㄱ	감
轗	U+8F57	0	ㄱ	감
邯	U+90AF	0	ㄱ	감
酣	U+9163	0	ㄱ	감
鑑	U+9451	0	ㄱ	감
鑒	U+9452	0	ㄱ	감
鹻	U+9E7B	0	ㄱ	감
龕	U+9F95	0	ㄱ	감
匣	U+5323	0	ㄱ	갑
岬	U+5CAC	0	ㄱ	갑
甲	U+7532	0	ㄱ	갑
胛	U+80DB	0	ㄱ	갑
鉀	U+9240	0	ㄱ	갑
閘	U+9598	0	ㄱ	갑
㽘	U+3F58	0	ㄱ	강
䜫	U+472B	0	ㄱ	강
傋	U+508B	0	ㄱ	강
僵	U+50F5	0	ㄱ	강
剛	U+525B	0	ㄱ	강
堈	U+5808	0	ㄱ	강
壃	U+58C3	0	ㄱ	강
姜	U+59DC	0	ㄱ	강
嫝	U+5ADD	0	ㄱ	강
岡	U+5CA1	0	ㄱ	강
崗	U+5D17	0	ㄱ	강
康	U+5EB7	0	ㄱ	강
強	U+5F37	0	ㄱ	강
强	U+5F3A	0	ㄱ	강
彊	U+5F4A	0	ㄱ	강
忼	U+5FFC	0	ㄱ	강
悾	U+60BE	0	ㄱ	강
慷	U+6177	0	ㄱ	강
扛	U+625B	0	ㄱ	강
掆	U+6386	0	ㄱ	강
杠	U+6760	0	ㄱ	강
棡	U+68E1	0	ㄱ	강
橿	U+6A7F	0	ㄱ	강
殭	U+6BAD	0	ㄱ	강
江	U+6C5F	0	ㄱ	강
漮	U+6F2E	0	ㄱ	강
焵	U+7135	0	ㄱ	강
玒	U+7392	0	ㄱ	강
畺	U+757A	0	ㄱ	강
疆	U+7586	0	ㄱ	강
矼	U+77FC	0	ㄱ	강
穅	U+7A45	0	ㄱ	강
糠	U+7CE0	0	ㄱ	강
絳	U+7D73	0	ㄱ	강
綱	U+7DB1	0	ㄱ	강
繈	U+7E48	0	ㄱ	강
罡	U+7F61	0	ㄱ	강
羌	U+7F8C	0	ㄱ	강
羫	U+7FAB	0	ㄱ	강
腔	U+8154	0	ㄱ	강
舡	U+8221	0	ㄱ	강
茳	U+8333	0	ㄱ	강
薑	U+8591	0	ㄱ	강
襁	U+8941	0	ㄱ	강
講	U+8B1B	0	ㄱ	강
豇	U+8C47	0	ㄱ	강
跭	U+8DED	0	ㄱ	강
鋼	U+92FC	0	ㄱ	강
鎠	U+93A0	0	ㄱ	강
鏹	U+93F9	0	ㄱ	강
降	U+964D	0	ㄱ	강
韁	U+97C1	0	ㄱ	강
顜	U+985C	0	ㄱ	강
鱇	U+9C47	0	ㄱ	강
襁	U+FAB6	0	ㄱ	강
鏹	U+2F9EB	0	ㄱ	강
䁗	U+4057	0	ㄱ	개
介	U+4ECB	0	ㄱ	개
价	U+4EF7	0	ㄱ	개
個	U+500B	0	ㄱ	개
凱	U+51F1	0	ㄱ	개
剴	U+5274	0	ㄱ	개
勓	U+52D3	0	ㄱ	개
匃	U+5303	0	ㄱ	개
塏	U+584F	0	ㄱ	개
忋	U+5FCB	0	ㄱ	개
愷	U+6137	0	ㄱ	개
愾	U+613E	0	ㄱ	개
揩	U+63E9	0	ㄱ	개
摡	U+6461	0	ㄱ	개
改	U+6539	0	ㄱ	개
暟	U+669F	0	ㄱ	개
槩	U+69E9	0	ㄱ	개
槪	U+69EA	0	ㄱ	개
湝	U+6E5D	0	ㄱ	개
漑	U+6F11	0	ㄱ	개
玠	U+73A0	0	ㄱ	개
疥	U+75A5	0	ㄱ	개
皆	U+7686	0	ㄱ	개
盖	U+76D6	0	ㄱ	개
磕	U+78D5	0	ㄱ	개
箇	U+7B87	0	ㄱ	개
芥	U+82A5	0	ㄱ	개
蓋	U+84CB	0	ㄱ	개
衸	U+8878	0	ㄱ	개
豈	U+8C48	0	ㄱ	개
鎧	U+93A7	0	ㄱ	개
開	U+958B	0	ㄱ	개
闓	U+95D3	0	ㄱ	개
慨	U+FA3E	0	ㄱ	개
喀	U+5580	0	ㄱ	객
客	U+5BA2	0	ㄱ	객
坑	U+5751	0	ㄱ	갱
更	U+66F4	0	ㄱ	갱
硜	U+785C	0	ㄱ	갱
粳	U+7CB3	0	ㄱ	갱
羹	U+7FB9	0	ㄱ	갱
賡	U+8CE1	0	ㄱ	갱
鏗	U+93D7	0	ㄱ	갱
醵	U+91B5	0	ㄱ	갹
佉	U+4F49	0	ㄱ	거
倨	U+5028	0	ㄱ	거
去	U+53BB	0	ㄱ	거
呿	U+547F	0	ㄱ	거
姖	U+59D6	0	ㄱ	거
居	U+5C45	0	ㄱ	거
岠	U+5CA0	0	ㄱ	거
巨	U+5DE8	0	ㄱ	거
抾	U+62BE	0	ㄱ	거
拒	U+62D2	0	ㄱ	거
据	U+636E	0	ㄱ	거
據	U+64DA	0	ㄱ	거
擧	U+64E7	0	ㄱ	거
昛	U+661B	0	ㄱ	거
柜	U+67DC	0	ㄱ	거
欅	U+6B05	0	ㄱ	거
歫	U+6B6B	0	ㄱ	거
渠	U+6E20	0	ㄱ	거
炬	U+70AC	0	ㄱ	거
祛	U+795B	0	ㄱ	거
秬	U+79EC	0	ㄱ	거
筥	U+7B65	0	ㄱ	거
籧	U+7C67	0	ㄱ	거
胠	U+80E0	0	ㄱ	거
腒	U+8152	0	ㄱ	거
苣	U+82E3	0	ㄱ	거
莒	U+8392	0	ㄱ	거
蕖	U+8556	0	ㄱ	거
蘧	U+8627	0	ㄱ	거
袪	U+88AA	0	ㄱ	거
裾	U+88FE	0	ㄱ	거
距	U+8DDD	0	ㄱ	거
踞	U+8E1E	0	ㄱ	거
車	U+8ECA	0	ㄱ	거
遽	U+907D	0	ㄱ	거
鉅	U+9245	0	ㄱ	거
鋸	U+92F8	0	ㄱ	거
駏	U+99CF	0	ㄱ	거
㨜	U+3A1C	0	ㄱ	건
䢖	U+4896	0	ㄱ	건
乹	U+4E79	0	ㄱ	건
乾	U+4E7E	0	ㄱ	건
件	U+4EF6	0	ㄱ	건
健	U+5065	0	ㄱ	건
囝	U+56DD	0	ㄱ	건
巾	U+5DFE	0	ㄱ	건
建	U+5EFA	0	ㄱ	건
愆	U+6106	0	ㄱ	건
揵	U+63F5	0	ㄱ	건
搴	U+6434	0	ㄱ	건
攓	U+6513	0	ㄱ	건
楗	U+6957	0	ㄱ	건
湕	U+6E55	0	ㄱ	건
漧	U+6F27	0	ㄱ	건
犍	U+728D	0	ㄱ	건
睷	U+7777	0	ㄱ	건
腱	U+8171	0	ㄱ	건
虔	U+8654	0	ㄱ	건
褰	U+8930	0	ㄱ	건
謇	U+8B07	0	ㄱ	건
踺	U+8E3A	0	ㄱ	건
