# 韩国人名用汉字
# https://github.com/rutopio/Korean-Name-Hanja-Charset
# 由于发音等不同，汉字（hanja）存在重复。
# 
# hanja	unicode	hangul	consonant

㒃	U+3483	이	ㅇ
㒚	U+349A	온	ㅇ
㒚	U+349A	은	ㅇ
㒤	U+34A4	섭	ㅅ
㓏	U+34CF	경	ㄱ
㓗	U+34D7	결	ㄱ
㔕	U+3515	글	ㄱ
㔡	U+3521	별	ㅂ
㖀	U+3580	률	
㖀	U+3580	율	
㗿	U+35FF	하	ㅎ
㘔	U+3614	새	ㅅ
㘽	U+363D	재	ㅈ
㙫	U+366B	집	ㅈ
㙯	U+366F	예	ㅇ
㚱	U+36B1	구	ㄱ
㚾	U+36BE	형	ㅎ
㛃	U+36C3	결	ㄱ
㛄	U+36C4	의	ㅇ
㛅	U+36C5	이	ㅇ
㛆	U+36C6	타	ㅌ
㛦	U+36E6	남	ㄴ
㛦	U+36E6	람	ㄹ
㜏	U+370F	운	ㅇ
㜖	U+3716	조	ㅈ
㜣	U+3723	연	ㅇ
㜯	U+372F	희	ㅎ
㜺	U+373A	찬	ㅊ
㝢	U+3762	우	ㅇ
㞼	U+37BC	승	ㅅ
㟳	U+37F3	률	ㄹ
㠌	U+380C	기	ㄱ
㠘	U+3818	서	ㅅ
㠱	U+3831	기	ㄱ
㡸	U+3878	사	ㅅ
㢃	U+3883	낭	ㄴ
㢃	U+3883	랑	ㄹ
㢋	U+388B	치	ㅊ
㢺	U+38BA	현	ㅎ
㣧	U+38E7	윤	ㅇ
㣭	U+38ED	종	ㅈ
㣽	U+38FD	서	ㅅ
㤊	U+390A	효	ㅎ
㤖	U+3916	저	ㅈ
㤞	U+391E	탁	ㅌ
㥁	U+3941	덕	ㄷ
㥠	U+3960	서	ㅅ
㥥	U+3965	우	ㅇ
㥯	U+396F	은	ㅇ
㥼	U+397C	언	
㥼	U+397C	은	
㦀	U+3980	봉	ㅂ
㦃	U+3983	산	ㅅ
㦆	U+3986	하	ㅎ
㦐	U+3990	니	ㄴ
㦐	U+3990	이	ㅇ
㦕	U+3995	륭	ㄹ
㦕	U+3995	융	ㅇ
㦥	U+39A5	헌	ㅎ
㦳	U+39B3	재	ㅈ
㦶	U+39B6	용	ㅇ
㧢	U+39E2	인	ㅇ
㨙	U+3A19	혜	ㅎ
㨜	U+3A1C	건	ㄱ
