# 非规范字的二简字
# 《第二次汉字简化方案（草案）》1977年
# https://zh.wikisource.org/wiki/第二次汉字简化方案（草案）
# 【※】中表示规范字列中有非规范汉字；【*】表示词语。
# 
# 二简字	规范字	备注

丠	冀	
亼	集	
仦	矮	
伩	信	
俈	靠	
劯	砾	
匊	掬鞠	
卆	卒	
厶	私	
厷	雄	
厽	儡垒	
圵	壤	
圶	墓	
坣	堂嘡膛镗	
垥	壑	
壴	臌鼓	
夆	峰烽蜂锋	
夋	酸痠	※
尒	𠇍𱥯	※
弍	贰	
忰	悴	
忼	慷	
扷	摇	
抪	播	
攼	敢	
旡	既	
枟	檀	
桜	樱	
歺	餐	
汘	潜	
沋	游	
泎	渣	
洰	渠	
浂	灌盥	
炡	蒸	
牞	犁	
玏	璃	
畄	留	
畺	疆缰	
疦	瘸	
疩	瘁	
皃	貌	
砕	碎	
砱	磷	
祘	算蒜	
竻	篱	
粇	糠	
粋	粹	
翆	翠	
肊	臆	
胒	腻	
艻	荔	
苳	董	
茐	葱	
荅	答	
辺	道	
迊	迎	
迌	越	
迠	建	
酔	醉	
陏	隋随	
骔	鬃	
㐫	瑙脑	
㘫	境	
㝉	宣	
㝋	寥寮	
㝑	旁	
㣊	修	
㧅	捣	
㧥	掀	
㬰	臾	
㭠	锨𣔙	※
㲹	激	
㲺	柒漆	
㳕	滥澜	
㶥	焊	
㾌	癣	
䃿	裤	
䒙	藏	
䒵	薅	
𠃓	易	
𠃜	眉嵋楣湄鹛	
𠆣	寡	
𠆨	僚	
𠔾	舟	
𠜅	剿	
𠮵	嚷	
𠯥	啐	
𡦼	家	
𡧳	赛	
𡱒	殿	
𡴭	屹	
𡵉	微	
𢍂	鼻	
𢒈	影	
𢖳	愉	
𢩳	擅	
𢪃	撤	
𢬂	撞	
𣅃	暴曝	
𣎷	椅	
𣱶	浦瀑	
𤆂	燃	
𤆊	爆	
𤘯	款	
𤝌	猿	
𤴥	癔	
𤵒	瘟	
𥄨	瞅	
𥘞	襟	
𥘽	襻	
𦙸	臃	
𦬁	菜蔡	
𦬸	蔬薯	
𦮴	蔫	
𧉾	蠢	
𧿬	蹲	
𨑳	庭霆	
𨚍	鄙	
𨱄	锄	
𪣈	堰	
𪧷	酱	
𪫆	浸	
𪯈	敷	
𫈉	简	
𫊥	蠹	
𫍚	谣	
𫓱	锹	
𫜹	雪	
𫠣	弟涕柬	
𫤭	奥	
𫧇	能	
𫩏	器	
𫩑	面	
𫯜	幕	
𫰆	姨	
𫲷	富	
𫶬	侯候	
𫷀	帽	
𫹯	感	
𫹵	愿	
𬁟	得	
𬂭	橡	
𬓠	嵇稽	
𬜨	穗𰬸	※
𬽥	假	
𭀦	曜耀	
𭙏	廖	
𭙕	摩	
𭜌	慢	
𭳿	煤	
𭴈	熨	
𭷔	解	
𭻾	旋漩	
𮂹	稳	
𮇘	糟	
𰀂	虐	
𰀅	熟	
𰀈	青	
𰀉	囊囔	
𰁓	静	
𰁡	儒	
𰁬	俱	
𰁲	值	
𰁼	像	
𰃝	尊遵	
𰄝	剔	
𰅉	勤	
𰅊	量	
𰅰	直	
𰅴	真	
𰅹	矗	
𰆊	部	
𰆖	原	
𰆳	靴	
𰆻	鞋	
𰇢	嗓	
𰇰	嘱	
𰉰	填	
𰋙	具	
𰋛	套	
𰋜	爽	
𰋞	整	
𰋷	婴	
𰋻	媚	
𰌵	嚓察	
𰌻	寨	
𰍎	靛	
𰍰	展辗	
𰍱	属	
𰐉	弊	
𰐔	弹	
𰐺	意	
𰐿	惕	
𰑊	情	
𰑌	惧	
𰑐	懒	
𰑝	慎	
𰑞	憾	
𰒼	撒	
𰓊	携	
𰓌	攮	
𰓢	撙	
𰓣	擦	
𰓨	搡	
𰓭	撼	
𰕺	晴	
𰗑	桑	
𰗝	植	
𰗶	榴	
𰙽	殖	
𰛑	演	
𰛓	清	
𰛬	滇	
𰜈	溜熘遛镏馏	
𰝶	燎	
𰠨	犀	
𰠱	犋	
𰡂	猜	
𰣲	瘤	
𰥌	瞎	
𰥕	睛	
𰥩	瞩	
𰦓	短	
𰦪	碾	
𰦫	磊	
𰨛	稻	
𰩢	靖	
𰪩	糖	
𰪱	精	
𰫾	缘	
𰬄	缅	
𰬊	缆	
𰬕	缨	
𰭃	罐	
𰭋	置	
𰭝	翼	
𰯶	鼾	
𰰟	孽蘖	
𰰡	蒙	
𰰫	菁	
𰰬	篾蔑	
𰲽	蠓	
𰳇	螳	
𰵋	谦	
𰵕	请	
𰵟	谰	
𰷟	赐	
𰷣	赞	
𰸁	蹈	
𰸄	踢	
𰹰	输	
𰹷	辕	
𰹹	辙	
𰼃	酿	
𰽙	镶	
𰽟	镜	
𰽢	键	
𰽤	镢䦆	※
𰾂	镇	
𱂪	颠巅癫	
𱅌	骥	
𱅑	腾	
宁𰰡	柠檬	*
㝑皇	彷徨/徨徬	*※
𰀈𨑳	蜓蜻	*
𰋷武	鹉鹦	*
𰜈达	跶蹓	*※
𰰡龙	曚昽/朦胧/蒙眬	*
